"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","13.14","13.52","12.90","12.89","13.05","13.02","13.18","17.65","10.20","4,73,166","62,33,987.04","1,791"
"23-Aug-2024","EQ","12.95","13.35","12.77","12.93","12.86","12.89","13.02","17.65","10.20","5,25,192","68,37,170.76","1,183"
"22-Aug-2024","EQ","12.85","13.64","12.70","12.84","13.00","12.93","13.26","17.65","10.20","10,97,458","1,45,57,500.49","2,268"
"21-Aug-2024","EQ","12.00","13.14","11.99","12.02","12.89","12.84","12.75","17.65","10.20","17,27,275","2,20,14,788.18","5,129"
"20-Aug-2024","EQ","12.10","12.25","11.96","12.02","12.10","12.02","12.10","17.65","10.20","2,05,763","24,89,628.73","616"
"19-Aug-2024","EQ","12.11","12.34","10.60","12.19","12.00","12.02","11.89","17.65","10.20","4,99,882","59,41,712.23","1,523"
"16-Aug-2024","EQ","12.45","12.45","12.10","12.18","12.23","12.19","12.23","17.65","10.20","1,15,239","14,09,467.90","519"
"14-Aug-2024","EQ","12.55","12.55","12.12","12.55","12.15","12.18","12.23","17.65","10.20","1,24,876","15,27,685.63","768"
"13-Aug-2024","EQ","12.40","12.80","12.16","12.12","12.54","12.55","12.48","17.65","10.20","3,38,126","42,20,606.72","1,271"
"12-Aug-2024","EQ","12.50","12.60","11.92","12.43","12.23","12.12","12.25","17.65","10.20","3,50,967","42,98,760.23","1,296"
"09-Aug-2024","EQ","12.12","12.53","12.12","12.11","12.40","12.43","12.37","17.65","10.20","1,81,204","22,41,022.55","905"
"08-Aug-2024","EQ","12.30","12.71","11.80","12.15","12.27","12.11","12.26","17.65","10.20","3,29,307","40,37,800.82","1,178"
"07-Aug-2024","EQ","12.44","12.97","11.92","12.20","12.24","12.15","12.07","17.65","10.20","7,89,176","95,28,465.66","1,857"
"06-Aug-2024","EQ","12.51","13.09","11.95","12.73","12.00","12.20","12.47","17.65","10.20","6,66,896","83,18,217.09","1,766"
"05-Aug-2024","EQ","13.29","13.29","12.53","13.04","12.58","12.73","12.75","17.65","10.20","4,58,011","58,41,503.24","1,658"
"02-Aug-2024","EQ","12.90","13.50","12.85","12.92","13.05","13.04","13.07","17.65","10.20","3,93,047","51,36,906.95","1,261"
"01-Aug-2024","EQ","12.85","13.16","12.85","13.05","12.90","12.92","12.95","17.65","10.20","2,45,741","31,82,498.95","1,020"
"31-Jul-2024","EQ","13.04","13.21","12.95","13.04","12.96","13.05","13.05","17.65","10.20","5,55,374","72,49,054.58","1,434"
"30-Jul-2024","EQ","13.25","13.26","12.90","13.07","13.00","13.04","13.10","17.65","10.20","3,76,748","49,37,095.12","1,270"
"29-Jul-2024","EQ","13.69","13.70","12.95","13.48","13.02","13.07","13.30","17.65","10.20","5,45,528","72,58,089.69","2,066"
