"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,463.75","1,482.65","1,445.15","1,463.75","1,457.70","1,453.25","1,454.80","1,730.90","1,028.15","34,275","4,98,63,193.65","3,749"
"23-Aug-2024","EQ","1,480.90","1,494.00","1,451.10","1,476.65","1,467.70","1,463.75","1,465.10","1,730.90","1,028.15","42,293","6,19,63,472.80","4,653"
"22-Aug-2024","EQ","1,509.70","1,545.00","1,461.15","1,487.40","1,476.50","1,476.65","1,494.99","1,730.90","1,028.15","97,298","14,54,59,444.00","7,710"
"21-Aug-2024","EQ","1,518.00","1,521.00","1,480.00","1,508.65","1,490.00","1,487.40","1,491.26","1,730.90","1,028.15","49,266","7,34,68,371.20","4,744"
"20-Aug-2024","EQ","1,544.90","1,552.05","1,500.00","1,525.35","1,509.70","1,508.65","1,521.67","1,730.90","1,028.15","31,361","4,77,21,051.20","3,582"
"19-Aug-2024","EQ","1,550.00","1,593.85","1,520.00","1,546.65","1,536.60","1,525.35","1,551.20","1,730.90","1,028.15","44,125","6,84,46,664.95","5,221"
"16-Aug-2024","EQ","1,538.90","1,590.00","1,515.05","1,528.20","1,535.00","1,546.65","1,534.20","1,730.90","1,028.15","32,477","4,98,26,240.50","4,838"
"14-Aug-2024","EQ","1,542.85","1,542.85","1,487.45","1,527.20","1,528.85","1,528.20","1,506.82","1,730.90","1,028.15","36,708","5,53,12,221.35","5,180"
"13-Aug-2024","EQ","1,583.20","1,587.50","1,520.00","1,569.20","1,530.15","1,527.20","1,545.69","1,730.90","1,028.15","36,472","5,63,74,283.50","6,163"
"12-Aug-2024","EQ","1,640.00","1,730.90","1,560.00","1,505.20","1,572.00","1,569.20","1,647.61","1,730.90","1,028.15","3,26,828","53,84,83,873.95","30,813"
"09-Aug-2024","EQ","1,505.00","1,527.00","1,491.65","1,495.00","1,504.95","1,505.20","1,504.94","1,722.25","1,028.15","61,052","9,18,79,644.60","6,678"
"08-Aug-2024","EQ","1,500.00","1,560.00","1,480.00","1,486.00","1,489.95","1,495.00","1,504.35","1,722.25","1,028.15","99,632","14,98,81,025.45","9,382"
"07-Aug-2024","EQ","1,488.40","1,525.00","1,472.85","1,459.25","1,484.00","1,486.00","1,486.02","1,722.25","1,028.15","18,222","2,70,78,296.30","3,231"
"06-Aug-2024","EQ","1,548.00","1,550.00","1,446.10","1,515.10","1,465.00","1,459.25","1,496.61","1,722.25","1,028.15","27,510","4,11,71,690.25","6,210"
"05-Aug-2024","EQ","1,499.95","1,560.20","1,486.70","1,528.00","1,538.00","1,515.10","1,516.40","1,722.25","1,028.15","44,138","6,69,30,857.80","8,521"
"02-Aug-2024","EQ","1,574.00","1,574.05","1,509.25","1,574.35","1,540.00","1,528.00","1,550.21","1,722.25","1,028.15","24,022","3,72,39,246.80","4,415"
"01-Aug-2024","EQ","1,609.45","1,644.95","1,565.05","1,585.65","1,569.00","1,574.35","1,605.65","1,722.25","1,028.15","36,456","5,85,35,456.70","6,922"
"31-Jul-2024","EQ","1,592.80","1,622.60","1,566.60","1,584.10","1,582.00","1,585.65","1,594.67","1,722.25","1,028.15","24,833","3,96,00,387.00","5,187"
"30-Jul-2024","EQ","1,628.75","1,630.95","1,572.15","1,626.55","1,588.00","1,584.10","1,596.48","1,722.25","1,028.15","33,196","5,29,96,905.00","6,811"
"29-Jul-2024","EQ","1,641.95","1,670.95","1,603.00","1,625.50","1,627.00","1,626.55","1,640.87","1,722.25","1,028.15","32,089","5,26,53,773.60","5,944"
