"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","210.70","234.80","210.00","208.32","231.33","230.88","225.40","234.80","113.25","93,56,351","2,10,89,52,614.32","1,18,891"
"23-Aug-2024","EQ","205.00","216.45","205.00","204.08","208.75","208.32","212.11","223.60","90.40","35,91,502","76,17,81,624.87","53,336"
"22-Aug-2024","EQ","204.80","209.12","201.88","203.21","204.50","204.08","205.11","223.60","90.40","12,51,622","25,67,22,131.72","23,814"
"21-Aug-2024","EQ","203.00","209.20","201.82","199.49","203.80","203.21","206.40","223.60","90.40","45,30,132","93,50,02,521.55","52,611"
"20-Aug-2024","EQ","202.00","202.24","194.00","200.72","201.59","199.49","198.04","223.60","90.40","16,87,279","33,41,53,613.62","27,847"
"19-Aug-2024","EQ","186.40","203.00","186.40","185.68","201.40","200.72","197.25","223.60","90.40","35,23,758","69,50,75,424.43","45,893"
"16-Aug-2024","EQ","181.25","187.00","175.90","178.72","185.20","185.68","181.91","223.60","88.50","10,31,164","18,75,75,568.28","22,516"
"14-Aug-2024","EQ","179.50","180.95","173.00","178.92","179.98","178.72","177.24","223.60","88.50","7,43,798","13,18,32,914.36","21,047"
"13-Aug-2024","EQ","186.35","187.35","177.00","185.67","177.50","178.92","181.94","223.60","88.50","7,35,182","13,37,55,507.66","14,709"
"12-Aug-2024","EQ","178.98","187.99","176.25","178.24","185.75","185.67","182.70","223.60","88.50","12,88,278","23,53,62,870.62","30,506"
"09-Aug-2024","EQ","178.40","181.20","176.05","175.46","177.30","178.24","178.44","223.60","87.35","5,68,947","10,15,21,669.89","15,180"
"08-Aug-2024","EQ","178.25","179.12","175.01","179.46","176.30","175.46","177.09","223.60","87.35","5,65,529","10,01,50,733.72","12,456"
"07-Aug-2024","EQ","174.80","180.49","173.18","173.32","179.65","179.46","176.22","223.60","87.35","6,72,868","11,85,69,636.29","13,010"
"06-Aug-2024","EQ","178.00","182.80","172.26","175.17","172.50","173.32","176.68","223.60","87.35","8,15,587","14,40,98,473.16","17,511"
"05-Aug-2024","EQ","183.60","185.00","169.14","190.43","175.70","175.17","179.22","223.60","87.35","11,49,857","20,60,72,195.41","24,276"
"02-Aug-2024","EQ","186.90","192.62","185.15","189.41","191.00","190.43","189.82","223.60","86.10","8,78,260","16,67,08,212.52","21,023"
"01-Aug-2024","EQ","195.61","196.85","186.99","195.28","189.97","189.41","191.19","223.60","86.10","10,56,092","20,19,11,320.55","27,339"
"31-Jul-2024","EQ","197.65","199.00","191.70","196.77","194.90","195.28","195.00","223.60","86.10","12,70,836","24,78,14,760.81","24,995"
"30-Jul-2024","EQ","193.00","200.45","190.52","191.88","196.89","196.77","195.62","223.60","86.10","13,14,200","25,70,84,710.01","26,793"
"29-Jul-2024","EQ","193.00","196.56","190.05","191.02","192.00","191.88","192.45","223.60","86.10","6,93,036","13,33,76,309.62","22,743"
