"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","286.90","289.95","276.00","281.15","282.00","279.35","280.76","289.95","131.80","1,11,081","3,11,86,933.80","5,615"
"23-Aug-2024","EQ","273.35","283.65","267.30","268.90","282.00","281.15","278.57","283.65","131.80","4,76,503","13,27,37,549.55","6,499"
"22-Aug-2024","EQ","273.00","273.85","266.00","267.50","269.90","268.90","268.60","275.00","131.80","58,793","1,57,91,894.60","2,064"
"21-Aug-2024","EQ","269.45","269.85","262.30","267.15","269.00","267.50","267.36","275.00","131.80","86,316","2,30,77,552.00","2,623"
"20-Aug-2024","EQ","258.90","267.50","252.00","252.00","263.90","267.15","263.70","275.00","131.80","2,73,315","7,20,73,821.95","6,332"
"19-Aug-2024","EQ","248.80","257.85","242.55","248.50","250.15","252.00","247.64","275.00","131.80","58,496","1,44,85,704.10","2,085"
"16-Aug-2024","EQ","257.55","259.90","247.00","250.55","249.20","248.50","252.94","275.00","131.80","42,119","1,06,53,693.30","2,560"
"14-Aug-2024","EQ","240.30","254.00","240.30","244.35","248.25","250.55","248.45","275.00","131.80","21,530","53,49,116.10","1,615"
"13-Aug-2024","EQ","254.00","254.90","242.95","253.50","243.75","244.35","249.36","275.00","131.80","24,516","61,13,288.90","1,639"
"12-Aug-2024","EQ","252.80","254.90","245.10","248.75","249.00","253.50","250.84","275.00","131.80","34,419","86,33,724.30","1,749"
"09-Aug-2024","EQ","245.20","260.00","237.75","241.15","253.90","248.75","245.78","275.00","131.80","24,131","59,30,939.25","1,567"
"08-Aug-2024","EQ","248.50","248.50","238.00","240.75","238.20","241.15","241.31","275.00","131.80","8,398","20,26,544.30","1,058"
"07-Aug-2024","EQ","239.05","244.00","238.55","238.00","240.00","240.75","240.89","275.00","131.80","10,460","25,19,719.65","1,630"
"06-Aug-2024","EQ","256.55","256.55","236.00","248.00","236.95","238.00","242.20","275.00","131.80","53,017","1,28,40,924.65","3,856"
"05-Aug-2024","EQ","250.20","252.75","239.95","257.20","247.00","248.00","246.65","275.00","131.80","58,102","1,43,30,903.30","3,633"
"02-Aug-2024","EQ","252.10","259.80","249.55","256.80","256.55","257.20","254.71","275.00","131.80","77,220","1,96,68,678.35","2,428"
"01-Aug-2024","EQ","265.00","265.00","252.40","262.40","252.40","256.80","260.15","275.00","131.80","15,504","40,33,329.70","1,234"
"31-Jul-2024","EQ","266.20","267.00","261.51","262.50","262.90","262.40","264.09","275.00","131.80","28,148","74,33,481.73","2,075"
"30-Jul-2024","EQ","266.89","266.99","259.99","264.60","261.01","262.50","263.64","275.00","131.80","26,063","68,71,338.23","1,442"
"29-Jul-2024","EQ","266.90","266.90","259.10","263.29","264.50","264.60","262.76","275.00","131.80","64,897","1,70,52,061.04","1,740"
