"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","157.20","162.00","149.10","156.77","151.40","153.80","156.63","300.05","125.50","78,608","1,23,12,149.32","1,632"
"23-Aug-2024","EQ","161.35","163.50","155.15","164.86","157.23","156.77","158.99","300.05","125.50","1,16,534","1,85,27,609.67","2,525"
"22-Aug-2024","EQ","143.95","169.00","142.50","142.20","163.60","164.86","159.00","300.05","125.50","2,91,949","4,64,19,746.05","6,113"
"21-Aug-2024","EQ","142.80","145.00","139.19","141.03","142.70","142.20","142.87","300.05","125.50","62,315","89,03,101.57","1,729"
"20-Aug-2024","EQ","139.80","145.00","139.60","139.38","141.00","141.03","141.73","300.05","125.50","49,130","69,63,103.94","1,460"
"19-Aug-2024","EQ","142.89","143.58","135.30","142.89","139.80","139.38","139.31","300.05","125.50","70,139","97,70,799.33","2,698"
"16-Aug-2024","EQ","144.95","147.00","141.10","144.24","142.00","142.89","143.15","300.05","125.50","42,033","60,17,221.20","1,520"
"14-Aug-2024","EQ","144.00","147.00","140.55","143.30","144.50","144.24","144.30","300.05","125.50","37,122","53,56,727.95","995"
"13-Aug-2024","EQ","153.95","153.95","142.24","156.58","143.55","143.30","147.55","300.05","125.50","1,13,261","1,67,11,489.17","2,634"
"12-Aug-2024","EQ","160.01","160.50","153.70","162.82","158.00","156.58","156.66","300.05","125.50","41,296","64,69,279.08","1,146"
"09-Aug-2024","EQ","168.00","168.00","162.00","164.33","163.00","162.82","164.10","300.05","125.50","31,753","52,10,699.10","682"
"08-Aug-2024","EQ","168.35","171.00","162.00","168.35","166.47","164.33","165.13","300.05","125.50","31,510","52,03,089.86","913"
"07-Aug-2024","EQ","171.00","172.00","164.02","166.53","167.95","168.35","168.29","300.05","125.50","37,172","62,55,751.68","969"
"06-Aug-2024","EQ","164.50","172.26","164.50","164.16","166.50","166.53","168.85","300.05","125.50","56,590","95,55,071.45","1,255"
"05-Aug-2024","EQ","171.05","175.95","160.00","180.94","164.50","164.16","167.01","300.05","125.50","1,41,394","2,36,13,880.31","3,561"
"02-Aug-2024","EQ","179.00","187.48","171.11","184.36","182.00","180.94","179.65","300.05","125.50","2,74,637","4,93,39,432.46","7,917"
"01-Aug-2024","EQ","183.00","193.40","178.01","163.64","180.51","184.36","187.28","300.05","125.50","13,50,206","25,28,69,374.50","22,738"
"31-Jul-2024","EQ","136.00","163.64","136.00","136.37","163.64","163.64","160.65","300.05","125.50","1,57,041","2,52,28,332.51","1,401"
"30-Jul-2024","EQ","136.02","137.98","135.00","137.10","136.99","136.37","136.38","300.05","125.50","20,281","27,65,869.91","858"
"29-Jul-2024","EQ","136.37","138.99","135.20","136.37","137.37","137.10","137.61","300.05","125.50","14,159","19,48,460.92","621"
