"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","168.90","175.99","168.33","167.74","169.70","169.35","171.86","199.00","120.00","17,25,820","29,66,05,163.24","32,960"
"23-Aug-2024","EQ","164.40","170.94","163.00","161.40","167.65","167.74","167.28","199.00","120.00","26,62,846","44,54,27,826.46","46,921"
"22-Aug-2024","EQ","163.00","164.09","160.90","161.88","161.50","161.40","161.74","199.00","120.00","2,88,093","4,65,96,057.44","5,949"
"21-Aug-2024","EQ","157.99","163.00","156.83","156.39","162.80","161.88","160.90","199.00","120.00","3,76,752","6,06,19,177.30","9,574"
"20-Aug-2024","EQ","156.30","157.80","156.00","156.13","156.51","156.39","156.62","199.00","120.00","90,065","1,41,05,675.67","2,738"
"19-Aug-2024","EQ","157.00","161.96","155.00","155.92","156.01","156.13","158.00","199.00","120.00","3,06,392","4,84,11,303.94","8,897"
"16-Aug-2024","EQ","156.98","159.00","155.00","155.63","155.61","155.92","155.40","199.00","120.00","12,02,745","18,69,08,288.67","10,308"
"14-Aug-2024","EQ","158.23","159.64","155.00","158.33","156.00","155.63","157.14","199.00","120.00","1,02,272","1,60,70,535.84","4,095"
"13-Aug-2024","EQ","161.50","163.06","157.01","162.22","158.02","158.33","159.70","199.00","120.00","1,57,608","2,51,70,003.52","5,893"
"12-Aug-2024","EQ","164.30","165.92","159.23","165.95","162.10","162.22","162.69","199.00","120.00","2,96,856","4,82,94,046.80","10,780"
"09-Aug-2024","EQ","160.00","170.00","154.15","160.04","167.00","165.95","163.02","199.00","120.00","14,37,230","23,42,91,406.51","32,975"
"08-Aug-2024","EQ","161.21","161.21","159.15","161.21","160.17","160.04","160.08","199.00","120.00","63,667","1,01,92,070.77","2,394"
"07-Aug-2024","EQ","156.95","161.83","155.45","155.35","161.05","161.21","158.75","199.00","120.00","1,37,768","2,18,70,166.30","5,213"
"06-Aug-2024","EQ","158.50","159.47","154.72","156.16","155.01","155.35","157.16","199.00","120.00","1,63,031","2,56,22,519.71","6,836"
"05-Aug-2024","EQ","160.51","160.51","155.43","163.97","157.99","156.16","157.95","199.00","120.00","1,98,679","3,13,82,243.05","9,260"
"02-Aug-2024","EQ","161.00","166.64","160.00","163.74","163.60","163.97","163.69","199.00","120.00","2,02,516","3,31,49,748.65","8,251"
"01-Aug-2024","EQ","167.40","170.00","162.61","166.57","163.50","163.74","164.75","199.00","120.00","1,34,367","2,21,37,603.75","4,579"
"31-Jul-2024","EQ","168.00","168.44","165.60","166.45","166.25","166.57","166.76","199.00","120.00","1,62,717","2,71,34,160.38","5,640"
"30-Jul-2024","EQ","161.01","167.90","161.00","160.45","166.15","166.45","165.64","199.00","120.00","5,25,311","8,70,14,819.29","14,572"
"29-Jul-2024","EQ","161.80","164.03","159.98","159.66","161.00","160.45","160.88","199.00","120.00","4,17,085","6,70,98,581.17","9,272"
