"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","206.90","207.73","205.20","204.40","206.00","206.03","206.19","254.60","125.60","7,17,638","14,79,67,001.14","10,047"
"23-Aug-2024","EQ","207.87","208.75","204.15","206.86","204.60","204.40","205.18","254.60","122.60","14,64,850","30,05,58,019.45","20,682"
"22-Aug-2024","EQ","210.69","210.90","206.00","209.60","206.70","206.86","207.73","254.60","122.60","15,72,500","32,66,50,727.65","21,032"
"21-Aug-2024","EQ","208.41","211.45","207.50","206.87","209.50","209.60","209.63","254.60","122.60","9,24,159","19,37,32,274.75","15,912"
"20-Aug-2024","EQ","209.58","210.66","206.01","208.88","206.99","206.87","207.43","254.60","122.60","13,47,259","27,94,66,762.11","15,007"
"19-Aug-2024","EQ","207.70","209.90","207.22","205.88","209.90","208.88","208.59","254.60","122.60","7,31,957","15,26,82,494.42","11,353"
"16-Aug-2024","EQ","211.13","213.29","204.40","210.58","207.08","205.88","208.44","254.60","118.50","17,43,801","36,34,71,227.88","26,718"
"14-Aug-2024","EQ","212.15","221.89","209.53","209.07","211.29","210.58","215.43","254.60","118.50","35,35,145","76,15,66,711.46","47,507"
"13-Aug-2024","EQ","207.45","214.56","207.45","207.21","208.70","209.07","210.62","254.60","118.50","8,34,197","17,57,01,700.62","16,508"
"12-Aug-2024","EQ","207.00","209.39","205.10","209.46","208.50","207.21","207.43","254.60","118.50","7,57,017","15,70,25,965.22","13,708"
"09-Aug-2024","EQ","211.10","213.00","208.00","209.53","209.05","209.46","210.91","254.60","118.50","8,00,077","16,87,45,052.59","15,207"
"08-Aug-2024","EQ","209.99","211.33","206.53","209.84","208.70","209.53","209.01","254.60","118.50","7,97,849","16,67,58,339.36","16,494"
"07-Aug-2024","EQ","206.00","210.34","205.51","202.73","209.80","209.84","207.97","254.60","118.50","12,20,735","25,38,78,837.17","20,854"
"06-Aug-2024","EQ","206.98","210.20","201.00","203.40","205.00","202.73","206.35","254.60","118.50","12,35,105","25,48,58,238.92","19,143"
"05-Aug-2024","EQ","212.20","212.42","201.35","217.81","203.20","203.40","205.96","254.60","118.50","27,95,836","57,58,34,434.99","38,611"
"02-Aug-2024","EQ","222.00","223.30","216.55","225.13","218.33","217.81","219.11","254.60","114.00","19,60,235","42,95,12,529.70","27,428"
"01-Aug-2024","EQ","226.80","228.40","222.85","225.72","224.74","225.13","225.44","254.60","114.00","13,83,107","31,18,07,791.50","23,561"
"31-Jul-2024","EQ","228.70","228.70","222.85","227.58","225.50","225.72","225.63","254.60","114.00","17,80,066","40,16,41,716.84","24,392"
"30-Jul-2024","EQ","224.80","231.73","224.00","223.90","226.76","227.58","228.00","254.60","114.00","21,74,452","49,57,69,063.26","27,082"
"29-Jul-2024","EQ","226.00","227.00","222.50","224.52","223.60","223.90","224.23","254.60","114.00","9,02,462","20,23,61,192.41","14,515"
