"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","25.69","25.73","25.63","25.55","25.70","25.67","25.68","251.10","22.65","9,97,446","2,56,18,631.73","2,654"
"23-Aug-2024","EQ","25.50","25.70","25.50","25.60","25.58","25.55","25.58","251.10","22.65","9,27,815","2,37,37,902.40","2,124"
"22-Aug-2024","EQ","25.66","25.69","25.54","25.45","25.64","25.60","25.64","251.10","22.65","10,64,198","2,72,80,732.96","2,696"
"21-Aug-2024","EQ","25.74","25.86","25.34","25.54","25.55","25.45","25.44","251.10","22.65","47,07,676","11,97,47,328.10","4,341"
"20-Aug-2024","EQ","25.33","25.62","25.29","25.30","25.54","25.54","25.57","251.10","22.65","44,34,585","11,33,91,817.10","6,848"
"19-Aug-2024","EQ","25.43","25.48","25.23","25.40","25.40","25.30","25.31","251.10","22.65","9,03,524","2,28,69,555.84","2,251"
"16-Aug-2024","EQ","25.28","25.44","25.03","24.98","25.36","25.40","25.30","251.10","22.65","9,36,846","2,37,00,411.25","1,693"
"14-Aug-2024","EQ","25.07","25.20","24.96","25.07","24.99","24.98","25.00","251.10","22.65","11,97,380","2,99,34,112.10","1,743"
"13-Aug-2024","EQ","25.31","25.43","25.05","25.33","25.12","25.07","25.13","251.10","22.65","9,29,895","2,33,65,102.23","2,179"
"12-Aug-2024","EQ","25.33","25.44","25.11","25.34","25.31","25.33","25.30","251.10","22.65","6,66,096","1,68,52,324.59","1,541"
"09-Aug-2024","EQ","25.26","25.45","25.18","25.12","25.40","25.34","25.29","251.10","22.65","6,21,883","1,57,27,164.19","1,235"
"08-Aug-2024","EQ","24.83","25.32","24.83","25.07","25.23","25.12","25.10","251.10","22.65","6,95,265","1,74,50,753.28","1,527"
"07-Aug-2024","EQ","25.21","25.21","24.91","24.95","25.15","25.07","25.03","251.10","22.65","13,15,967","3,29,36,561.98","1,888"
"06-Aug-2024","EQ","25.37","25.53","24.90","25.25","24.98","24.95","25.13","251.10","22.65","41,32,274","10,38,46,772.49","4,045"
"05-Aug-2024","EQ","25.65","25.65","24.94","25.69","25.31","25.25","25.20","251.10","22.65","27,53,296","6,93,84,502.17","5,965"
"02-Aug-2024","EQ","25.74","25.80","25.52","25.77","25.72","25.69","25.70","251.10","22.65","13,84,454","3,55,80,047.67","2,044"
"01-Aug-2024","EQ","25.86","25.98","25.70","25.79","25.85","25.77","25.79","251.10","22.65","15,05,999","3,88,38,720.62","1,800"
"31-Jul-2024","EQ","25.80","25.89","25.68","25.74","25.85","25.79","25.74","251.10","22.65","15,89,178","4,09,09,418.54","2,556"
"30-Jul-2024","EQ","25.71","25.98","25.54","25.65","25.94","25.74","25.80","251.10","22.65","24,89,433","6,42,26,790.29","2,746"
"29-Jul-2024","EQ","25.71","26.10","25.55","25.51","25.85","25.65","25.84","251.10","22.65","92,73,962","23,96,56,577.07","4,920"
