"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,880.00","1,910.00","1,823.05","1,844.45","1,828.00","1,832.65","1,855.67","1,910.00","1,141.25","5,67,254","1,05,26,34,409.55","39,301"
"23-Aug-2024","EQ","1,780.00","1,857.00","1,765.60","1,765.25","1,855.25","1,844.45","1,817.61","1,885.10","1,141.25","6,86,094","1,24,70,51,555.90","39,646"
"22-Aug-2024","EQ","1,725.20","1,796.00","1,723.60","1,725.00","1,763.00","1,765.25","1,764.47","1,885.10","1,141.25","3,19,553","56,38,40,996.45","33,582"
"21-Aug-2024","EQ","1,710.00","1,731.10","1,700.05","1,712.70","1,720.00","1,725.00","1,716.26","1,885.10","1,141.25","1,20,497","20,68,04,509.15","15,336"
"20-Aug-2024","EQ","1,700.00","1,741.20","1,691.00","1,698.80","1,716.00","1,712.70","1,717.09","1,885.10","1,141.25","2,00,380","34,40,69,501.20","20,989"
"19-Aug-2024","EQ","1,693.20","1,715.80","1,665.00","1,665.85","1,700.00","1,698.80","1,689.41","1,885.10","1,141.25","2,21,501","37,42,06,944.60","15,048"
"16-Aug-2024","EQ","1,651.00","1,670.00","1,635.05","1,648.35","1,663.00","1,665.85","1,660.99","1,885.10","1,141.25","2,45,038","40,70,06,364.15","12,888"
"14-Aug-2024","EQ","1,660.00","1,663.75","1,628.00","1,655.45","1,646.10","1,648.35","1,643.15","1,885.10","1,141.25","1,40,571","23,09,78,922.70","11,379"
"13-Aug-2024","EQ","1,675.00","1,689.80","1,650.00","1,665.80","1,655.00","1,655.45","1,675.74","1,885.10","1,141.25","1,83,194","30,69,85,004.35","21,590"
"12-Aug-2024","EQ","1,670.00","1,688.00","1,660.05","1,694.50","1,664.05","1,665.80","1,666.49","1,885.10","1,141.25","81,914","13,65,09,260.30","9,908"
"09-Aug-2024","EQ","1,708.90","1,708.90","1,668.00","1,703.50","1,683.00","1,694.50","1,687.44","1,885.10","1,141.25","2,08,392","35,16,48,808.85","23,574"
"08-Aug-2024","EQ","1,757.95","1,760.00","1,675.00","1,669.80","1,684.00","1,703.50","1,711.54","1,885.10","1,141.25","7,34,155","1,25,65,32,735.15","54,875"
"07-Aug-2024","EQ","1,673.00","1,694.10","1,660.00","1,669.45","1,670.00","1,669.80","1,675.36","1,885.10","1,141.25","1,12,357","18,82,37,954.05","11,261"
"06-Aug-2024","EQ","1,679.90","1,704.00","1,663.00","1,671.55","1,676.00","1,669.45","1,686.68","1,885.10","1,141.25","1,03,915","17,52,70,906.70","13,353"
"05-Aug-2024","EQ","1,677.00","1,689.90","1,628.65","1,706.05","1,675.00","1,671.55","1,657.99","1,885.10","1,141.25","1,97,372","32,72,41,381.20","19,591"
"02-Aug-2024","EQ","1,710.00","1,729.00","1,674.95","1,710.30","1,707.00","1,706.05","1,694.68","1,885.10","1,141.25","1,07,512","18,21,98,718.45","11,068"
"01-Aug-2024","EQ","1,744.65","1,744.65","1,692.10","1,723.50","1,702.55","1,710.30","1,719.05","1,885.10","1,141.25","91,396","15,71,14,732.15","13,028"
"31-Jul-2024","EQ","1,730.00","1,773.95","1,720.00","1,728.80","1,728.00","1,723.50","1,743.86","1,885.10","1,141.25","2,36,017","41,15,79,433.70","24,509"
"30-Jul-2024","EQ","1,719.75","1,745.50","1,715.00","1,719.75","1,732.00","1,728.80","1,731.47","1,885.10","1,141.25","81,915","14,18,33,019.45","11,284"
"29-Jul-2024","EQ","1,734.90","1,769.00","1,706.65","1,732.00","1,729.75","1,719.75","1,738.15","1,885.10","1,141.25","1,29,924","22,58,27,004.55","18,822"
