"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","15.39","15.60","15.20","15.33","15.33","15.46","15.39","25.35","13.35","4,96,094","76,35,531.75","1,506"
"23-Aug-2024","EQ","15.30","15.45","15.26","15.36","15.27","15.33","15.36","25.35","13.35","2,87,981","44,22,138.20","1,180"
"22-Aug-2024","EQ","15.18","15.54","15.18","15.17","15.31","15.36","15.40","25.35","13.35","4,00,691","61,69,020.88","1,409"
"21-Aug-2024","EQ","15.40","15.56","15.14","15.25","15.19","15.17","15.30","25.35","13.35","5,62,578","86,06,567.94","1,638"
"20-Aug-2024","EQ","15.40","15.66","15.18","15.26","15.28","15.25","15.33","25.35","13.35","3,80,043","58,26,147.04","1,298"
"19-Aug-2024","EQ","15.11","15.47","15.09","15.10","15.15","15.26","15.28","25.35","13.35","2,86,470","43,76,096.83","1,037"
"16-Aug-2024","EQ","15.06","15.37","15.06","15.08","15.08","15.10","15.16","25.35","13.35","3,78,143","57,31,571.95","1,398"
"14-Aug-2024","EQ","15.20","15.35","14.81","14.96","15.10","15.08","15.07","25.35","13.35","5,87,912","88,62,747.73","1,905"
"13-Aug-2024","EQ","15.55","15.65","14.89","15.47","15.25","14.96","15.16","25.35","13.35","5,61,685","85,13,136.94","2,081"
"12-Aug-2024","EQ","15.70","15.70","15.28","15.55","15.41","15.47","15.45","25.35","13.35","3,22,642","49,84,329.07","1,564"
"09-Aug-2024","EQ","15.67","16.61","15.42","15.45","15.51","15.55","15.83","25.35","13.35","7,06,036","1,11,75,904.42","2,683"
"08-Aug-2024","EQ","15.58","15.79","15.31","15.58","15.31","15.45","15.61","25.35","13.35","3,58,194","55,90,637.15","1,792"
"07-Aug-2024","EQ","15.80","15.93","15.30","15.74","15.60","15.58","15.59","25.35","13.35","5,53,228","86,26,178.65","2,365"
"06-Aug-2024","EQ","15.46","16.30","15.41","15.49","15.55","15.74","15.85","25.35","13.35","5,99,736","95,04,053.30","2,269"
"05-Aug-2024","EQ","16.15","16.15","15.34","16.51","15.42","15.49","15.66","25.35","13.35","7,61,078","1,19,17,380.30","2,948"
"02-Aug-2024","EQ","16.00","16.66","15.52","15.90","16.50","16.51","16.33","25.35","13.35","11,27,904","1,84,23,088.30","3,507"
"01-Aug-2024","EQ","16.72","16.72","15.75","16.35","15.90","15.90","16.11","25.35","13.35","5,88,826","94,84,984.10","2,548"
"31-Jul-2024","EQ","16.76","16.80","16.27","16.57","16.43","16.35","16.55","25.35","13.35","7,26,291","1,20,19,098.76","2,341"
"30-Jul-2024","EQ","16.07","16.77","16.07","15.93","16.57","16.57","16.47","25.35","13.35","15,52,421","2,55,62,864.24","4,042"
"29-Jul-2024","EQ","15.75","15.98","15.66","15.58","15.93","15.93","15.87","25.35","13.35","7,80,093","1,23,82,432.76","2,149"
