"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","500.00","505.90","497.35","497.30","504.35","503.10","501.23","617.80","167.85","34,89,384","1,74,89,79,757.20","57,877"
"23-Aug-2024","EQ","478.90","507.45","477.80","471.70","499.10","497.30","498.83","617.80","165.50","1,95,38,159","9,74,62,31,191.70","2,31,600"
"22-Aug-2024","EQ","471.45","477.70","465.65","470.05","475.50","471.70","470.65","617.80","165.50","13,47,859","63,43,75,859.10","36,482"
"21-Aug-2024","EQ","469.70","478.85","467.15","469.90","469.30","470.05","473.02","617.80","165.50","12,72,440","60,18,83,950.50","31,217"
"20-Aug-2024","EQ","477.50","477.90","467.55","475.55","469.75","469.90","471.14","617.80","165.50","14,70,572","69,28,40,721.05","45,587"
"19-Aug-2024","EQ","477.75","486.35","474.50","475.40","475.00","475.55","478.50","617.80","165.50","20,32,328","97,24,69,012.85","59,565"
"16-Aug-2024","EQ","469.00","479.50","469.00","464.50","476.25","475.40","475.27","617.80","163.25","17,34,742","82,44,70,282.70","51,812"
"14-Aug-2024","EQ","474.35","476.00","459.00","473.05","465.35","464.50","463.98","617.80","163.25","20,95,366","97,22,08,037.40","54,391"
"13-Aug-2024","EQ","485.50","494.80","470.50","482.75","475.80","473.05","483.14","617.80","163.25","32,02,333","1,54,71,67,854.50","58,946"
"12-Aug-2024","EQ","470.00","492.95","465.30","469.45","483.10","482.75","483.58","617.80","163.25","71,56,903","3,46,09,44,149.05","1,07,003"
"09-Aug-2024","EQ","461.80","472.00","456.60","458.20","469.70","469.45","464.07","617.80","163.25","32,20,377","1,49,44,84,105.60","55,462"
"08-Aug-2024","EQ","466.80","476.40","454.55","464.45","456.10","458.20","465.93","617.80","163.25","36,98,457","1,72,32,05,205.70","68,347"
"07-Aug-2024","EQ","465.00","468.25","448.35","452.45","468.00","464.45","459.13","617.80","163.25","40,25,364","1,84,81,45,422.10","71,712"
"06-Aug-2024","EQ","484.90","487.75","449.00","470.55","453.00","452.45","467.62","617.80","163.25","42,80,963","2,00,18,66,293.20","90,742"
"05-Aug-2024","EQ","479.95","487.00","461.25","501.60","467.95","470.55","472.78","617.80","163.25","59,03,275","2,79,09,75,474.75","1,17,279"
"02-Aug-2024","EQ","484.00","508.80","481.10","496.40","501.30","501.60","498.73","617.80","158.35","56,75,727","2,83,06,47,021.55","87,079"
"01-Aug-2024","EQ","503.35","505.50","494.00","500.10","495.50","496.40","499.57","617.80","158.35","29,35,815","1,46,66,35,733.65","45,880"
"31-Jul-2024","EQ","512.75","513.20","498.15","510.75","500.70","500.10","503.56","617.80","158.35","27,70,724","1,39,52,26,018.40","42,729"
"30-Jul-2024","EQ","510.05","518.90","503.00","509.70","512.15","510.75","510.60","617.80","158.35","64,16,199","3,27,60,91,031.65","77,270"
"29-Jul-2024","EQ","489.50","516.00","488.35","485.10","510.50","509.70","504.71","617.80","158.35","1,33,23,161","6,72,42,90,120.35","1,63,939"
