"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","12.47","12.68","12.28","12.37","12.37","12.37","12.41","21.35","8.80","12,93,096","1,60,47,390.40","6,479"
"23-Aug-2024","EQ","12.70","12.70","12.15","12.55","12.50","12.37","12.45","21.35","8.80","12,51,066","1,55,71,265.63","5,528"
"22-Aug-2024","EQ","12.65","12.80","12.46","12.46","12.54","12.55","12.60","21.35","8.80","11,91,416","1,50,06,040.32","5,621"
"21-Aug-2024","EQ","12.10","12.61","12.10","12.22","12.58","12.46","12.40","21.35","8.80","13,44,560","1,66,75,021.91","5,865"
"20-Aug-2024","EQ","12.60","12.79","12.15","12.39","12.29","12.22","12.33","21.35","8.80","13,80,675","1,70,23,546.86","6,165"
"19-Aug-2024","EQ","12.00","12.63","11.93","11.79","12.43","12.39","12.39","21.35","8.80","18,26,536","2,26,36,969.71","7,827"
"16-Aug-2024","EQ","12.01","12.09","11.66","12.25","11.88","11.79","11.85","21.35","8.80","20,60,287","2,44,20,826.82","9,422"
"14-Aug-2024","EQ","12.65","12.65","12.17","12.44","12.34","12.25","12.30","21.35","8.80","9,40,971","1,15,70,925.09","5,123"
"13-Aug-2024","EQ","12.40","12.72","12.35","12.66","12.46","12.44","12.50","21.35","8.80","12,29,056","1,53,57,891.61","6,575"
"12-Aug-2024","EQ","12.88","12.88","12.51","12.88","12.79","12.66","12.67","21.35","8.80","13,81,388","1,75,05,388.92","7,843"
"09-Aug-2024","EQ","13.10","13.90","12.50","12.88","13.04","12.88","13.22","21.35","8.80","18,05,936","2,38,72,001.12","6,425"
"08-Aug-2024","EQ","12.99","13.39","12.68","12.82","12.98","12.88","13.01","21.35","8.80","15,67,452","2,03,96,645.36","6,848"
"07-Aug-2024","EQ","12.60","13.00","12.32","12.15","12.90","12.82","12.72","21.35","8.80","21,08,752","2,68,25,223.20","7,585"
"06-Aug-2024","EQ","12.46","13.06","12.00","12.67","12.17","12.15","12.67","21.35","8.80","23,04,802","2,91,93,284.47","8,758"
"05-Aug-2024","EQ","13.00","13.20","12.50","13.41","12.68","12.67","12.79","21.35","8.80","30,73,883","3,93,00,704.04","12,477"
"02-Aug-2024","EQ","13.59","13.68","13.21","13.59","13.40","13.41","13.49","21.35","8.80","15,25,134","2,05,71,508.13","6,220"
"01-Aug-2024","EQ","13.87","14.00","13.51","13.77","13.64","13.59","13.75","21.35","8.80","15,49,506","2,13,12,058.54","7,079"
"31-Jul-2024","EQ","13.98","14.00","13.65","13.75","13.81","13.77","13.83","21.35","8.80","16,44,891","2,27,52,791.73","6,535"
"30-Jul-2024","EQ","13.63","14.10","13.57","13.56","13.79","13.75","13.83","21.35","8.80","24,55,819","3,39,73,239.83","7,862"
"29-Jul-2024","EQ","13.74","13.87","13.50","13.62","13.53","13.56","13.69","21.35","8.80","18,28,474","2,50,33,687.98","8,516"
