"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","75.50","75.50","72.30","75.19","73.00","72.90","73.18","101.90","53.50","1,88,074","1,37,64,089.57","3,278"
"23-Aug-2024","EQ","75.69","77.50","74.60","75.31","75.10","75.19","75.96","101.90","53.20","1,50,801","1,14,54,595.11","3,753"
"22-Aug-2024","EQ","75.34","76.95","74.95","74.75","74.96","75.31","75.93","101.90","53.20","1,99,137","1,51,20,015.18","3,338"
"21-Aug-2024","EQ","75.40","76.95","74.15","75.23","74.95","74.75","75.43","101.90","53.20","2,02,869","1,53,03,348.69","4,347"
"20-Aug-2024","EQ","73.80","75.70","73.00","73.61","75.20","75.23","74.39","101.90","53.20","1,61,383","1,20,05,352.26","3,151"
"19-Aug-2024","EQ","71.79","75.24","71.19","71.18","73.75","73.61","73.55","101.90","53.20","2,27,143","1,67,06,362.18","4,379"
"16-Aug-2024","EQ","71.20","72.89","70.35","70.79","71.54","71.18","71.34","101.90","52.20","92,814","66,21,598.12","1,719"
"14-Aug-2024","EQ","72.70","72.80","70.10","72.36","70.74","70.79","70.76","101.90","52.20","1,05,154","74,40,796.79","2,186"
"13-Aug-2024","EQ","72.61","74.49","72.00","71.18","72.50","72.36","73.00","101.90","52.20","2,06,140","1,50,47,885.07","3,394"
"12-Aug-2024","EQ","70.50","72.74","70.29","71.85","71.25","71.18","71.28","101.90","52.20","1,85,633","1,32,31,637.75","3,342"
"09-Aug-2024","EQ","73.33","73.48","70.50","72.07","71.95","71.85","71.90","101.90","52.20","1,79,591","1,29,13,284.47","2,997"
"08-Aug-2024","EQ","72.70","74.00","72.00","73.24","72.20","72.07","72.91","101.90","52.20","79,609","58,04,412.13","1,531"
"07-Aug-2024","EQ","71.30","73.67","70.94","70.43","73.67","73.24","72.43","101.90","52.20","1,19,776","86,75,263.93","2,069"
"06-Aug-2024","EQ","74.00","77.00","70.00","73.39","70.70","70.43","72.87","101.90","52.20","2,08,035","1,51,59,868.47","3,365"
"05-Aug-2024","EQ","75.00","76.33","72.06","77.74","72.77","73.39","73.50","101.90","52.20","2,76,799","2,03,43,572.84","4,077"
"02-Aug-2024","EQ","77.00","78.98","74.66","77.55","77.80","77.74","77.09","101.90","52.20","2,54,266","1,96,01,481.64","3,488"
"01-Aug-2024","EQ","81.59","81.67","77.00","81.13","78.10","77.55","78.80","101.90","52.20","2,17,799","1,71,61,801.50","3,652"
"31-Jul-2024","EQ","83.40","84.00","80.70","81.74","81.10","81.13","82.31","101.90","52.20","4,95,286","4,07,66,568.97","5,685"
"30-Jul-2024","EQ","76.87","82.00","76.05","76.86","81.66","81.74","80.71","101.90","52.20","8,61,568","6,95,33,160.03","6,852"
"29-Jul-2024","EQ","76.90","78.91","76.26","76.06","76.85","76.86","77.60","101.90","52.20","2,01,495","1,56,35,472.68","3,043"
