"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","23.52","23.60","23.19","23.48","23.42","23.44","23.32","30.40","18.20","5,14,037","1,19,85,049.05","2,361"
"23-Aug-2024","EQ","23.97","24.21","23.45","23.76","23.50","23.48","23.73","30.40","18.20","9,81,770","2,33,01,673.10","3,168"
"22-Aug-2024","EQ","23.99","24.55","23.67","23.80","23.80","23.76","24.03","30.40","18.20","12,18,220","2,92,79,445.86","4,424"
"21-Aug-2024","EQ","24.23","24.34","23.70","24.02","23.89","23.80","24.03","30.40","18.20","9,27,404","2,22,88,867.65","4,786"
"20-Aug-2024","EQ","24.00","24.10","23.61","23.64","24.01","24.02","23.86","30.40","18.20","7,32,049","1,74,67,942.04","3,557"
"19-Aug-2024","EQ","23.26","24.10","23.22","23.17","23.80","23.64","23.75","30.40","18.20","9,18,440","2,18,08,518.48","3,506"
"16-Aug-2024","EQ","23.55","23.70","23.00","23.21","23.19","23.17","23.28","30.40","18.20","5,69,464","1,32,56,183.88","3,177"
"14-Aug-2024","EQ","23.92","24.00","23.05","24.01","23.32","23.21","23.50","30.40","18.20","6,06,767","1,42,55,999.47","2,906"
"13-Aug-2024","EQ","24.26","24.91","23.90","23.87","24.10","24.01","24.23","30.40","18.20","16,86,361","4,08,61,746.16","5,300"
"12-Aug-2024","EQ","23.65","24.05","23.35","23.74","23.89","23.87","23.84","30.40","18.20","5,98,083","1,42,56,210.87","2,789"
"09-Aug-2024","EQ","23.63","23.90","23.61","23.55","23.74","23.74","23.74","30.40","18.20","3,15,410","74,87,233.97","1,688"
"08-Aug-2024","EQ","23.95","24.06","23.50","23.79","23.60","23.55","23.77","30.40","18.20","4,69,779","1,11,67,814.35","2,399"
"07-Aug-2024","EQ","23.80","23.94","23.20","23.30","23.80","23.79","23.59","30.40","18.20","8,06,139","1,90,17,442.16","3,360"
"06-Aug-2024","EQ","23.74","24.33","23.10","23.37","23.25","23.30","23.82","30.40","18.20","10,88,852","2,59,35,753.06","3,771"
"05-Aug-2024","EQ","23.30","24.44","23.30","24.90","23.38","23.37","23.73","30.40","18.20","12,79,073","3,03,48,843.40","6,186"
"02-Aug-2024","EQ","24.72","25.07","24.46","24.86","24.92","24.90","24.82","30.40","18.20","6,78,486","1,68,39,653.88","2,813"
"01-Aug-2024","EQ","25.77","25.86","24.76","25.60","25.09","24.86","25.12","30.40","18.20","14,23,312","3,57,50,528.24","5,343"
"31-Jul-2024","EQ","26.17","26.55","25.52","25.94","25.60","25.60","26.02","30.40","18.20","20,11,005","5,23,23,858.66","7,922"
"30-Jul-2024","EQ","25.85","26.20","25.41","25.34","26.13","25.94","25.81","30.40","18.20","22,48,302","5,80,36,641.88","7,695"
"29-Jul-2024","EQ","25.34","26.25","25.25","25.12","25.35","25.34","25.63","30.40","18.20","20,23,040","5,18,46,144.93","7,197"
