"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","747.50","768.50","743.60","741.75","746.00","747.45","752.18","921.70","528.05","4,27,158","32,13,00,278.75","25,506"
"23-Aug-2024","EQ","750.00","751.95","733.50","729.00","741.00","741.75","740.68","921.70","528.05","7,18,711","53,23,37,156.95","36,426"
"22-Aug-2024","EQ","721.75","748.00","721.60","715.55","728.65","729.00","730.20","921.70","528.05","3,95,840","28,90,42,817.75","23,116"
"21-Aug-2024","EQ","721.35","734.50","710.05","720.80","716.40","715.55","722.84","921.70","528.05","8,58,243","62,03,72,843.40","41,655"
"20-Aug-2024","EQ","721.00","726.90","718.40","718.50","721.60","720.80","721.49","921.70","528.05","2,03,424","14,67,69,133.40","22,221"
"19-Aug-2024","EQ","731.00","739.45","716.00","739.85","720.00","718.50","726.45","921.70","528.05","3,46,556","25,17,55,062.60","27,272"
"16-Aug-2024","EQ","725.50","745.85","722.00","718.00","737.05","739.85","735.19","921.70","528.05","2,58,803","19,02,68,577.40","26,624"
"14-Aug-2024","EQ","739.15","740.00","714.10","733.45","723.00","718.00","726.60","921.70","528.05","2,63,885","19,17,37,935.45","30,609"
"13-Aug-2024","EQ","768.00","770.00","729.00","762.90","735.00","733.45","743.40","921.70","528.05","6,33,302","47,07,97,294.95","38,640"
"12-Aug-2024","EQ","810.00","825.35","754.00","806.75","765.00","762.90","794.87","921.70","528.05","11,93,947","94,90,34,578.35","72,366"
"09-Aug-2024","EQ","789.55","818.00","788.55","779.00","808.00","806.75","804.18","921.70","445.25","3,17,916","25,56,61,870.00","29,304"
"08-Aug-2024","EQ","787.55","787.55","771.00","779.75","782.00","779.00","779.25","921.70","445.25","1,40,753","10,96,81,914.40","14,482"
"07-Aug-2024","EQ","788.85","788.85","770.15","765.95","780.00","779.75","779.28","921.70","445.25","1,29,689","10,10,63,695.00","13,995"
"06-Aug-2024","EQ","768.90","793.95","761.40","761.40","770.00","765.95","782.27","921.70","445.25","2,99,685","23,44,33,649.05","26,818"
"05-Aug-2024","EQ","790.00","790.00","755.00","801.75","762.00","761.40","771.37","921.70","445.25","3,28,733","25,35,73,814.80","32,963"
"02-Aug-2024","EQ","808.05","814.55","794.60","808.90","806.90","801.75","805.17","921.70","445.25","1,45,694","11,73,08,165.55","14,270"
"01-Aug-2024","EQ","833.50","836.95","800.00","821.20","809.40","808.90","813.28","921.70","445.25","2,33,882","19,02,11,381.50","19,740"
"31-Jul-2024","EQ","835.00","852.20","817.55","830.55","825.40","821.20","837.50","921.70","445.25","3,01,600","25,25,89,773.95","31,085"
"30-Jul-2024","EQ","811.00","859.00","810.00","815.45","829.00","830.55","838.28","921.70","445.25","8,01,203","67,16,35,120.95","46,616"
"29-Jul-2024","EQ","816.00","822.20","805.40","812.00","815.05","815.45","813.84","921.70","445.25","1,58,272","12,88,08,248.60","11,931"
