"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","179.90","182.00","175.10","175.81","177.02","177.10","178.97","208.35","107.10","1,38,068","2,47,10,610.27","1,283"
"23-Aug-2024","BE","180.07","182.84","174.40","180.07","175.90","175.81","177.70","208.35","107.10","88,454","1,57,18,192.09","1,020"
"22-Aug-2024","BE","179.99","184.00","179.06","178.59","180.00","180.07","181.74","208.35","107.10","1,86,751","3,39,40,049.70","1,734"
"21-Aug-2024","BE","174.00","180.00","171.00","173.44","179.50","178.59","176.89","208.35","107.10","1,55,932","2,75,82,876.04","1,586"
"20-Aug-2024","BE","173.00","177.90","171.00","173.77","174.00","173.44","174.63","208.35","107.10","1,57,764","2,75,50,694.33","1,611"
"19-Aug-2024","BE","177.14","178.95","170.85","177.14","172.50","173.77","174.74","208.35","107.10","2,23,870","3,91,19,382.58","1,535"
"16-Aug-2024","BE","180.00","180.00","173.30","177.06","177.70","177.14","176.68","208.35","107.10","1,18,359","2,09,12,074.55","1,126"
"14-Aug-2024","BE","176.45","181.00","168.15","176.51","177.70","177.06","175.59","208.35","107.10","1,56,492","2,74,77,984.65","1,556"
"13-Aug-2024","EQ","191.50","192.90","172.15","193.19","176.51","176.51","180.92","208.35","107.10","10,32,832","18,68,64,213.58","19,683"
"12-Aug-2024","EQ","187.41","195.00","184.07","187.87","193.00","193.19","190.34","208.35","107.10","7,73,353","14,71,98,379.98","19,878"
"09-Aug-2024","EQ","191.90","192.50","185.19","188.69","188.50","187.87","187.45","208.35","107.10","3,75,941","7,04,68,648.43","11,494"
"08-Aug-2024","EQ","181.70","191.90","177.69","179.92","189.00","188.69","185.75","208.35","107.10","8,99,439","16,70,68,494.48","25,018"
"07-Aug-2024","EQ","176.05","188.30","173.46","172.98","179.79","179.92","179.60","208.35","107.10","12,65,297","22,72,48,861.36","22,941"
"06-Aug-2024","EQ","185.00","185.00","172.00","179.71","173.04","172.98","178.22","208.35","107.10","6,77,145","12,06,79,975.80","17,334"
"05-Aug-2024","EQ","184.00","185.30","176.50","189.22","178.98","179.71","180.27","208.35","107.10","8,76,746","15,80,53,806.70","22,481"
"02-Aug-2024","EQ","187.45","193.80","187.25","189.42","189.50","189.22","190.32","208.35","107.10","6,80,589","12,95,32,879.02","16,156"
"01-Aug-2024","EQ","193.50","196.90","188.73","192.68","188.99","189.42","193.64","208.35","107.10","6,53,800","12,66,00,044.72","11,402"
"31-Jul-2024","EQ","193.85","194.95","191.61","193.83","194.00","192.68","192.90","208.35","107.10","4,12,752","7,96,20,699.17","8,144"
"30-Jul-2024","EQ","197.44","197.94","192.21","196.52","193.80","193.83","195.33","208.35","107.10","6,24,260","12,19,36,054.24","10,063"
"29-Jul-2024","EQ","200.00","208.11","195.20","197.80","195.85","196.52","201.04","208.35","107.10","11,14,978","22,41,54,234.58","17,178"
