"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,335.25","1,335.45","1,242.05","1,335.25","1,256.70","1,256.25","1,280.50","1,370.00","87.35","52,079","6,66,87,212.90","3,728"
"23-Aug-2024","EQ","1,295.05","1,367.70","1,254.05","1,313.40","1,320.00","1,335.25","1,308.20","1,370.00","87.35","1,64,610","21,53,42,591.15","10,174"
"22-Aug-2024","EQ","1,198.20","1,370.00","1,175.25","1,198.20","1,298.00","1,313.40","1,274.69","1,370.00","87.35","7,04,840","89,84,52,662.05","53,900"
"21-Aug-2024","EQ","1,008.20","1,198.20","998.55","998.50","1,198.20","1,198.20","1,153.88","1,198.20","87.35","8,49,708","98,04,64,282.50","47,409"
"20-Aug-2024","EQ","1,000.00","1,018.85","990.05","1,000.60","998.90","998.50","1,004.78","1,093.45","87.35","41,297","4,14,94,212.90","5,114"
"19-Aug-2024","EQ","972.00","1,008.00","972.00","971.80","1,002.50","1,000.60","989.60","1,093.45","87.35","50,327","4,98,03,553.10","6,058"
"16-Aug-2024","EQ","959.45","987.00","958.00","959.45","979.85","971.80","975.74","1,093.45","87.35","28,193","2,75,09,120.05","3,514"
"14-Aug-2024","EQ","934.75","969.00","931.00","931.80","954.00","959.45","954.19","1,093.45","87.35","47,869","4,56,75,906.15","4,768"
"13-Aug-2024","EQ","914.00","959.85","909.05","911.95","930.00","931.80","942.24","1,093.45","87.35","37,396","3,52,36,105.50","4,560"
"12-Aug-2024","EQ","918.70","919.70","901.80","919.70","914.00","911.95","909.87","1,093.45","87.35","7,433","67,63,072.05","1,424"
"09-Aug-2024","EQ","884.60","924.65","883.55","879.65","920.00","919.70","907.42","1,093.45","87.35","32,837","2,97,96,969.95","4,481"
"08-Aug-2024","EQ","886.20","898.80","873.00","894.55","880.00","879.65","888.10","1,093.45","87.35","11,817","1,04,94,665.60","2,282"
"07-Aug-2024","EQ","901.40","905.45","887.80","898.70","894.00","894.55","895.53","1,093.45","87.35","10,207","91,40,689.55","1,736"
"06-Aug-2024","EQ","896.55","913.75","895.10","887.15","897.15","898.70","904.33","1,093.45","87.35","15,105","1,36,59,924.95","2,260"
"05-Aug-2024","EQ","910.00","923.40","878.95","933.70","885.10","887.15","901.67","1,093.45","87.35","29,412","2,65,19,864.75","4,679"
"02-Aug-2024","EQ","943.00","946.75","927.05","943.40","933.50","933.70","935.73","1,093.45","87.35","12,119","1,13,40,162.35","1,962"
"01-Aug-2024","EQ","963.00","966.15","936.20","957.05","947.00","943.40","944.54","1,093.45","87.35","18,299","1,72,84,134.85","2,264"
"31-Jul-2024","EQ","925.80","998.95","919.55","921.00","962.05","957.05","966.88","1,093.45","87.35","98,478","9,52,16,889.30","13,012"
"30-Jul-2024","EQ","926.90","935.15","919.00","926.90","923.00","921.00","925.50","1,093.45","87.35","22,900","2,11,93,937.40","3,459"
"29-Jul-2024","EQ","934.05","944.75","920.20","934.00","928.90","926.90","929.64","1,093.45","87.35","24,639","2,29,05,353.80","2,657"
