"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","181.05","196.00","175.65","180.74","195.80","192.27","188.88","238.95","162.05","1,13,186","2,13,78,640.44","2,387"
"23-Aug-2024","EQ","185.95","185.95","180.31","182.81","180.56","180.74","182.05","238.95","162.05","21,106","38,42,342.90","593"
"22-Aug-2024","EQ","178.00","186.89","175.53","177.06","184.17","182.81","183.48","238.95","162.05","56,660","1,03,95,777.16","1,963"
"21-Aug-2024","EQ","177.90","179.91","175.61","176.60","177.91","177.06","178.22","238.95","162.05","13,182","23,49,354.45","957"
"20-Aug-2024","EQ","172.13","178.00","172.01","171.20","177.40","176.60","174.56","238.95","162.05","17,368","30,31,710.57","933"
"19-Aug-2024","EQ","171.90","173.00","170.61","171.84","171.40","171.20","171.48","238.95","162.05","8,683","14,88,968.40","296"
"16-Aug-2024","EQ","171.20","173.94","171.20","170.35","171.89","171.84","172.21","238.95","162.05","6,270","10,79,736.63","394"
"14-Aug-2024","EQ","172.90","175.95","169.62","171.97","169.89","170.35","171.52","238.95","162.05","20,501","35,16,377.08","1,183"
"13-Aug-2024","EQ","173.50","176.38","170.25","172.63","174.40","171.97","173.53","238.95","162.05","12,077","20,95,744.47","770"
"12-Aug-2024","EQ","176.30","177.20","172.00","175.39","172.16","172.63","173.92","238.95","162.05","14,666","25,50,646.48","1,258"
"09-Aug-2024","EQ","173.65","178.19","172.80","172.65","175.50","175.39","175.81","238.95","162.05","13,548","23,81,872.83","975"
"08-Aug-2024","EQ","174.34","181.08","172.00","173.47","172.00","172.65","176.29","238.95","162.05","32,558","57,39,601.96","1,670"
"07-Aug-2024","EQ","171.60","175.07","171.60","170.73","172.05","173.47","173.16","238.95","162.05","6,398","11,07,860.03","180"
"06-Aug-2024","EQ","172.55","174.70","170.11","170.91","171.44","170.73","171.89","238.95","162.05","13,085","22,49,169.41","421"
"05-Aug-2024","EQ","173.00","174.11","169.20","177.66","170.00","170.91","170.99","238.95","162.05","29,283","50,07,001.53","1,100"
"02-Aug-2024","EQ","181.90","184.48","176.00","183.54","177.90","177.66","179.52","238.95","162.05","18,551","33,30,217.50","1,114"
"01-Aug-2024","EQ","183.50","187.95","183.01","184.81","183.01","183.54","184.82","238.95","162.05","8,372","15,47,313.15","890"
"31-Jul-2024","EQ","184.00","187.90","181.21","183.08","184.30","184.81","184.87","238.95","162.05","30,580","56,53,328.41","3,477"
"30-Jul-2024","EQ","190.00","191.29","182.23","190.31","182.51","183.08","185.86","238.95","162.05","29,295","54,44,794.68","1,509"
"29-Jul-2024","EQ","184.15","196.92","183.00","183.26","189.38","190.31","190.63","238.95","162.05","85,410","1,62,81,766.79","4,053"
