"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","638.50","638.50","622.90","629.95","629.95","629.95","629.69","824.00","504.25","1,90,350","11,98,61,699.00","9,681"
"23-Aug-2024","EQ","633.30","641.85","627.60","633.30","629.00","629.95","632.40","824.00","504.25","1,20,696","7,63,28,013.65","8,012"
"22-Aug-2024","EQ","635.50","649.80","631.00","631.80","631.00","633.30","640.90","824.00","504.25","3,69,954","23,71,04,652.05","12,823"
"21-Aug-2024","EQ","630.95","634.30","626.30","630.45","632.80","631.80","631.77","824.00","504.25","1,12,605","7,11,40,343.25","5,708"
"20-Aug-2024","EQ","639.75","642.50","628.35","637.65","629.35","630.45","634.33","824.00","504.25","2,98,525","18,93,62,114.90","12,414"
"19-Aug-2024","EQ","629.00","642.00","618.30","627.35","639.60","637.65","629.05","824.00","504.25","7,88,085","49,57,42,984.65","25,524"
"16-Aug-2024","EQ","625.00","672.00","621.55","591.95","624.40","627.35","650.93","824.00","504.25","95,40,481","6,21,02,10,844.85","2,15,217"
"14-Aug-2024","EQ","598.85","602.45","590.30","596.90","592.00","591.95","592.94","824.00","504.25","57,029","3,38,14,780.90","4,656"
"13-Aug-2024","EQ","598.90","599.95","587.75","592.50","595.00","596.90","595.18","824.00","504.25","1,68,020","10,00,02,742.55","14,970"
"12-Aug-2024","EQ","604.95","607.90","590.55","597.65","594.95","592.50","599.35","824.00","504.25","3,99,856","23,96,52,394.70","24,141"
"09-Aug-2024","EQ","590.00","604.15","589.95","590.55","597.00","597.65","597.57","824.00","504.25","1,08,239","6,46,80,392.25","9,658"
"08-Aug-2024","EQ","590.05","594.30","583.10","590.20","592.80","590.55","589.68","824.00","504.25","65,604","3,86,85,458.15","6,830"
"07-Aug-2024","EQ","575.10","592.45","575.10","574.20","591.00","590.20","585.60","824.00","504.25","98,626","5,77,55,716.60","7,488"
"06-Aug-2024","EQ","589.95","593.70","570.20","582.95","571.80","574.20","581.53","824.00","504.25","1,16,791","6,79,17,751.40","9,161"
"05-Aug-2024","EQ","596.00","596.00","575.10","599.10","583.00","582.95","581.68","824.00","504.25","1,81,637","10,56,54,922.75","14,819"
"02-Aug-2024","EQ","598.10","609.00","594.65","601.00","603.95","599.10","600.46","824.00","504.25","2,49,240","14,96,58,899.55","16,926"
"01-Aug-2024","EQ","603.65","610.85","595.05","601.10","603.30","601.00","601.57","824.00","504.25","1,13,854","6,84,91,486.60","9,423"
"31-Jul-2024","EQ","610.25","610.25","596.65","608.35","603.90","601.10","601.47","824.00","504.25","3,44,666","20,73,07,940.35","34,972"
"30-Jul-2024","EQ","612.05","617.00","600.65","612.05","609.00","608.35","607.38","824.00","504.25","2,32,283","14,10,85,041.50","11,076"
"29-Jul-2024","EQ","613.90","622.40","610.10","609.50","612.00","612.05","614.81","824.00","504.25","1,48,962","9,15,83,788.70","10,871"
