"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","114.30","114.30","114.17","116.50","114.25","114.25","114.23","148.50","60.50","66,061","75,46,389.84","134"
"23-Aug-2024","BE","117.00","117.00","116.43","118.81","116.50","116.50","116.51","148.50","59.85","25,739","29,98,839.30","127"
"22-Aug-2024","BE","118.82","119.15","118.81","121.24","118.81","118.81","118.90","148.50","59.85","31,766","37,76,859.63","170"
"21-Aug-2024","BE","126.19","126.19","121.24","123.72","121.24","121.24","124.91","148.50","59.85","69,727","87,09,293.99","172"
"20-Aug-2024","BE","118.88","123.72","118.87","121.30","123.72","123.72","120.14","148.50","59.85","1,00,066","1,20,22,221.53","196"
"19-Aug-2024","BE","123.78","123.78","121.30","123.78","121.30","121.30","122.19","148.50","59.85","32,272","39,43,298.54","163"
"16-Aug-2024","BE","123.78","123.78","123.78","121.36","123.78","123.78","123.78","148.50","59.10","23,797","29,45,592.66","109"
"14-Aug-2024","BE","121.36","121.36","121.36","118.99","121.36","121.36","121.36","148.50","59.10","27,284","33,11,186.24","99"
"13-Aug-2024","BE","118.99","118.99","118.99","116.66","118.99","118.99","118.99","148.50","59.10","25,275","30,07,472.25","127"
"12-Aug-2024","BE","116.66","116.66","116.66","114.38","116.66","116.66","116.66","148.50","59.10","17,726","20,67,915.16","144"
"09-Aug-2024","BE","114.38","114.38","114.37","112.14","114.38","114.38","114.38","148.50","59.10","58,261","66,63,791.86","223"
"08-Aug-2024","BE","107.75","112.14","107.75","109.95","112.14","112.14","109.19","148.50","59.10","64,867","70,82,977.27","364"
"07-Aug-2024","BE","109.95","109.95","109.95","112.20","109.95","109.95","109.95","148.50","59.10","23,977","26,36,271.15","166"
"06-Aug-2024","BE","112.20","112.20","112.20","114.49","112.20","112.20","112.20","148.50","59.10","11,965","13,42,473.00","134"
"05-Aug-2024","BE","114.51","114.51","114.49","116.83","114.49","114.49","114.51","148.50","59.10","39,941","45,73,547.49","180"
"02-Aug-2024","BE","116.83","116.83","116.83","119.22","116.83","116.83","116.83","148.50","58.50","52,937","61,84,629.71","257"
"01-Aug-2024","BE","119.22","119.22","119.22","121.66","119.22","119.22","119.22","148.50","58.50","23,746","28,30,998.12","133"
"31-Jul-2024","BE","121.66","121.66","121.66","124.15","121.66","121.66","121.66","148.50","58.50","36,901","44,89,375.66","155"
"30-Jul-2024","BE","124.15","124.15","124.15","126.69","124.15","124.15","124.15","148.50","58.50","7,961","9,88,358.15","117"
"29-Jul-2024","BE","126.69","126.69","126.69","129.28","126.69","126.69","126.69","148.50","58.50","23,233","29,43,388.77","128"
