"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","364.70","380.00","360.35","362.70","368.85","364.00","372.43","449.00","280.30","3,08,267","11,48,08,038.30","12,731"
"23-Aug-2024","EQ","371.40","371.60","361.25","369.75","362.00","362.70","366.62","449.00","280.30","98,849","3,62,39,828.00","5,884"
"22-Aug-2024","EQ","351.50","373.50","351.00","349.50","370.20","369.75","366.56","449.00","280.30","3,93,539","14,42,55,251.55","19,752"
"21-Aug-2024","EQ","338.50","351.80","338.50","337.20","351.00","349.50","346.53","449.00","280.30","1,26,191","4,37,29,592.15","7,017"
"20-Aug-2024","EQ","343.10","344.85","334.10","341.35","339.00","337.20","337.71","449.00","280.30","78,167","2,63,97,989.20","3,708"
"19-Aug-2024","EQ","340.10","348.90","339.05","342.40","342.50","341.35","342.68","449.00","280.30","52,404","1,79,57,880.35","3,263"
"16-Aug-2024","EQ","340.75","344.95","334.15","333.65","343.70","342.40","339.58","449.00","280.30","68,632","2,33,06,251.90","5,863"
"14-Aug-2024","EQ","344.60","345.55","328.00","344.60","336.00","333.65","335.06","449.00","280.30","1,26,692","4,24,48,877.80","9,299"
"13-Aug-2024","EQ","349.65","354.00","342.00","349.65","346.20","344.60","346.68","449.00","280.30","43,182","1,49,70,268.60","3,773"
"12-Aug-2024","EQ","353.00","354.00","347.20","355.40","348.95","349.65","350.10","449.00","280.30","48,476","1,69,71,209.30","4,760"
"09-Aug-2024","EQ","360.00","364.00","352.45","360.45","355.00","355.40","357.01","449.00","280.30","65,757","2,34,76,017.10","5,677"
"08-Aug-2024","EQ","344.85","367.70","342.30","345.25","361.00","360.45","358.87","449.00","280.30","2,36,409","8,48,39,411.10","11,326"
"07-Aug-2024","EQ","347.05","349.70","340.55","344.55","348.00","345.25","344.42","449.00","280.30","36,587","1,26,01,321.20","4,335"
"06-Aug-2024","EQ","342.35","347.40","338.10","338.95","342.00","344.55","341.94","449.00","280.30","55,259","1,88,95,355.45","4,213"
"05-Aug-2024","EQ","349.00","350.95","333.95","354.25","338.20","338.95","341.54","449.00","280.30","97,231","3,32,08,062.45","8,060"
"02-Aug-2024","EQ","355.00","358.00","351.00","356.75","358.00","354.25","354.01","449.00","280.30","48,927","1,73,20,837.95","4,823"
"01-Aug-2024","EQ","361.00","363.00","355.00","358.15","357.80","356.75","358.94","449.00","280.30","33,321","1,19,60,243.20","2,892"
"31-Jul-2024","EQ","360.90","363.30","355.10","359.55","360.05","358.15","358.87","449.00","280.30","61,418","2,20,41,030.10","4,268"
"30-Jul-2024","EQ","366.00","366.00","357.75","363.50","359.50","359.55","361.41","449.00","280.30","70,943","2,56,39,563.10","4,860"
"29-Jul-2024","EQ","358.00","366.00","357.00","353.70","363.90","363.50","362.87","449.00","280.30","2,38,495","8,65,42,681.65","8,902"
