"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","923.00","954.00","913.40","913.05","949.00","941.80","942.13","954.00","656.95","5,33,352","50,24,89,175.90","30,189"
"23-Aug-2024","EQ","908.70","923.60","907.55","907.00","912.00","913.05","915.25","953.20","656.95","67,454","6,17,37,384.50","5,782"
"22-Aug-2024","EQ","919.00","927.00","904.85","912.55","907.30","907.00","916.28","953.20","656.95","72,089","6,60,53,494.70","6,045"
"21-Aug-2024","EQ","917.00","934.00","909.05","915.10","918.00","912.55","920.73","953.20","656.95","1,35,751","12,49,90,180.65","9,031"
"20-Aug-2024","EQ","928.80","935.00","908.60","924.75","909.15","915.10","923.20","953.20","656.95","1,22,909","11,34,69,176.20","9,292"
"19-Aug-2024","EQ","922.00","931.00","901.05","910.65","925.00","924.75","916.16","953.20","656.95","1,34,371","12,31,05,694.00","8,019"
"16-Aug-2024","EQ","910.20","919.80","895.50","909.35","914.00","910.65","905.64","953.20","656.95","96,908","8,77,63,623.00","8,085"
"14-Aug-2024","EQ","885.40","920.45","875.70","883.20","908.00","909.35","902.62","953.20","656.95","2,26,610","20,45,42,489.60","19,729"
"13-Aug-2024","EQ","914.00","917.00","873.00","913.05","890.45","883.20","893.31","953.20","656.95","1,73,607","15,50,84,365.40","13,597"
"12-Aug-2024","EQ","925.00","927.00","908.50","924.75","913.80","913.05","915.73","953.20","656.95","1,42,112","13,01,35,683.80","12,813"
"09-Aug-2024","EQ","920.95","953.20","920.50","917.75","926.00","924.75","940.02","953.20","656.95","5,36,193","50,40,34,314.60","29,952"
"08-Aug-2024","EQ","905.00","925.00","890.45","899.45","915.00","917.75","911.37","949.00","656.95","2,98,442","27,19,91,286.85","22,107"
"07-Aug-2024","EQ","887.95","918.45","880.20","876.00","902.00","899.45","894.09","949.00","656.95","1,97,843","17,68,90,005.30","15,203"
"06-Aug-2024","EQ","915.15","934.95","871.00","905.40","878.90","876.00","915.53","949.00","656.95","8,11,955","74,33,68,971.85","37,708"
"05-Aug-2024","EQ","899.95","949.00","868.00","908.55","903.90","905.40","912.86","949.00","656.95","12,70,417","1,15,97,08,475.65","70,368"
"02-Aug-2024","EQ","872.00","923.00","862.00","871.65","910.95","908.55","902.71","923.00","656.95","18,01,719","1,62,64,22,901.15","85,338"
"01-Aug-2024","EQ","845.00","888.00","828.05","834.25","872.00","871.65","871.11","894.00","656.95","10,91,066","95,04,42,308.85","50,013"
"31-Jul-2024","EQ","829.00","844.70","824.60","825.35","835.00","834.25","837.33","894.00","656.95","1,33,400","11,17,00,010.60","10,384"
"30-Jul-2024","EQ","840.00","840.00","824.20","836.20","825.00","825.35","831.46","894.00","656.95","67,582","5,61,91,670.70","7,513"
"29-Jul-2024","EQ","841.00","848.35","819.75","835.80","835.00","836.20","831.95","894.00","656.95","1,37,260","11,41,93,166.10","10,116"
