"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","585.20","591.00","581.00","583.65","581.00","584.95","586.06","664.40","341.60","11,665","68,36,343.20","1,146"
"23-Aug-2024","EQ","593.60","598.65","580.05","591.75","585.70","583.65","588.79","664.40","341.60","23,680","1,39,42,544.15","1,775"
"22-Aug-2024","EQ","581.00","612.00","580.45","581.80","590.00","591.75","597.31","664.40","341.60","52,916","3,16,07,260.10","4,645"
"21-Aug-2024","EQ","585.00","601.10","580.10","588.70","580.10","581.80","589.84","664.40","341.60","29,979","1,76,82,683.80","3,115"
"20-Aug-2024","EQ","582.45","590.90","580.00","578.50","589.10","588.70","586.63","664.40","341.60","26,295","1,54,25,473.70","2,255"
"19-Aug-2024","EQ","582.00","595.75","576.00","577.85","577.00","578.50","584.12","664.40","341.60","29,582","1,72,79,325.10","2,689"
"16-Aug-2024","EQ","579.20","585.35","565.60","570.65","573.50","577.85","573.80","664.40","341.60","28,394","1,62,92,450.05","2,089"
"14-Aug-2024","EQ","576.30","578.95","558.80","571.35","572.00","570.65","567.48","664.40","341.60","30,174","1,71,23,255.70","2,654"
"13-Aug-2024","EQ","579.50","589.95","565.00","575.85","572.00","571.35","576.64","664.40","341.60","48,969","2,82,37,663.80","5,261"
"12-Aug-2024","EQ","581.40","584.90","568.70","583.40","571.00","575.85","575.76","664.40","341.60","49,412","2,84,49,319.60","4,996"
"09-Aug-2024","EQ","574.20","599.00","573.10","569.60","588.00","583.40","586.08","664.40","341.60","71,405","4,18,48,935.95","7,617"
"08-Aug-2024","EQ","574.00","588.80","566.65","574.90","572.00","569.60","578.23","664.40","341.60","48,481","2,80,33,276.30","5,447"
"07-Aug-2024","EQ","558.65","579.05","555.50","553.10","574.00","574.90","568.43","664.40","341.60","36,743","2,08,85,835.30","5,851"
"06-Aug-2024","EQ","579.10","584.70","546.35","567.75","557.60","553.10","566.83","664.40","341.60","41,378","2,34,54,251.25","4,722"
"05-Aug-2024","EQ","595.30","601.55","563.60","608.35","566.50","567.75","579.35","664.40","341.60","85,479","4,95,21,890.55","8,617"
"02-Aug-2024","EQ","590.00","634.95","571.55","589.85","602.40","608.35","599.81","664.40","341.60","1,14,263","6,85,36,549.80","7,354"
"01-Aug-2024","EQ","603.00","603.00","582.00","604.50","593.45","589.85","593.67","664.40","341.60","50,483","2,99,70,427.40","4,601"
"31-Jul-2024","EQ","616.85","623.45","599.60","613.75","600.00","604.50","609.06","664.40","341.60","54,806","3,33,80,114.20","5,073"
"30-Jul-2024","EQ","615.00","625.00","608.05","615.00","616.00","613.75","615.06","664.40","341.60","64,536","3,96,93,496.55","6,085"
"29-Jul-2024","EQ","612.20","620.00","602.35","609.20","607.25","615.00","610.91","664.40","341.60","60,862","3,71,80,927.45","5,250"
