"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","223.00","226.00","218.00","215.51","224.90","224.80","223.90","228.20","117.30","3,36,479","7,53,38,664.74","2,891"
"23-Aug-2024","BE","210.00","218.65","205.00","208.28","215.45","215.51","213.07","228.20","113.50","2,12,263","4,52,27,887.30","1,649"
"22-Aug-2024","BE","209.90","213.00","205.00","209.09","207.10","208.28","209.11","228.20","110.05","1,11,242","2,32,61,566.51","1,178"
"21-Aug-2024","BE","208.69","210.00","202.30","205.61","208.98","209.09","207.83","228.20","101.30","1,24,275","2,58,27,569.28","1,070"
"20-Aug-2024","BE","212.00","212.00","195.00","203.74","205.99","205.61","202.56","228.20","101.30","1,55,421","3,14,81,701.67","1,092"
"19-Aug-2024","BE","199.00","204.50","193.00","194.94","203.99","203.74","198.64","228.20","101.30","1,44,785","2,87,60,697.57","1,337"
"16-Aug-2024","BE","199.88","209.00","189.82","199.82","197.10","194.94","195.37","228.20","101.30","2,41,219","4,71,26,006.12","2,214"
"14-Aug-2024","BE","201.00","210.00","194.00","202.63","198.00","199.82","202.13","228.20","101.30","1,11,782","2,25,94,754.22","1,359"
"13-Aug-2024","EQ","215.66","220.00","200.05","215.66","203.40","202.63","209.75","228.20","101.30","4,89,205","10,26,09,649.65","15,842"
"12-Aug-2024","EQ","214.99","226.67","212.08","215.75","213.80","215.66","218.54","228.20","101.30","4,04,233","8,83,42,353.58","14,222"
"09-Aug-2024","EQ","212.61","221.49","212.61","211.06","217.08","215.75","217.07","228.20","101.30","3,25,139","7,05,79,141.12","11,657"
"08-Aug-2024","EQ","208.20","214.90","208.00","209.28","211.80","211.06","210.77","228.20","101.30","2,22,486","4,68,92,661.97","7,884"
"07-Aug-2024","EQ","217.00","217.40","206.27","208.74","209.25","209.28","211.06","228.20","101.30","2,58,087","5,44,71,674.48","10,318"
"06-Aug-2024","EQ","210.01","217.49","207.00","205.42","209.80","208.74","212.74","228.20","101.30","4,53,009","9,63,73,921.34","12,488"
"05-Aug-2024","EQ","196.10","219.99","196.00","209.83","205.00","205.42","207.50","228.20","101.30","11,20,972","23,26,05,677.19","34,671"
"02-Aug-2024","EQ","207.01","228.20","201.55","212.82","209.80","209.83","215.29","228.20","101.30","10,35,814","22,30,00,196.90","33,796"
"01-Aug-2024","EQ","214.20","226.00","209.07","212.31","214.40","212.82","218.54","226.00","101.30","9,09,981","19,88,70,519.31","28,989"
"31-Jul-2024","EQ","198.30","222.45","196.00","196.55","213.00","212.31","212.60","222.45","101.30","10,87,181","23,11,38,233.55","33,055"
"30-Jul-2024","EQ","197.79","198.80","194.05","196.00","196.50","196.55","196.09","203.35","101.30","2,62,655","5,15,03,923.20","6,667"
"29-Jul-2024","EQ","199.70","202.50","192.02","197.69","197.40","196.00","196.15","203.35","101.30","4,11,561","8,07,28,704.96","11,181"
