"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,640.00","1,644.90","1,608.50","1,639.65","1,618.00","1,618.15","1,617.42","1,901.95","1,136.80","2,35,025","38,01,34,629.65","18,829"
"23-Aug-2024","EQ","1,646.35","1,653.00","1,625.15","1,631.00","1,639.50","1,639.65","1,639.80","1,901.95","1,136.80","86,755","14,22,60,941.70","12,180"
"22-Aug-2024","EQ","1,663.20","1,663.20","1,625.25","1,645.15","1,631.50","1,631.00","1,638.41","1,901.95","1,136.80","59,252","9,70,79,304.25","9,105"
"21-Aug-2024","EQ","1,677.00","1,683.00","1,610.00","1,666.85","1,645.00","1,645.15","1,653.70","1,901.95","1,136.80","1,09,537","18,11,41,515.00","12,469"
"20-Aug-2024","EQ","1,660.00","1,700.00","1,656.05","1,634.95","1,666.00","1,666.85","1,677.44","1,901.95","1,136.80","2,73,609","45,89,61,421.20","25,135"
"19-Aug-2024","EQ","1,650.00","1,688.25","1,630.00","1,634.20","1,638.80","1,634.95","1,658.09","1,901.95","1,136.80","82,848","13,73,69,667.50","12,510"
"16-Aug-2024","EQ","1,595.00","1,643.30","1,588.05","1,577.80","1,635.00","1,634.20","1,622.47","1,901.95","1,136.80","1,40,604","22,81,25,819.50","17,865"
"14-Aug-2024","EQ","1,585.00","1,608.75","1,556.30","1,590.35","1,583.00","1,577.80","1,574.49","1,901.95","1,136.80","1,28,538","20,23,81,637.55","13,776"
"13-Aug-2024","EQ","1,625.00","1,635.95","1,580.00","1,625.00","1,587.00","1,590.35","1,608.06","1,901.95","1,136.80","1,00,821","16,21,25,725.95","13,397"
"12-Aug-2024","EQ","1,630.00","1,649.90","1,615.65","1,643.95","1,627.00","1,625.00","1,626.77","1,901.95","1,136.80","1,43,669","23,37,16,767.75","14,163"
"09-Aug-2024","EQ","1,683.90","1,691.55","1,625.00","1,662.90","1,636.60","1,643.95","1,661.91","1,901.95","1,136.80","1,71,483","28,49,89,780.35","21,955"
"08-Aug-2024","EQ","1,700.85","1,712.90","1,652.05","1,700.85","1,655.00","1,662.90","1,672.93","1,901.95","1,136.80","77,143","12,90,54,746.95","14,462"
"07-Aug-2024","EQ","1,655.00","1,705.25","1,652.25","1,650.30","1,704.90","1,700.85","1,685.23","1,901.95","1,136.80","49,336","8,31,42,347.60","7,362"
"06-Aug-2024","EQ","1,655.00","1,669.50","1,639.85","1,645.65","1,649.10","1,650.30","1,650.90","1,901.95","1,136.80","1,68,446","27,80,87,862.45","9,535"
"05-Aug-2024","EQ","1,684.00","1,684.00","1,635.35","1,711.15","1,644.90","1,645.65","1,656.76","1,901.95","1,136.80","1,38,775","22,99,16,342.35","29,169"
"02-Aug-2024","EQ","1,740.00","1,750.95","1,697.95","1,740.20","1,711.00","1,711.15","1,706.21","1,901.95","1,136.80","1,80,044","30,71,92,363.75","24,200"
"01-Aug-2024","EQ","1,778.00","1,790.00","1,724.65","1,795.05","1,743.10","1,740.20","1,735.39","1,901.95","1,136.80","3,82,639","66,40,29,733.50","27,010"
"31-Jul-2024","EQ","1,746.00","1,799.00","1,723.75","1,800.45","1,795.75","1,795.05","1,778.20","1,901.95","1,136.80","1,82,109","32,38,26,143.45","16,105"
"30-Jul-2024","EQ","1,800.00","1,825.00","1,770.00","1,797.40","1,800.00","1,800.45","1,792.03","1,901.95","1,136.80","1,61,028","28,85,67,487.00","15,614"
"29-Jul-2024","EQ","1,771.35","1,825.00","1,766.20","1,756.30","1,800.00","1,797.40","1,795.51","1,901.95","1,136.80","1,06,017","19,03,54,645.70","9,653"
