"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","82.65","84.33","81.18","82.30","82.74","82.68","82.87","94.85","48.30","95,71,454","79,31,69,157.70","37,129"
"23-Aug-2024","EQ","83.00","84.20","81.70","82.62","81.95","82.30","83.05","94.85","48.30","69,66,490","57,85,95,136.85","31,690"
"22-Aug-2024","EQ","82.45","84.80","81.80","81.84","82.48","82.62","83.42","94.85","48.30","1,02,44,533","85,45,49,228.98","46,132"
"21-Aug-2024","EQ","80.40","82.89","80.00","79.92","81.90","81.84","81.85","94.85","48.30","1,02,27,237","83,71,15,296.60","39,107"
"20-Aug-2024","EQ","82.00","82.22","79.01","81.75","80.20","79.92","80.34","94.85","48.30","82,32,686","66,14,36,243.11","37,074"
"19-Aug-2024","EQ","80.60","83.30","78.36","79.83","81.75","81.75","81.17","94.85","48.30","1,56,28,245","1,26,84,70,449.35","70,443"
"16-Aug-2024","EQ","86.24","86.24","79.50","83.56","79.92","79.83","81.31","94.85","46.35","1,88,87,501","1,53,58,23,610.40","67,846"
"14-Aug-2024","EQ","82.45","85.40","81.52","80.41","83.90","83.56","83.52","94.85","46.35","3,17,08,491","2,64,81,63,011.69","1,17,879"
"13-Aug-2024","EQ","89.48","92.10","79.10","80.64","80.91","80.41","86.93","94.85","46.35","13,04,36,203","11,33,93,73,889.33","3,77,638"
"12-Aug-2024","EQ","80.50","85.00","78.52","80.02","80.20","80.64","82.31","94.85","46.35","1,93,27,009","1,59,08,41,157.75","85,749"
"09-Aug-2024","EQ","78.00","81.30","77.63","77.20","79.92","80.02","80.08","94.85","45.10","78,19,700","62,62,24,749.39","36,832"
"08-Aug-2024","EQ","74.83","78.50","73.85","74.56","77.00","77.20","76.87","94.85","45.10","43,88,285","33,73,38,720.89","28,425"
"07-Aug-2024","EQ","72.90","74.75","72.29","71.54","74.45","74.56","73.59","94.85","45.10","19,38,933","14,26,88,455.46","11,803"
"06-Aug-2024","EQ","72.70","74.80","71.00","71.95","71.57","71.54","72.62","94.85","45.10","20,59,500","14,95,55,948.19","18,262"
"05-Aug-2024","EQ","75.00","75.00","71.25","76.92","71.85","71.95","72.63","94.85","45.10","42,54,567","30,89,88,841.51","33,059"
"02-Aug-2024","EQ","77.20","77.95","75.91","78.07","77.00","76.92","77.02","94.85","40.40","19,08,632","14,70,00,056.41","14,997"
"01-Aug-2024","EQ","79.99","80.10","77.70","79.62","78.30","78.07","78.56","94.85","40.40","25,35,475","19,91,92,976.01","17,795"
"31-Jul-2024","EQ","80.50","81.60","79.00","79.93","79.40","79.62","80.13","94.85","40.40","35,89,442","28,76,39,703.81","25,784"
"30-Jul-2024","EQ","77.95","82.35","76.75","76.52","79.78","79.93","80.46","94.85","40.40","1,30,90,858","1,05,32,70,732.17","61,961"
"29-Jul-2024","EQ","77.19","78.29","75.81","76.64","76.50","76.52","76.84","94.85","40.40","21,40,556","16,44,72,151.76","15,251"
