"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","18.29","18.35","17.11","16.69","17.64","17.51","17.67","18.70","8.75","15,63,936","2,76,29,373.17","6,253"
"23-Aug-2024","EQ","17.47","17.78","16.32","17.19","16.90","16.69","17.15","18.70","8.75","14,11,006","2,41,93,008.00","4,941"
"22-Aug-2024","EQ","15.49","18.33","15.49","15.28","17.10","17.19","17.73","18.70","8.75","84,70,491","15,01,47,024.98","16,835"
"21-Aug-2024","EQ","14.58","15.60","14.22","14.36","15.60","15.28","14.88","18.70","8.75","4,23,059","62,96,721.83","1,491"
"20-Aug-2024","EQ","14.23","14.67","14.09","14.25","14.50","14.36","14.41","18.70","8.75","3,07,651","44,31,764.80","950"
"19-Aug-2024","EQ","14.20","14.40","14.02","14.04","14.35","14.25","14.18","18.70","8.75","1,89,509","26,88,170.77","933"
"16-Aug-2024","EQ","14.44","14.54","13.85","14.10","14.02","14.04","14.07","18.70","8.45","2,96,523","41,71,101.76","1,342"
"14-Aug-2024","EQ","14.29","14.74","13.70","14.03","14.10","14.10","14.27","18.70","8.45","7,33,018","1,04,62,580.94","2,165"
"13-Aug-2024","EQ","14.52","14.53","14.00","14.24","14.01","14.03","14.18","18.70","8.45","5,10,416","72,36,355.52","1,110"
"12-Aug-2024","EQ","14.81","14.83","14.12","14.81","14.30","14.24","14.36","18.70","8.45","4,10,385","58,95,049.28","1,541"
"09-Aug-2024","EQ","15.50","15.64","14.61","15.43","14.85","14.81","15.05","18.70","8.45","3,91,062","58,83,810.73","1,730"
"08-Aug-2024","EQ","15.34","15.90","15.06","15.34","15.43","15.43","15.51","18.70","8.45","3,81,325","59,15,190.37","1,327"
"07-Aug-2024","EQ","15.55","15.55","14.69","14.80","15.40","15.34","15.13","18.70","8.45","2,90,594","43,97,736.03","1,308"
"06-Aug-2024","EQ","14.72","15.37","14.71","14.82","14.71","14.80","15.15","18.70","8.45","6,67,062","1,01,03,235.13","1,286"
"05-Aug-2024","EQ","15.10","15.84","14.65","15.94","14.65","14.82","15.14","18.70","8.45","8,06,231","1,22,08,300.52","2,117"
"02-Aug-2024","EQ","15.29","17.00","14.85","15.46","15.98","15.94","15.77","18.70","8.10","5,54,587","87,48,244.27","1,754"
"01-Aug-2024","EQ","16.60","16.75","15.10","16.37","15.25","15.46","15.93","18.70","8.10","7,30,114","1,16,33,932.91","1,995"
"31-Jul-2024","EQ","16.10","16.45","15.96","15.88","16.30","16.37","16.26","18.70","8.10","4,84,789","78,82,504.68","1,439"
"30-Jul-2024","EQ","16.20","16.30","15.70","15.84","15.91","15.88","15.88","18.70","8.10","2,24,843","35,70,100.78","969"
"29-Jul-2024","EQ","16.78","16.78","15.41","16.25","15.95","15.84","16.10","18.70","8.10","5,65,130","90,97,686.63","2,395"
