"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","778.50","778.50","743.25","770.25","750.65","754.60","755.84","788.00","518.00","81,896","6,19,00,110.00","8,045"
"23-Aug-2024","EQ","758.95","788.00","758.95","756.85","766.90","770.25","776.80","788.00","518.00","1,50,135","11,66,24,137.80","8,097"
"22-Aug-2024","EQ","740.90","764.80","740.05","735.35","763.00","756.85","753.28","779.90","518.00","75,835","5,71,25,060.20","4,520"
"21-Aug-2024","EQ","754.65","754.65","728.20","754.40","735.00","735.35","738.57","779.90","518.00","1,01,199","7,47,42,268.55","8,304"
"20-Aug-2024","EQ","772.85","776.00","747.70","766.95","754.00","754.40","757.86","779.90","518.00","90,590","6,86,54,272.25","7,487"
"19-Aug-2024","EQ","759.00","779.90","756.40","745.85","760.80","766.95","768.49","779.90","518.00","2,86,261","21,99,88,621.45","17,015"
"16-Aug-2024","EQ","718.00","770.00","712.80","716.45","756.00","745.85","747.71","770.00","518.00","4,47,803","33,48,27,018.20","15,180"
"14-Aug-2024","EQ","717.25","723.35","699.35","720.50","719.00","716.45","711.72","750.00","518.00","72,229","5,14,07,003.20","6,099"
"13-Aug-2024","EQ","727.00","733.00","714.05","721.40","715.00","720.50","726.14","750.00","518.00","2,51,959","18,29,57,437.10","9,841"
"12-Aug-2024","EQ","689.00","729.00","670.00","682.30","724.00","721.40","716.78","750.00","518.00","1,61,673","11,58,84,316.75","14,068"
"09-Aug-2024","EQ","679.00","690.00","670.25","668.35","676.40","682.30","678.08","750.00","518.00","39,139","2,65,39,346.30","3,393"
"08-Aug-2024","EQ","669.00","685.00","662.00","670.50","672.80","668.35","666.13","750.00","518.00","4,00,728","26,69,37,406.35","37,329"
"07-Aug-2024","EQ","686.85","689.95","660.05","671.95","673.00","670.50","668.99","750.00","518.00","65,470","4,37,98,465.20","4,292"
"06-Aug-2024","EQ","696.00","699.00","671.00","684.75","672.05","671.95","679.31","750.00","518.00","51,586","3,50,42,645.60","3,348"
"05-Aug-2024","EQ","695.30","698.35","660.00","718.00","683.50","684.75","677.56","750.00","518.00","1,96,251","13,29,72,487.40","8,674"
"02-Aug-2024","EQ","710.00","719.00","702.05","716.75","718.55","718.00","712.69","750.00","518.00","25,881","1,84,45,193.80","2,120"
"01-Aug-2024","EQ","730.00","730.00","706.25","724.95","720.00","716.75","717.97","750.00","518.00","66,748","4,79,22,876.65","5,330"
"31-Jul-2024","EQ","720.00","729.00","706.90","712.10","728.50","724.95","721.19","750.00","518.00","83,611","6,02,99,622.30","4,780"
"30-Jul-2024","EQ","698.00","727.00","697.25","699.65","717.45","712.10","718.57","750.00","518.00","1,70,095","12,22,24,400.10","6,175"
"29-Jul-2024","EQ","704.00","719.40","695.25","698.30","699.00","699.65","705.07","750.00","518.00","54,551","3,84,62,513.25","5,619"
