"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,040.20","1,129.00","1,029.80","1,040.20","1,102.90","1,097.20","1,094.30","1,129.00","361.00","3,67,035","40,16,47,439.05","34,386"
"23-Aug-2024","EQ","1,073.50","1,075.85","1,035.00","1,068.10","1,041.20","1,040.20","1,043.03","1,098.95","361.00","91,988","9,59,46,486.05","9,079"
"22-Aug-2024","EQ","1,075.00","1,098.00","1,044.95","1,064.50","1,066.75","1,068.10","1,071.59","1,098.95","361.00","1,58,828","17,01,99,160.50","14,207"
"21-Aug-2024","EQ","993.00","1,098.95","986.50","983.35","1,075.00","1,064.50","1,064.18","1,098.95","361.00","7,32,804","77,98,36,391.55","49,979"
"20-Aug-2024","EQ","982.00","1,005.35","964.00","976.55","983.00","983.35","985.38","1,050.00","361.00","1,64,111","16,17,12,438.95","13,844"
"19-Aug-2024","EQ","996.90","1,024.50","971.10","984.35","983.65","976.55","987.36","1,050.00","361.00","1,26,005","12,44,11,736.10","10,861"
"16-Aug-2024","EQ","1,040.00","1,043.00","977.00","1,013.00","983.00","984.35","996.75","1,050.00","336.10","1,36,593","13,61,48,552.90","14,219"
"14-Aug-2024","EQ","1,021.00","1,049.50","985.00","1,002.50","1,012.00","1,013.00","1,012.47","1,050.00","336.10","3,44,674","34,89,73,098.70","31,186"
"13-Aug-2024","EQ","940.00","1,050.00","930.00","925.00","1,013.00","1,002.50","1,012.51","1,050.00","336.10","13,28,212","1,34,48,32,178.00","70,250"
"12-Aug-2024","EQ","939.95","939.95","910.00","920.40","923.00","925.00","924.83","984.95","336.10","81,081","7,49,86,286.05","8,431"
"09-Aug-2024","EQ","921.90","943.00","906.90","898.40","922.00","920.40","922.73","984.95","315.25","1,31,142","12,10,09,113.60","11,406"
"08-Aug-2024","EQ","910.95","922.50","892.00","904.95","896.25","898.40","908.10","984.95","315.25","82,254","7,46,95,217.70","7,962"
"07-Aug-2024","EQ","879.00","910.00","856.00","854.35","908.00","904.95","886.43","984.95","315.25","1,81,351","16,07,55,520.80","17,471"
"06-Aug-2024","EQ","849.00","883.00","819.55","839.25","849.00","854.35","850.42","984.95","315.25","2,21,752","18,85,82,255.55","20,182"
"05-Aug-2024","EQ","863.15","872.80","830.00","893.15","832.00","839.25","850.31","984.95","315.25","1,54,874","13,16,91,361.70","12,187"
"02-Aug-2024","EQ","905.10","911.00","886.35","915.00","898.00","893.15","896.22","984.95","315.25","62,136","5,56,87,219.00","6,846"
"01-Aug-2024","EQ","940.70","947.35","910.00","940.00","912.05","915.00","922.93","984.95","315.25","84,069","7,75,89,971.45","8,939"
"31-Jul-2024","EQ","920.15","949.95","918.00","917.25","943.00","940.00","938.51","984.95","315.25","1,56,093","14,64,94,751.50","13,494"
"30-Jul-2024","EQ","933.00","935.65","913.00","930.65","917.00","917.25","923.45","984.95","315.25","79,578","7,34,86,699.20","8,219"
"29-Jul-2024","EQ","914.00","984.95","907.35","904.65","936.00","930.65","953.00","984.95","315.25","5,53,304","52,73,00,009.10","29,175"
