"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","210.95","211.65","207.00","209.77","207.06","207.34","208.25","237.85","127.25","6,30,780","13,13,61,778.93","14,531"
"23-Aug-2024","EQ","211.90","213.99","206.40","211.86","209.47","209.77","210.89","237.85","127.25","17,07,323","36,00,57,854.52","26,536"
"22-Aug-2024","EQ","208.40","213.40","205.99","206.58","211.80","211.86","210.32","237.85","127.25","27,48,543","57,80,75,534.29","35,826"
"21-Aug-2024","EQ","198.80","208.50","197.48","197.42","207.00","206.58","204.25","237.85","127.25","24,19,268","49,41,39,875.15","35,942"
"20-Aug-2024","EQ","196.65","199.80","194.34","194.99","198.00","197.42","195.97","237.85","127.25","13,69,433","26,83,63,562.24","16,892"
"19-Aug-2024","EQ","195.90","197.64","192.78","194.19","195.10","194.99","194.94","237.85","127.25","7,10,036","13,84,14,415.50","13,162"
"16-Aug-2024","EQ","190.90","197.89","189.01","188.86","194.50","194.19","192.84","237.85","127.25","16,34,354","31,51,73,575.84","29,857"
"14-Aug-2024","EQ","187.40","192.18","184.84","185.52","189.79","188.86","187.25","237.85","127.25","8,96,706","16,79,04,418.59","22,006"
"13-Aug-2024","EQ","189.80","192.75","184.60","188.87","185.91","185.52","188.11","237.85","127.25","11,69,631","22,00,19,808.27","18,266"
"12-Aug-2024","EQ","197.00","198.16","187.10","197.36","189.85","188.87","191.50","237.85","127.25","20,25,274","38,78,38,638.60","36,927"
"09-Aug-2024","EQ","193.65","205.00","193.65","193.20","197.30","197.36","200.99","237.85","127.25","47,36,913","95,20,72,271.03","70,184"
"08-Aug-2024","EQ","194.15","196.00","190.60","190.00","192.50","193.20","193.19","237.85","127.25","19,92,620","38,49,45,036.30","34,241"
"07-Aug-2024","EQ","185.52","192.28","184.94","182.52","189.31","190.00","188.95","237.85","127.25","31,28,666","59,11,47,045.69","53,443"
"06-Aug-2024","EQ","185.00","186.70","181.07","178.56","184.80","182.52","183.15","237.85","127.25","30,15,983","55,23,84,850.86","36,076"
"05-Aug-2024","EQ","182.00","187.50","177.06","179.36","178.05","178.56","181.30","237.85","127.25","39,03,386","70,76,95,474.17","61,108"
"02-Aug-2024","EQ","175.00","180.64","175.00","179.07","179.30","179.36","178.70","237.85","127.25","9,14,501","16,34,19,852.64","32,567"
"01-Aug-2024","EQ","185.00","185.50","177.55","182.75","180.00","179.07","181.66","237.85","127.25","7,59,447","13,79,59,830.28","19,562"
"31-Jul-2024","EQ","185.01","187.05","181.23","184.97","182.80","182.75","184.54","237.85","127.25","10,23,091","18,88,01,174.12","21,248"
"30-Jul-2024","EQ","187.30","187.30","183.31","185.92","185.69","184.97","184.34","237.85","127.25","4,11,224","7,58,06,371.69","8,607"
"29-Jul-2024","EQ","185.10","186.40","181.45","184.09","185.90","185.92","184.01","237.85","127.25","6,14,990","11,31,64,462.56","18,950"
