"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","647.95","647.95","627.00","639.40","630.00","630.20","636.36","697.50","345.30","33,697","2,14,43,276.60","3,338"
"23-Aug-2024","EQ","639.25","645.00","631.15","639.25","638.50","639.40","639.23","697.50","345.30","47,520","3,03,76,358.45","4,063"
"22-Aug-2024","EQ","640.00","650.80","634.30","637.75","638.00","639.25","641.92","697.50","345.30","51,757","3,32,23,990.85","4,494"
"21-Aug-2024","EQ","624.90","643.90","620.00","623.70","635.95","637.75","632.67","697.50","345.30","86,803","5,49,17,922.60","5,306"
"20-Aug-2024","EQ","626.50","629.25","617.55","620.30","624.00","623.70","623.82","697.50","345.30","56,745","3,53,98,595.35","4,316"
"19-Aug-2024","EQ","612.90","627.00","612.90","611.75","621.00","620.30","619.89","697.50","345.30","60,477","3,74,89,050.70","5,256"
"16-Aug-2024","EQ","648.80","650.60","608.10","640.45","610.70","611.75","617.87","697.50","345.30","1,87,350","11,57,58,007.15","16,645"
"14-Aug-2024","EQ","644.00","662.00","623.40","642.95","640.00","640.45","639.63","697.50","345.30","69,334","4,43,48,303.15","7,542"
"13-Aug-2024","EQ","663.70","664.60","636.65","663.70","642.00","642.95","646.80","697.50","345.30","71,512","4,62,54,198.10","6,354"
"12-Aug-2024","EQ","658.00","677.40","652.05","658.35","663.00","663.70","664.31","697.50","345.30","1,17,870","7,83,02,637.30","9,915"
"09-Aug-2024","EQ","638.65","667.45","627.00","642.50","656.35","658.35","647.83","697.50","345.30","2,31,351","14,98,77,081.20","18,662"
"08-Aug-2024","EQ","680.00","680.00","634.85","681.10","641.10","642.50","654.47","697.50","345.30","1,25,889","8,23,91,188.40","10,609"
"07-Aug-2024","EQ","674.30","690.80","663.65","674.30","677.25","681.10","677.81","697.50","345.30","1,04,815","7,10,44,524.60","8,745"
"06-Aug-2024","EQ","695.00","697.50","668.00","669.85","669.55","674.30","688.75","697.50","345.30","4,67,075","32,16,97,461.05","25,035"
"05-Aug-2024","EQ","645.40","674.70","632.55","661.15","668.00","669.85","657.94","678.00","345.30","3,61,280","23,77,01,785.35","29,101"
"02-Aug-2024","EQ","625.00","678.00","619.95","637.95","660.00","661.15","654.81","678.00","345.30","2,13,196","13,96,03,835.40","17,157"
"01-Aug-2024","EQ","653.80","653.80","632.15","647.40","644.90","637.95","639.51","662.60","345.30","1,13,705","7,27,15,185.55","9,372"
"31-Jul-2024","EQ","641.50","662.60","640.70","645.55","650.05","647.40","651.86","662.60","345.30","1,26,321","8,23,43,277.45","10,378"
"30-Jul-2024","EQ","634.85","657.75","634.85","632.10","642.10","645.55","645.23","657.75","345.30","1,89,354","12,21,75,969.25","11,428"
"29-Jul-2024","EQ","651.10","654.90","630.00","646.85","630.00","632.10","642.44","657.60","345.30","1,97,891","12,71,32,220.25","11,369"
