"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","441.00","441.00","423.25","436.95","424.50","425.30","429.74","629.95","273.75","28,071","1,20,63,257.40","3,320"
"23-Aug-2024","EQ","440.20","442.40","431.05","440.05","438.80","436.95","436.81","629.95","273.75","23,987","1,04,77,641.85","2,638"
"22-Aug-2024","EQ","434.90","446.00","424.85","432.95","440.00","440.05","438.27","629.95","273.75","92,363","4,04,79,727.85","7,588"
"21-Aug-2024","EQ","411.90","458.35","411.90","409.70","431.95","432.95","440.82","629.95","273.75","4,36,233","19,23,02,168.40","32,284"
"20-Aug-2024","EQ","409.10","415.00","399.40","407.90","411.70","409.70","409.03","629.95","273.75","58,540","2,39,44,870.30","4,200"
"19-Aug-2024","EQ","402.00","419.80","398.05","405.00","405.00","407.90","407.24","629.95","273.75","58,552","2,38,44,999.45","3,449"
"16-Aug-2024","EQ","382.10","407.70","376.60","380.10","400.00","405.00","394.47","629.95","273.75","50,105","1,97,64,898.75","4,353"
"14-Aug-2024","EQ","393.55","394.95","375.00","391.50","376.00","380.10","385.52","629.95","273.75","19,064","73,49,538.95","2,072"
"13-Aug-2024","EQ","393.65","398.95","385.25","390.50","392.80","391.50","390.83","629.95","273.75","33,470","1,30,81,218.50","2,498"
"12-Aug-2024","EQ","394.15","400.00","385.85","394.60","387.00","390.50","391.42","629.95","273.75","23,051","90,22,590.10","2,086"
"09-Aug-2024","EQ","409.00","409.00","389.00","394.90","395.40","394.60","395.34","629.95","273.75","21,883","86,51,136.80","2,700"
"08-Aug-2024","EQ","404.35","406.20","391.00","404.35","392.20","394.90","397.94","629.95","273.75","23,156","92,14,601.05","2,938"
"07-Aug-2024","EQ","398.00","414.95","396.85","393.05","405.95","404.35","403.60","629.95","273.75","23,140","93,39,232.95","4,403"
"06-Aug-2024","EQ","382.90","425.00","382.85","385.90","404.00","393.05","409.79","629.95","273.75","1,16,532","4,77,54,166.55","13,019"
"05-Aug-2024","EQ","407.95","407.95","383.00","413.20","389.00","385.90","389.54","629.95","273.75","38,878","1,51,44,439.90","5,353"
"02-Aug-2024","EQ","415.05","423.90","410.05","420.00","413.00","413.20","417.27","629.95","273.75","21,807","90,99,451.70","2,534"
"01-Aug-2024","EQ","424.30","426.85","416.60","421.85","420.00","420.00","420.90","629.95","273.75","9,926","41,77,867.15","1,880"
"31-Jul-2024","EQ","420.15","433.40","417.15","424.90","422.30","421.85","424.34","629.95","273.75","23,862","1,01,25,581.10","3,787"
"30-Jul-2024","EQ","418.40","430.00","418.40","416.50","425.50","424.90","425.39","629.95","273.75","38,119","1,62,15,527.65","6,100"
"29-Jul-2024","EQ","435.15","436.75","412.05","428.80","418.40","416.50","424.66","629.95","273.75","58,484","2,48,35,536.05","5,640"
