"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","92.41","95.08","90.30","93.55","91.84","91.27","92.62","112.62","84.10","4,50,567","4,17,29,992.85","5,741"
"23-Aug-2024","EQ","92.00","94.70","91.05","91.83","93.60","93.55","93.27","112.62","84.10","10,34,788","9,65,11,498.83","6,135"
"22-Aug-2024","EQ","91.95","93.00","91.10","91.94","92.00","91.83","92.37","112.62","84.10","2,57,687","2,38,03,383.69","3,596"
"21-Aug-2024","EQ","90.00","92.20","89.99","89.99","91.46","91.94","91.36","112.62","84.10","3,17,148","2,89,74,902.75","3,248"
"20-Aug-2024","EQ","90.80","91.54","89.50","90.28","90.65","89.99","90.29","112.62","84.10","2,36,579","2,13,61,449.42","4,064"
"19-Aug-2024","EQ","89.80","92.00","89.60","89.21","90.71","90.28","90.39","112.62","84.10","2,76,792","2,50,18,462.48","3,490"
"16-Aug-2024","EQ","90.75","90.80","88.88","90.38","89.49","89.21","89.63","112.62","84.10","3,31,800","2,97,40,265.53","4,597"
"14-Aug-2024","EQ","89.45","90.80","88.69","88.92","90.80","90.38","89.71","112.62","84.10","2,74,694","2,46,42,020.67","4,831"
"13-Aug-2024","EQ","90.41","91.87","88.75","90.15","89.39","88.92","90.15","112.62","84.10","4,72,058","4,25,55,032.83","5,575"
"12-Aug-2024","EQ","90.00","91.34","89.65","92.27","90.40","90.15","90.43","112.62","84.10","5,05,712","4,57,32,575.18","5,675"
"09-Aug-2024","EQ","93.00","93.50","92.02","92.26","92.20","92.27","92.51","112.62","84.10","1,96,349","1,81,63,532.05","3,355"
"08-Aug-2024","EQ","92.90","94.25","91.90","92.50","92.10","92.26","92.92","112.62","84.10","3,15,484","2,93,13,919.75","5,292"
"07-Aug-2024","EQ","93.70","95.95","91.80","91.06","92.60","92.50","93.61","112.62","84.10","11,44,700","10,71,51,983.15","12,734"
"06-Aug-2024","EQ","91.75","94.35","90.24","91.24","93.50","91.06","92.48","112.62","84.10","4,42,182","4,08,91,011.49","3,682"
"05-Aug-2024","EQ","91.70","93.50","90.98","94.86","91.30","91.24","91.93","112.62","84.10","5,79,638","5,32,85,262.68","4,637"
"02-Aug-2024","EQ","94.00","96.20","93.79","94.73","94.75","94.86","95.09","112.62","84.10","3,98,811","3,79,21,630.02","2,729"
"01-Aug-2024","EQ","96.44","96.44","94.42","95.70","94.82","94.73","95.56","112.62","84.10","5,02,217","4,79,93,581.33","3,023"
"31-Jul-2024","EQ","96.03","96.76","95.50","96.03","95.88","95.70","95.97","112.62","84.10","6,48,156","6,22,01,530.80","3,802"
"30-Jul-2024","EQ","97.95","97.95","95.25","97.36","96.00","96.03","96.48","112.62","84.10","7,66,040","7,39,08,562.86","5,142"
"29-Jul-2024","EQ","99.89","101.75","96.90","99.23","97.50","97.36","99.45","112.62","84.10","19,83,068","19,72,13,363.48","11,224"
