"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","836.95","842.00","809.25","835.80","812.50","811.80","818.97","1,494.95","612.70","3,24,658","26,58,85,378.60","14,907"
"23-Aug-2024","EQ","836.90","865.00","830.05","835.60","836.40","835.80","840.02","1,494.95","612.70","1,54,801","13,00,36,239.30","7,646"
"22-Aug-2024","EQ","855.95","861.80","832.85","852.35","835.00","835.60","844.61","1,494.95","612.70","1,73,816","14,68,06,657.40","9,635"
"21-Aug-2024","EQ","842.50","858.00","834.05","835.70","857.50","852.35","843.82","1,494.95","612.70","4,40,906","37,20,45,921.55","23,644"
"20-Aug-2024","EQ","832.60","869.00","829.55","827.60","839.65","835.70","850.38","1,494.95","612.70","3,23,866","27,54,09,069.75","17,733"
"19-Aug-2024","EQ","822.25","845.95","821.65","821.65","829.00","827.60","833.08","1,494.95","612.70","1,98,554","16,54,11,725.80","10,781"
"16-Aug-2024","EQ","820.00","834.05","816.70","813.35","819.85","821.65","824.01","1,494.95","605.00","1,69,205","13,94,27,024.05","11,709"
"14-Aug-2024","EQ","867.15","867.15","808.55","858.40","814.80","813.35","826.37","1,494.95","605.00","3,85,461","31,85,34,889.85","22,354"
"13-Aug-2024","EQ","858.00","898.95","850.50","870.40","858.00","858.40","869.04","1,494.95","605.00","6,55,267","56,94,55,074.40","27,227"
"12-Aug-2024","EQ","835.20","904.40","822.65","835.20","870.00","870.40","865.57","1,494.95","605.00","6,83,486","59,16,07,132.35","39,545"
"09-Aug-2024","EQ","844.00","857.25","817.55","833.50","835.35","835.20","835.04","1,494.95","594.10","6,87,083","57,37,44,240.80","36,976"
"08-Aug-2024","EQ","865.05","868.90","800.00","883.45","834.00","833.50","822.12","1,494.95","594.10","27,18,005","2,23,45,26,303.70","1,03,898"
"07-Aug-2024","EQ","1,033.00","1,063.00","866.25","1,021.00","890.00","883.45","928.85","1,494.95","594.10","17,03,157","1,58,19,71,629.45","72,406"
"06-Aug-2024","EQ","1,082.20","1,103.30","1,013.05","1,060.95","1,022.00","1,021.00","1,054.41","1,494.95","594.10","3,61,873","38,15,62,461.65","26,732"
"05-Aug-2024","EQ","1,105.00","1,118.00","1,053.00","1,137.20","1,060.00","1,060.95","1,081.60","1,494.95","594.10","3,05,402","33,03,21,878.10","30,288"
"02-Aug-2024","EQ","1,140.00","1,158.85","1,103.95","1,173.55","1,150.00","1,137.20","1,140.47","1,494.95","591.25","2,25,535","25,72,15,403.20","17,392"
"01-Aug-2024","EQ","1,189.00","1,205.00","1,161.05","1,174.85","1,171.10","1,173.55","1,185.58","1,494.95","591.25","4,76,404","56,48,14,298.40","29,260"
"31-Jul-2024","EQ","1,117.85","1,186.00","1,116.00","1,123.05","1,168.00","1,174.85","1,164.58","1,494.95","591.25","5,43,837","63,33,41,443.35","33,350"
"30-Jul-2024","EQ","1,125.80","1,149.00","1,101.20","1,127.60","1,111.00","1,123.05","1,133.05","1,494.95","591.25","2,92,368","33,12,68,701.70","14,619"
"29-Jul-2024","EQ","1,109.00","1,141.80","1,102.00","1,103.65","1,125.00","1,127.60","1,124.07","1,494.95","591.25","3,25,698","36,61,06,511.45","17,208"
