"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","16.90","17.20","16.20","16.72","16.53","16.47","16.69","44.45","14.95","1,80,933","30,19,442.41","641"
"23-Aug-2024","EQ","17.40","17.40","16.55","16.83","16.87","16.72","17.09","44.45","14.95","1,47,365","25,18,056.11","446"
"22-Aug-2024","EQ","16.53","16.99","16.53","16.67","16.94","16.83","16.86","44.45","14.95","1,05,682","17,81,748.44","305"
"21-Aug-2024","EQ","16.37","16.84","16.20","16.14","16.81","16.67","16.58","44.45","14.95","1,47,084","24,39,165.39","334"
"20-Aug-2024","EQ","16.10","16.57","16.01","16.33","16.13","16.14","16.17","44.45","14.95","1,14,046","18,43,612.14","451"
"19-Aug-2024","EQ","16.21","16.85","16.00","16.20","16.24","16.33","16.45","44.45","14.95","1,18,542","19,49,737.51","372"
"16-Aug-2024","EQ","16.50","16.67","15.70","16.35","16.35","16.20","16.18","44.45","14.95","1,15,121","18,62,839.63","550"
"14-Aug-2024","EQ","17.19","17.19","16.20","16.64","16.64","16.35","16.68","44.45","14.95","94,328","15,73,593.61","312"
"13-Aug-2024","EQ","17.30","17.30","16.40","16.83","17.09","16.64","16.69","44.45","14.95","1,31,943","22,01,813.95","458"
"12-Aug-2024","EQ","17.20","17.29","16.77","16.83","16.80","16.83","16.91","44.45","14.95","1,51,217","25,57,227.28","304"
"09-Aug-2024","EQ","17.70","17.81","16.80","17.45","16.96","16.83","17.47","44.45","14.95","3,88,000","67,79,036.72","701"
"08-Aug-2024","EQ","17.39","17.90","16.86","16.91","17.11","17.45","17.42","44.45","14.95","5,72,082","99,68,390.97","732"
"07-Aug-2024","EQ","17.99","17.99","16.82","16.80","16.90","16.91","17.07","44.45","14.95","50,863","8,68,177.34","281"
"06-Aug-2024","EQ","16.40","17.39","16.33","16.66","16.85","16.80","17.09","44.45","14.95","75,111","12,83,955.05","286"
"05-Aug-2024","EQ","16.90","16.92","16.30","17.04","16.82","16.66","16.61","44.45","14.95","1,16,340","19,32,191.39","587"
"02-Aug-2024","EQ","17.00","17.34","16.92","17.12","17.05","17.04","17.09","44.45","14.95","73,434","12,55,004.62","393"
"01-Aug-2024","EQ","17.49","17.49","17.05","17.18","17.12","17.12","17.26","44.45","14.95","1,11,091","19,17,598.66","362"
"31-Jul-2024","EQ","17.08","17.43","17.08","17.22","17.11","17.18","17.22","44.45","14.95","1,31,009","22,55,826.55","414"
"30-Jul-2024","EQ","17.59","17.59","17.07","17.30","17.28","17.22","17.24","44.45","14.95","1,37,949","23,78,572.65","495"
"29-Jul-2024","EQ","17.35","17.49","17.21","17.27","17.21","17.30","17.32","44.45","14.95","1,02,013","17,66,443.41","447"
