"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,644.90","1,644.90","1,615.70","1,630.45","1,620.00","1,620.55","1,624.24","1,817.20","1,213.00","63,164","10,25,93,325.80","7,477"
"23-Aug-2024","EQ","1,624.10","1,639.90","1,615.00","1,608.90","1,628.10","1,630.45","1,625.98","1,817.20","1,213.00","91,565","14,88,83,158.85","9,617"
"22-Aug-2024","EQ","1,600.00","1,643.00","1,600.00","1,593.80","1,610.00","1,608.90","1,619.33","1,817.20","1,213.00","1,49,604","24,22,58,078.15","5,835"
"21-Aug-2024","EQ","1,579.90","1,613.20","1,558.00","1,573.25","1,600.00","1,593.80","1,592.47","1,817.20","1,213.00","81,688","13,00,85,723.85","9,987"
"20-Aug-2024","EQ","1,610.00","1,635.00","1,552.00","1,557.80","1,577.00","1,573.25","1,575.79","1,817.20","1,213.00","1,03,187","16,26,01,479.60","12,500"
"19-Aug-2024","EQ","1,578.40","1,578.40","1,544.20","1,562.95","1,565.00","1,557.80","1,551.03","1,817.20","1,213.00","1,23,788","19,19,98,883.50","3,729"
"16-Aug-2024","EQ","1,541.00","1,577.00","1,539.00","1,536.20","1,564.50","1,562.95","1,554.65","1,817.20","1,213.00","60,900","9,46,78,110.95","13,505"
"14-Aug-2024","EQ","1,550.00","1,558.30","1,518.05","1,544.10","1,534.95","1,536.20","1,533.44","1,817.20","1,213.00","2,16,261","33,16,22,609.90","17,887"
"13-Aug-2024","EQ","1,594.40","1,594.40","1,537.05","1,594.45","1,540.00","1,544.10","1,562.07","1,817.20","1,213.00","1,67,654","26,18,86,858.85","14,976"
"12-Aug-2024","EQ","1,576.10","1,611.30","1,572.70","1,590.60","1,581.30","1,594.45","1,599.02","1,817.20","1,213.00","89,199","14,26,30,997.25","10,040"
"09-Aug-2024","EQ","1,615.00","1,624.95","1,575.00","1,610.80","1,599.00","1,590.60","1,602.12","1,817.20","1,213.00","1,35,986","21,78,65,937.30","12,774"
"08-Aug-2024","EQ","1,648.00","1,652.00","1,604.00","1,642.90","1,611.00","1,610.80","1,619.33","1,817.20","1,213.00","59,053","9,56,26,293.45","10,558"
"07-Aug-2024","EQ","1,664.20","1,715.00","1,627.80","1,656.25","1,628.95","1,642.90","1,650.82","1,817.20","1,213.00","26,44,848","4,36,61,70,838.15","26,038"
"06-Aug-2024","EQ","1,631.45","1,691.85","1,630.65","1,631.50","1,660.00","1,656.25","1,671.02","1,817.20","1,213.00","72,168","12,05,93,992.10","10,120"
"05-Aug-2024","EQ","1,655.80","1,663.35","1,613.50","1,678.15","1,631.10","1,631.50","1,634.21","1,817.20","1,213.00","87,283","14,26,38,722.60","15,626"
"02-Aug-2024","EQ","1,689.95","1,698.00","1,666.35","1,695.45","1,683.90","1,678.15","1,682.30","1,817.20","1,213.00","92,942","15,63,56,222.80","8,060"
"01-Aug-2024","EQ","1,657.60","1,817.20","1,652.70","1,651.85","1,699.95","1,695.45","1,732.29","1,817.20","1,213.00","10,11,491","1,75,21,90,835.15","78,312"
"31-Jul-2024","EQ","1,604.90","1,676.00","1,584.00","1,605.45","1,650.00","1,651.85","1,647.54","1,680.00","1,213.00","1,94,904","32,11,11,456.30","20,741"
"30-Jul-2024","EQ","1,581.00","1,617.00","1,561.25","1,580.75","1,604.90","1,605.45","1,597.42","1,680.00","1,213.00","2,53,529","40,49,93,003.70","18,298"
"29-Jul-2024","EQ","1,579.00","1,588.75","1,554.10","1,555.80","1,577.65","1,580.75","1,579.37","1,680.00","1,213.00","1,48,853","23,50,93,279.15","9,705"
