"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","8.93","8.94","8.80","8.87","8.83","8.81","8.83","156.90","4.00","24,12,035","2,12,88,893.11","5,495"
"23-Aug-2024","EQ","8.89","8.96","8.86","8.86","8.88","8.87","8.89","156.90","4.00","20,04,191","1,78,09,972.93","4,433"
"22-Aug-2024","EQ","8.90","8.98","8.85","8.89","8.88","8.86","8.89","156.90","4.00","21,07,886","1,87,39,640.81","5,071"
"21-Aug-2024","EQ","8.88","8.97","8.85","8.84","8.89","8.89","8.90","156.90","4.00","19,92,001","1,77,24,226.43","4,356"
"20-Aug-2024","EQ","8.95","8.98","8.81","8.89","8.85","8.84","8.87","156.90","4.00","25,66,424","2,27,75,195.06","5,670"
"19-Aug-2024","EQ","8.90","9.13","8.85","8.85","8.90","8.89","8.95","156.90","4.00","44,46,678","3,97,92,771.44","6,072"
"16-Aug-2024","EQ","9.17","9.17","8.76","8.99","8.90","8.85","8.86","156.90","4.00","38,15,989","3,38,04,781.58","6,927"
"14-Aug-2024","EQ","9.13","9.13","8.80","9.20","9.11","8.99","8.96","156.90","4.00","34,98,787","3,13,59,987.70","6,605"
"13-Aug-2024","EQ","9.69","9.89","9.16","9.40","9.24","9.20","9.36","156.90","4.00","50,06,047","4,68,81,324.30","9,212"
"12-Aug-2024","EQ","8.80","9.55","8.70","8.70","9.50","9.40","9.31","156.90","4.00","1,11,76,357","10,40,35,921.50","13,534"
"09-Aug-2024","EQ","9.01","9.15","8.50","8.90","8.70","8.70","8.76","156.90","4.00","36,11,667","3,16,35,245.49","7,342"
"08-Aug-2024","EQ","8.90","9.06","8.85","8.91","8.91","8.90","8.95","156.90","4.00","22,67,535","2,02,96,306.66","4,940"
"07-Aug-2024","EQ","8.60","8.98","8.60","8.61","8.90","8.91","8.75","156.90","4.00","35,77,365","3,13,13,762.74","5,689"
"06-Aug-2024","EQ","8.61","8.99","8.60","8.73","8.63","8.61","8.73","156.90","4.00","36,88,046","3,21,88,208.70","6,984"
"05-Aug-2024","EQ","8.89","9.00","8.70","9.09","8.74","8.73","8.79","156.90","4.00","48,26,586","4,24,37,910.04","11,906"
"02-Aug-2024","EQ","9.05","9.21","8.96","9.11","9.15","9.09","9.08","156.90","4.00","27,68,406","2,51,41,859.55","5,654"
"01-Aug-2024","EQ","9.25","9.27","9.10","9.21","9.13","9.11","9.15","156.90","4.00","19,33,905","1,77,01,468.94","5,277"
"31-Jul-2024","EQ","9.20","9.35","9.18","9.18","9.22","9.21","9.24","156.90","4.00","16,68,715","1,54,14,496.37","4,959"
"30-Jul-2024","EQ","9.28","9.30","9.11","9.24","9.23","9.18","9.21","156.90","4.00","29,79,551","2,74,39,025.85","7,171"
"29-Jul-2024","EQ","9.58","9.58","9.20","9.32","9.28","9.24","9.33","156.90","4.00","28,97,800","2,70,33,873.64","7,432"
