"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","126.30","127.79","126.00","127.71","126.24","126.07","126.54","148.86","113.44","82,310","1,04,15,134.32","1,752"
"23-Aug-2024","EQ","124.40","128.90","124.11","126.30","127.20","127.71","127.28","148.86","109.85","1,07,859","1,37,27,921.27","3,102"
"22-Aug-2024","EQ","127.60","128.90","125.12","127.26","126.40","126.30","127.23","148.86","109.25","1,01,204","1,28,76,357.95","3,006"
"21-Aug-2024","EQ","128.80","128.90","126.45","127.08","127.85","127.26","127.59","148.86","101.00","69,432","88,58,669.22","2,278"
"20-Aug-2024","EQ","125.00","130.00","125.00","124.97","127.95","127.08","127.50","148.86","95.70","1,75,069","2,23,22,022.19","4,554"
"19-Aug-2024","EQ","124.00","127.50","122.31","121.81","125.35","124.97","125.16","148.86","95.70","1,27,375","1,59,42,712.14","3,954"
"16-Aug-2024","EQ","122.00","124.44","120.25","121.08","121.60","121.81","121.32","148.86","95.70","1,18,062","1,43,23,654.32","3,344"
"14-Aug-2024","EQ","122.50","124.28","120.38","123.47","121.60","121.08","121.85","148.86","95.70","1,64,589","2,00,54,383.78","4,418"
"13-Aug-2024","EQ","127.85","128.83","122.34","125.97","123.90","123.47","125.32","148.86","95.70","2,42,923","3,04,43,860.40","5,375"
"12-Aug-2024","EQ","124.02","126.85","121.66","130.08","126.65","125.97","123.99","148.86","95.70","3,73,475","4,63,07,854.79","5,300"
"09-Aug-2024","EQ","128.29","132.43","128.00","126.92","131.00","130.08","129.93","148.86","95.70","1,14,921","1,49,31,988.51","3,367"
"08-Aug-2024","EQ","130.49","130.49","125.80","130.76","126.90","126.92","127.81","148.86","95.70","1,49,675","1,91,29,739.16","4,188"
"07-Aug-2024","EQ","129.00","132.79","127.70","127.22","128.95","130.76","129.72","148.86","95.70","1,50,148","1,94,76,688.86","3,396"
"06-Aug-2024","EQ","129.72","134.14","127.00","129.72","127.72","127.22","130.96","148.86","95.70","1,74,166","2,28,09,420.75","4,033"
"05-Aug-2024","EQ","130.89","132.09","125.79","131.39","131.10","129.72","128.96","148.86","95.70","3,30,101","4,25,68,840.91","6,936"
"02-Aug-2024","EQ","133.83","133.99","127.83","133.83","132.95","131.39","132.03","148.86","95.70","1,85,178","2,44,48,173.62","3,605"
"01-Aug-2024","EQ","144.40","144.40","133.20","142.29","135.19","133.83","136.50","148.86","95.70","3,48,717","4,75,98,231.95","6,917"
"31-Jul-2024","EQ","141.35","144.31","138.96","139.97","142.38","142.29","141.42","148.86","95.70","2,77,197","3,92,01,668.94","5,051"
"30-Jul-2024","EQ","139.57","144.00","137.10","139.57","139.91","139.97","141.03","148.86","95.70","2,00,063","2,82,15,731.72","4,060"
"29-Jul-2024","EQ","145.00","146.00","135.70","141.16","140.00","139.57","142.46","148.86","95.70","3,72,811","5,31,08,890.81","5,550"
