"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","593.25","602.00","578.90","592.35","596.00","596.75","591.17","691.95","460.00","2,02,794","11,98,84,717.35","16,904"
"23-Aug-2024","EQ","611.90","613.65","584.55","603.65","593.00","592.35","593.24","691.95","460.00","1,46,406","8,68,53,925.55","10,500"
"22-Aug-2024","EQ","595.70","614.90","589.55","586.95","606.00","603.65","599.23","691.95","460.00","1,11,425","6,67,68,869.95","7,540"
"21-Aug-2024","EQ","592.00","595.95","583.80","589.80","589.15","586.95","588.79","691.95","460.00","59,141","3,48,21,527.10","6,499"
"20-Aug-2024","EQ","603.00","617.05","579.65","603.00","589.00","589.80","595.05","691.95","460.00","1,25,975","7,49,61,334.65","10,446"
"19-Aug-2024","EQ","593.00","609.60","581.00","591.30","607.00","603.00","593.33","691.95","460.00","1,10,643","6,56,47,499.15","8,445"
"16-Aug-2024","EQ","560.90","595.25","558.55","559.00","592.00","591.30","578.35","691.95","460.00","1,21,557","7,03,02,440.60","8,886"
"14-Aug-2024","EQ","566.90","568.05","555.00","565.55","560.00","559.00","561.43","691.95","460.00","79,534","4,46,52,523.25","7,287"
"13-Aug-2024","EQ","581.15","588.90","560.40","581.50","566.25","565.55","572.95","691.95","460.00","1,38,619","7,94,21,187.70","12,259"
"12-Aug-2024","EQ","548.50","587.15","541.50","546.55","581.15","581.50","563.21","691.95","460.00","2,52,321","14,21,09,110.50","18,592"
"09-Aug-2024","EQ","571.40","578.45","543.00","565.20","548.00","546.55","553.56","691.95","460.00","2,92,906","16,21,40,412.40","18,349"
"08-Aug-2024","EQ","550.00","598.00","549.95","550.20","563.95","565.20","578.56","691.95","460.00","5,23,275","30,27,47,778.30","44,760"
"07-Aug-2024","EQ","557.00","567.20","536.10","560.70","551.00","550.20","546.67","691.95","460.00","3,99,132","21,81,92,288.55","25,496"
"06-Aug-2024","EQ","608.00","620.75","550.00","610.00","566.50","560.70","573.42","691.95","460.00","5,98,211","34,30,27,337.25","38,760"
"05-Aug-2024","EQ","629.95","629.95","598.60","638.30","609.35","610.00","611.14","691.95","460.00","1,77,534","10,84,98,089.25","21,367"
"02-Aug-2024","EQ","621.05","644.75","621.05","631.65","640.00","638.30","638.00","725.00","460.00","1,56,428","9,98,01,434.65","15,534"
"01-Aug-2024","EQ","643.40","655.00","626.55","643.40","632.00","631.65","639.70","725.00","460.00","82,696","5,29,00,397.50","10,700"
"31-Jul-2024","EQ","665.00","665.60","640.55","659.05","642.05","643.40","649.95","725.00","460.00","62,213","4,04,35,576.90","6,827"
"30-Jul-2024","EQ","655.75","665.45","651.55","655.75","658.00","659.05","659.91","725.00","460.00","59,451","3,92,32,244.15","6,061"
"29-Jul-2024","EQ","666.15","669.30","652.10","666.50","654.20","655.75","659.46","725.00","460.00","64,168","4,23,15,932.45","6,913"
