"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","4,107.90","4,126.85","3,936.05","4,100.30","3,997.00","3,985.10","3,985.77","4,951.00","2,612.20","1,04,244","41,54,92,905.15","16,291"
"23-Aug-2024","EQ","4,069.30","4,120.00","4,035.00","4,063.20","4,104.05","4,100.30","4,085.29","4,951.00","2,612.20","61,795","25,24,50,295.85","12,321"
"22-Aug-2024","EQ","4,130.00","4,177.45","4,040.05","4,121.35","4,050.30","4,063.20","4,078.25","4,951.00","2,612.20","94,988","38,73,84,483.25","21,497"
"21-Aug-2024","EQ","3,975.00","4,145.00","3,935.05","3,963.60","4,130.00","4,121.35","4,046.75","4,951.00","2,612.20","1,96,149","79,37,66,314.55","33,374"
"20-Aug-2024","EQ","3,973.95","3,993.95","3,928.00","3,972.60","3,959.00","3,963.60","3,970.75","4,951.00","2,612.20","73,319","29,11,31,757.50","12,810"
"19-Aug-2024","EQ","4,057.95","4,070.00","3,947.55","4,032.00","3,955.50","3,972.60","3,978.04","4,951.00","2,612.20","47,875","19,04,48,690.10","9,217"
"16-Aug-2024","EQ","3,960.00","4,040.00","3,931.15","3,955.60","4,029.00","4,032.00","3,998.45","4,951.00","2,612.20","52,485","20,98,58,606.65","10,245"
"14-Aug-2024","EQ","4,014.00","4,014.00","3,866.00","4,013.70","3,935.00","3,955.60","3,927.55","4,951.00","2,612.20","1,05,228","41,32,87,814.65","17,881"
"13-Aug-2024","EQ","3,975.00","4,033.95","3,905.00","4,026.50","3,990.00","4,013.70","3,978.07","4,951.00","2,612.20","1,18,113","46,98,62,341.90","21,519"
"12-Aug-2024","EQ","3,950.00","4,041.90","3,865.00","3,960.70","4,029.00","4,026.50","3,983.85","4,951.00","2,612.20","1,01,980","40,62,72,737.40","24,733"
"09-Aug-2024","EQ","3,937.65","3,990.25","3,872.60","3,896.85","3,950.00","3,960.70","3,940.79","4,951.00","2,612.20","86,095","33,92,82,097.65","12,058"
"08-Aug-2024","EQ","3,940.00","3,950.00","3,810.50","3,939.15","3,896.20","3,896.85","3,884.19","4,951.00","2,612.20","88,513","34,38,01,727.15","21,435"
"07-Aug-2024","EQ","3,940.00","3,958.80","3,804.50","3,820.25","3,955.00","3,939.15","3,911.46","4,951.00","2,612.20","1,22,565","47,94,07,640.55","13,512"
"06-Aug-2024","EQ","3,943.95","3,965.95","3,790.00","3,886.45","3,804.50","3,820.25","3,845.41","4,951.00","2,612.20","1,20,945","46,50,82,782.75","23,366"
"05-Aug-2024","EQ","3,910.20","3,975.80","3,784.90","4,044.40","3,900.00","3,886.45","3,876.46","4,951.00","2,612.20","2,79,185","1,08,22,50,413.00","46,586"
"02-Aug-2024","EQ","4,060.05","4,128.35","4,030.00","4,163.65","4,049.80","4,044.40","4,052.80","4,951.00","2,612.20","1,78,381","72,29,41,828.85","23,737"
"01-Aug-2024","EQ","4,270.00","4,286.40","4,150.05","4,267.35","4,168.00","4,163.65","4,209.36","4,951.00","2,612.20","47,415","19,95,86,660.85","13,707"
"31-Jul-2024","EQ","4,228.00","4,284.95","4,183.85","4,206.80","4,270.00","4,267.35","4,248.44","4,951.00","2,612.20","1,29,313","54,93,78,354.35","26,280"
"30-Jul-2024","EQ","4,160.00","4,235.90","4,137.85","4,155.75","4,208.60","4,206.80","4,203.06","4,951.00","2,612.20","66,677","28,02,47,721.95","14,399"
"29-Jul-2024","EQ","4,200.00","4,245.95","4,111.15","4,180.35","4,146.00","4,155.75","4,151.85","4,951.00","2,612.20","59,757","24,81,02,128.10","13,813"
