"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","807.00","819.00","801.05","798.55","817.75","814.05","811.85","980.00","300.00","1,88,951","15,34,00,078.70","14,281"
"23-Aug-2024","EQ","823.00","824.00","794.60","812.25","800.40","798.55","806.14","980.00","300.00","1,51,532","12,21,56,097.50","11,509"
"22-Aug-2024","EQ","816.00","820.00","807.60","813.40","818.00","812.25","813.03","980.00","300.00","1,36,354","11,08,59,744.20","9,949"
"21-Aug-2024","EQ","800.40","819.30","800.40","799.00","812.45","813.40","813.00","980.00","300.00","1,33,020","10,81,45,134.65","9,882"
"20-Aug-2024","EQ","814.00","815.90","785.20","806.10","800.40","799.00","796.09","980.00","300.00","2,26,381","18,02,18,650.70","21,488"
"19-Aug-2024","EQ","831.60","833.95","801.95","823.40","810.00","806.10","815.17","980.00","300.00","2,19,991","17,93,29,371.15","20,471"
"16-Aug-2024","EQ","800.95","832.00","800.10","793.65","820.00","823.40","822.40","980.00","300.00","2,19,213","18,02,81,287.00","21,844"
"14-Aug-2024","EQ","799.00","809.40","781.00","799.00","795.40","793.65","794.12","980.00","300.00","1,64,592","13,07,05,115.80","16,257"
"13-Aug-2024","EQ","828.95","835.90","795.30","822.10","800.50","799.00","810.04","980.00","300.00","1,43,242","11,60,32,054.45","13,230"
"12-Aug-2024","EQ","828.00","850.00","816.50","833.60","825.45","822.10","834.21","980.00","300.00","1,85,854","15,50,41,443.30","18,003"
"09-Aug-2024","EQ","840.00","853.00","827.00","828.90","833.50","833.60","841.94","980.00","282.00","2,82,500","23,78,48,815.55","20,542"
"08-Aug-2024","EQ","803.80","835.00","800.55","799.55","833.50","828.90","828.07","980.00","282.00","5,33,312","44,16,19,076.95","27,653"
"07-Aug-2024","EQ","792.00","803.95","784.80","788.65","800.00","799.55","795.33","980.00","282.00","2,66,251","21,17,58,381.25","19,169"
"06-Aug-2024","EQ","792.65","824.85","785.00","749.35","786.80","788.65","804.48","980.00","282.00","11,85,546","95,37,50,670.00","46,009"
"05-Aug-2024","EQ","760.00","788.00","745.00","804.75","748.00","749.35","757.61","980.00","282.00","4,41,953","33,48,30,170.90","33,081"
"02-Aug-2024","EQ","795.00","816.00","782.55","803.70","804.50","804.75","797.98","980.00","272.10","3,92,852","31,34,88,060.10","19,108"
"01-Aug-2024","EQ","803.80","813.85","760.10","803.15","799.00","803.70","780.43","980.00","272.10","5,86,673","45,78,59,611.40","39,114"
"31-Jul-2024","EQ","797.95","815.35","797.95","795.95","807.70","803.15","805.71","980.00","272.10","1,34,038","10,79,95,749.55","10,717"
"30-Jul-2024","EQ","796.00","803.40","787.30","795.15","799.35","795.95","794.66","980.00","272.10","1,72,326","13,69,41,385.60","11,511"
"29-Jul-2024","EQ","800.00","825.00","787.00","796.75","793.70","795.15","807.28","980.00","272.10","3,16,113","25,51,90,154.35","20,417"
