"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","88.86","90.70","88.01","88.31","88.60","88.45","88.84","108.55","36.00","13,08,642","11,62,59,249.28","16,504"
"23-Aug-2024","EQ","89.59","90.00","87.81","89.36","88.50","88.31","88.85","108.55","36.00","18,59,266","16,52,00,816.20","13,211"
"22-Aug-2024","EQ","90.53","91.07","89.10","90.53","89.58","89.36","89.83","108.55","36.00","9,92,402","8,91,50,801.12","9,898"
"21-Aug-2024","EQ","88.19","91.50","87.85","87.83","90.85","90.53","89.92","108.55","36.00","23,14,190","20,80,89,283.65","16,582"
"20-Aug-2024","EQ","90.50","91.58","87.01","89.91","88.25","87.83","88.74","108.55","36.00","19,24,033","17,07,44,382.80","17,644"
"19-Aug-2024","EQ","91.50","93.22","89.60","91.19","89.95","89.91","91.14","108.55","36.00","13,68,867","12,47,53,282.03","11,524"
"16-Aug-2024","EQ","92.70","92.71","90.76","90.58","91.28","91.19","91.45","108.55","36.00","10,04,291","9,18,46,741.61","9,330"
"14-Aug-2024","EQ","92.60","93.20","90.10","92.60","90.90","90.58","91.04","108.55","36.00","14,19,706","12,92,50,218.64","13,484"
"13-Aug-2024","EQ","95.40","95.40","91.70","94.22","92.40","92.60","93.19","108.55","36.00","16,97,256","15,81,69,309.31","15,714"
"12-Aug-2024","EQ","92.54","96.95","91.12","92.41","94.39","94.22","95.26","108.55","36.00","47,09,653","44,86,25,870.51","27,112"
"09-Aug-2024","EQ","92.99","93.39","91.00","91.22","92.45","92.41","92.09","108.55","36.00","14,82,696","13,65,40,304.28","12,340"
"08-Aug-2024","EQ","93.67","93.69","91.00","93.19","91.20","91.22","92.08","108.55","36.00","17,22,131","15,85,66,766.82","14,984"
"07-Aug-2024","EQ","93.00","93.90","90.48","90.09","93.30","93.19","92.20","108.55","36.00","22,08,819","20,36,61,895.02","17,941"
"06-Aug-2024","EQ","93.49","95.99","89.25","92.02","90.30","90.09","93.22","108.55","36.00","38,04,131","35,46,12,757.21","26,685"
"05-Aug-2024","EQ","93.99","95.79","90.71","98.93","91.56","92.02","93.07","108.55","36.00","51,50,165","47,93,34,282.85","51,425"
"02-Aug-2024","EQ","97.00","100.70","96.50","99.11","99.60","98.93","98.88","108.55","36.00","34,65,253","34,26,30,783.41","26,185"
"01-Aug-2024","EQ","103.69","103.89","98.24","102.70","99.33","99.11","100.69","108.55","36.00","33,00,749","33,23,57,371.75","25,384"
"31-Jul-2024","EQ","103.99","104.80","101.65","103.26","102.59","102.70","102.56","108.55","36.00","29,48,468","30,23,97,688.61","15,953"
"30-Jul-2024","EQ","101.25","107.50","100.80","101.16","103.45","103.26","104.96","108.55","36.00","1,05,75,846","1,11,00,14,418.66","52,009"
"29-Jul-2024","EQ","101.89","104.67","99.80","100.91","101.30","101.16","102.28","108.55","36.00","55,46,151","56,72,83,814.63","30,651"
