"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","277.85","279.90","273.00","276.40","274.40","274.55","275.50","384.20","124.90","18,32,191","50,47,74,884.90","33,034"
"23-Aug-2024","EQ","275.00","280.80","273.50","273.90","276.20","276.40","276.74","384.20","113.90","36,39,550","1,00,72,23,981.00","42,076"
"22-Aug-2024","EQ","273.80","275.50","270.60","272.40","274.10","273.90","273.02","384.20","113.90","24,04,517","65,64,82,511.20","38,311"
"21-Aug-2024","EQ","270.50","277.80","269.65","270.55","272.60","272.40","273.80","384.20","113.90","24,44,878","66,94,11,260.75","35,368"
"20-Aug-2024","EQ","275.00","276.80","268.05","273.50","271.50","270.55","271.40","384.20","113.90","29,33,575","79,61,77,046.95","44,753"
"19-Aug-2024","EQ","272.40","277.90","272.10","271.00","274.80","273.50","275.24","384.20","113.90","29,10,146","80,09,93,634.30","48,099"
"16-Aug-2024","EQ","266.05","274.00","264.95","264.55","271.20","271.00","270.24","384.20","101.05","51,91,821","1,40,30,36,176.25","73,650"
"14-Aug-2024","EQ","266.70","268.90","259.50","264.85","265.80","264.55","263.81","384.20","101.05","32,27,182","85,13,63,489.55","45,909"
"13-Aug-2024","EQ","276.45","276.80","263.10","274.00","265.05","264.85","269.02","384.20","101.05","48,64,070","1,30,85,10,438.95","58,814"
"12-Aug-2024","EQ","271.95","288.75","266.65","257.40","274.60","274.00","279.08","384.20","101.05","2,31,03,729","6,44,77,50,121.70","2,16,243"
"09-Aug-2024","EQ","261.90","263.40","256.00","258.10","257.95","257.40","259.46","384.20","99.05","29,18,131","75,71,27,242.30","42,983"
"08-Aug-2024","EQ","265.00","265.30","257.10","264.55","258.75","258.10","261.23","384.20","99.05","36,56,503","95,52,05,594.80","47,169"
"07-Aug-2024","EQ","258.85","265.95","251.05","250.80","265.70","264.55","258.48","384.20","99.05","53,09,234","1,37,23,33,038.10","69,365"
"06-Aug-2024","EQ","270.90","273.10","248.35","264.55","250.95","250.80","259.03","384.20","99.05","76,07,802","1,97,06,66,304.10","91,848"
"05-Aug-2024","EQ","274.95","276.45","263.00","283.75","264.20","264.55","268.17","384.20","99.05","61,20,130","1,64,12,39,887.35","1,02,763"
"02-Aug-2024","EQ","282.60","285.95","279.05","287.00","285.00","283.75","283.50","384.20","98.00","36,99,944","1,04,89,30,864.90","47,013"
"01-Aug-2024","EQ","288.00","296.60","285.50","286.70","287.00","287.00","291.65","384.20","98.00","85,15,679","2,48,36,17,000.15","81,696"
"31-Jul-2024","EQ","287.30","291.30","285.15","286.15","287.30","286.70","286.99","384.20","98.00","35,80,671","1,02,76,33,905.40","39,594"
"30-Jul-2024","EQ","283.40","291.40","280.20","281.70","287.40","286.15","286.14","384.20","98.00","1,30,06,360","3,72,15,86,346.20","1,15,041"
"29-Jul-2024","EQ","280.95","292.90","276.85","278.15","282.50","281.70","284.86","384.20","98.00","1,34,70,209","3,83,71,70,474.40","1,22,562"
