"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","98.25","100.78","95.05","98.15","95.50","96.04","96.84","145.35","71.35","3,251","3,14,842.57","111"
"23-Aug-2024","EQ","98.00","106.79","96.53","102.56","96.70","98.15","101.25","145.35","71.35","2,621","2,65,372.73","535"
"22-Aug-2024","EQ","98.95","105.37","98.00","100.41","98.12","102.56","101.57","145.35","71.35","4,426","4,49,535.36","566"
"21-Aug-2024","EQ","100.60","112.40","96.20","103.92","102.00","100.41","103.00","145.35","71.35","10,764","11,08,687.17","663"
"20-Aug-2024","EQ","101.00","104.99","97.02","99.30","99.01","103.92","101.05","145.35","71.35","2,874","2,90,409.06","298"
"19-Aug-2024","EQ","101.60","101.60","96.40","98.58","97.00","99.30","98.43","145.35","71.35","878","86,421.11","104"
"16-Aug-2024","EQ","100.40","101.75","94.01","100.37","96.40","98.58","97.57","145.35","71.35","1,183","1,15,429.33","192"
"14-Aug-2024","EQ","101.02","102.50","96.01","100.98","102.50","100.37","98.78","145.35","71.35","3,273","3,23,296.37","495"
"13-Aug-2024","EQ","101.03","101.28","95.40","101.28","98.00","100.98","98.40","145.35","71.35","2,936","2,88,895.10","333"
"12-Aug-2024","EQ","108.98","108.98","100.05","101.39","102.50","101.28","102.59","145.35","71.35","2,708","2,77,806.22","77"
"09-Aug-2024","EQ","101.80","102.27","97.00","92.98","101.40","101.39","100.73","145.35","71.35","2,139","2,15,471.35","53"
"08-Aug-2024","EQ","100.55","103.04","91.20","100.53","91.20","92.98","100.06","145.35","71.35","1,051","1,05,166.45","29"
"07-Aug-2024","EQ","99.22","102.80","99.20","97.21","100.05","100.53","100.57","145.35","71.35","1,198","1,20,481.58","38"
"06-Aug-2024","EQ","96.47","97.84","92.10","93.19","97.84","97.21","95.50","145.35","71.35","2,095","2,00,078.67","49"
"05-Aug-2024","EQ","97.94","99.00","93.05","97.95","97.20","93.19","95.58","145.35","71.35","2,633","2,51,656.29","53"
"02-Aug-2024","EQ","98.03","98.03","97.10","98.02","98.02","97.95","97.98","145.35","71.35","307","30,080.83","17"
"01-Aug-2024","EQ","100.98","101.00","98.00","99.96","98.02","98.02","99.46","145.35","71.35","407","40,478.19","55"
"31-Jul-2024","EQ","99.05","102.00","99.01","98.61","102.00","99.96","99.71","145.35","71.35","65","6,481.35","18"
"30-Jul-2024","EQ","105.16","105.16","96.50","100.16","100.00","98.61","99.61","145.35","71.35","2,258","2,24,925.13","67"
"29-Jul-2024","EQ","100.00","102.88","99.95","97.99","100.10","100.16","101.46","145.35","71.35","1,024","1,03,896.34","26"
