"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","5.80","5.97","5.52","5.70","5.78","5.83","5.77","25.40","5.52","2,07,065","11,94,961.94","459"
"23-Aug-2024","BE","6.19","6.20","5.70","6.01","5.70","5.70","5.80","25.40","5.70","5,63,636","32,70,399.12","778"
"22-Aug-2024","BE","6.14","6.24","6.00","6.01","6.00","6.01","6.09","25.40","5.85","1,75,484","10,69,027.83","366"
"21-Aug-2024","BE","6.24","6.27","6.00","6.12","6.03","6.01","6.08","25.40","5.85","1,83,551","11,15,973.16","339"
"20-Aug-2024","BE","6.37","6.37","6.10","6.10","6.10","6.12","6.25","25.40","5.85","2,32,540","14,54,438.06","310"
"19-Aug-2024","BE","5.99","6.15","5.98","5.86","6.15","6.10","6.10","25.40","5.85","1,20,965","7,38,323.39","349"
"16-Aug-2024","BE","6.10","6.35","5.85","6.16","5.85","5.86","5.94","25.40","5.85","4,75,677","28,23,709.43","517"
"14-Aug-2024","BE","6.49","6.49","6.12","6.43","6.18","6.16","6.18","25.40","6.12","86,411","5,34,335.16","372"
"13-Aug-2024","BE","6.90","6.90","6.43","6.77","6.43","6.43","6.49","25.40","6.43","2,19,591","14,24,554.30","441"
"12-Aug-2024","BE","6.99","7.05","6.71","6.85","6.77","6.77","6.95","25.40","6.43","98,301","6,83,669.65","218"
"09-Aug-2024","BE","6.73","7.10","6.69","6.79","6.87","6.85","6.86","25.40","6.43","1,17,671","8,07,633.84","238"
"08-Aug-2024","BE","6.91","7.02","6.70","6.85","6.83","6.79","6.79","25.40","6.43","3,24,724","22,04,939.31","236"
"07-Aug-2024","BE","7.05","7.05","6.72","6.92","6.90","6.85","6.91","25.40","6.43","64,193","4,43,459.24","234"
"06-Aug-2024","BE","6.85","7.04","6.85","6.80","6.95","6.92","6.97","25.40","6.43","1,52,011","10,59,570.38","267"
"05-Aug-2024","BE","6.69","7.02","6.43","6.69","6.80","6.80","6.69","25.40","6.43","3,72,322","24,90,237.63","501"
"02-Aug-2024","BE","6.95","6.95","6.60","6.95","6.69","6.69","6.65","25.40","6.60","3,07,161","20,42,338.20","715"
"01-Aug-2024","BE","7.27","7.28","6.94","7.31","6.94","6.95","7.05","25.40","6.94","2,31,948","16,35,517.30","624"
"31-Jul-2024","BE","7.83","7.83","7.31","7.70","7.31","7.31","7.37","25.40","7.31","3,71,701","27,40,524.24","687"
"30-Jul-2024","BE","7.99","8.00","7.70","7.99","7.75","7.70","7.79","25.40","7.70","1,20,225","9,36,894.50","444"
"29-Jul-2024","BE","8.10","8.15","7.85","8.07","8.00","7.99","8.01","25.40","7.85","75,225","6,02,892.79","325"
