"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","995.00","1,037.75","982.45","984.65","986.95","986.50","1,011.48","1,078.25","335.55","2,05,644","20,80,04,875.65","16,776"
"23-Aug-2024","EQ","995.00","999.00","965.00","992.20","987.00","984.65","981.34","1,078.25","335.55","1,20,302","11,80,56,887.65","9,681"
"22-Aug-2024","EQ","1,004.80","1,017.90","987.00","998.00","989.25","992.20","1,000.92","1,078.25","335.55","84,839","8,49,16,966.45","6,477"
"21-Aug-2024","EQ","1,005.00","1,035.85","990.00","1,022.95","993.60","998.00","1,009.62","1,078.25","335.55","2,60,817","26,33,26,176.05","20,812"
"20-Aug-2024","EQ","925.70","1,078.25","921.00","917.90","1,021.80","1,022.95","1,036.16","1,078.25","335.55","17,60,242","1,82,39,00,294.15","94,398"
"19-Aug-2024","EQ","926.00","928.90","902.15","921.15","919.00","917.90","916.12","1,045.00","335.55","84,207","7,71,44,047.10","8,408"
"16-Aug-2024","EQ","888.00","932.25","875.00","874.50","920.00","921.15","913.91","1,045.00","335.55","1,47,540","13,48,38,218.35","14,851"
"14-Aug-2024","EQ","890.05","909.45","865.00","888.90","877.60","874.50","879.91","1,045.00","335.55","77,520","6,82,10,956.55","8,980"
"13-Aug-2024","EQ","907.30","922.00","885.05","893.90","887.00","888.90","900.45","1,045.00","335.55","55,762","5,02,11,110.40","2,736"
"12-Aug-2024","EQ","914.80","937.50","887.10","917.50","898.80","893.90","907.66","1,045.00","335.55","1,07,559","9,76,26,499.85","6,299"
"09-Aug-2024","EQ","929.00","958.00","911.10","917.30","911.60","917.50","931.83","1,045.00","335.55","1,21,415","11,31,37,978.10","5,167"
"08-Aug-2024","EQ","914.45","947.00","890.00","908.30","916.95","917.30","918.77","1,045.00","335.55","1,75,094","16,08,71,262.60","7,704"
"07-Aug-2024","EQ","898.15","918.70","850.00","875.40","909.40","908.30","883.39","1,045.00","335.55","2,73,847","24,19,14,144.80","11,737"
"06-Aug-2024","EQ","988.00","999.85","860.00","963.25","879.00","875.40","935.89","1,045.00","335.55","3,16,225","29,59,50,605.70","12,627"
"05-Aug-2024","EQ","958.10","1,028.70","933.00","977.45","968.00","963.25","991.54","1,045.00","335.55","12,61,636","1,25,09,64,564.95","64,380"
"02-Aug-2024","EQ","960.00","1,045.00","960.00","917.00","972.00","977.45","995.60","1,045.00","335.55","39,98,809","3,98,12,14,370.65","1,22,581"
"01-Aug-2024","EQ","854.00","917.00","854.00","764.20","917.00","917.00","897.11","917.00","335.55","16,49,431","1,47,97,23,709.90","29,748"
"31-Jul-2024","EQ","780.40","799.00","750.10","780.40","765.90","764.20","771.82","818.00","335.55","1,86,985","14,43,19,468.90","14,371"
"30-Jul-2024","EQ","790.10","798.00","774.80","790.10","780.50","780.40","786.65","818.00","335.55","73,248","5,76,20,671.25","7,307"
"29-Jul-2024","EQ","785.00","803.35","775.80","771.60","793.00","790.10","787.77","818.00","335.55","1,78,756","14,08,18,707.95","13,618"
