"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","68.40","68.40","64.51","65.50","65.96","65.03","65.69","128.40","46.09","20,878","13,71,459.38","256"
"23-Aug-2024","BE","65.00","66.50","63.09","64.99","65.00","65.50","65.91","128.40","46.09","41,145","27,11,944.47","254"
"22-Aug-2024","BE","65.52","65.52","62.05","64.37","64.68","64.99","64.57","128.40","46.09","27,873","17,99,688.05","216"
"21-Aug-2024","BE","64.99","66.85","64.00","64.89","66.00","64.37","65.33","128.40","46.09","39,306","25,67,898.43","381"
"20-Aug-2024","BE","65.43","67.00","64.00","67.08","64.56","64.89","65.08","128.40","46.09","20,157","13,11,846.45","372"
"19-Aug-2024","BE","69.69","69.69","64.23","67.62","67.79","67.08","67.59","128.40","46.09","44,574","30,12,922.30","333"
"16-Aug-2024","BE","64.42","67.64","61.19","64.42","67.64","67.62","65.27","132.65","46.09","52,290","34,13,222.71","576"
"14-Aug-2024","BE","68.45","68.45","64.12","67.50","65.20","64.42","64.63","132.65","46.09","37,939","24,51,872.45","444"
"13-Aug-2024","EQ","72.00","73.08","65.85","73.08","66.00","67.50","69.24","132.65","46.09","2,05,536","1,42,30,462.12","3,063"
"12-Aug-2024","EQ","78.00","80.00","72.04","80.05","72.80","73.08","75.58","132.65","46.09","2,26,326","1,71,04,666.58","3,347"
"09-Aug-2024","EQ","83.02","89.21","72.99","81.10","78.90","80.05","79.66","132.65","46.09","15,98,421","12,73,33,253.86","17,395"
"08-Aug-2024","EQ","75.00","81.10","75.00","67.59","81.10","81.10","78.35","132.65","46.09","4,05,274","3,17,55,228.48","1,642"
"07-Aug-2024","EQ","64.69","67.59","60.61","56.33","67.59","67.59","65.67","132.65","46.09","6,32,933","4,15,65,186.95","1,972"
"06-Aug-2024","EQ","51.05","56.34","46.09","51.22","56.34","56.33","50.78","132.65","46.09","9,53,189","4,84,01,143.96","4,382"
"05-Aug-2024","EQ","56.92","57.89","51.22","56.92","51.22","51.22","53.94","132.65","51.22","95,119","51,30,423.91","2,621"
"02-Aug-2024","EQ","57.00","57.64","56.21","56.51","56.30","56.92","56.95","132.65","51.93","66,052","37,61,399.80","1,196"
"01-Aug-2024","EQ","58.86","59.34","51.93","57.71","57.78","56.51","54.99","132.65","51.93","1,58,097","86,93,935.13","2,580"
"31-Jul-2024","EQ","60.80","60.80","57.15","57.63","57.40","57.71","58.04","132.65","57.15","87,097","50,54,974.08","1,179"
"30-Jul-2024","EQ","59.99","59.99","57.45","58.95","58.00","57.63","58.26","132.65","57.45","39,142","22,80,324.38","508"
"29-Jul-2024","EQ","58.60","59.89","58.15","58.77","58.90","58.95","58.83","132.65","57.51","25,686","15,11,119.63","554"
