"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","920.77","924.47","914.27","915.18","915.10","918.13","918.50","975.00","704.10","2,347","21,55,715.54","227"
"23-Aug-2024","EQ","913.00","916.10","910.44","913.12","912.50","915.18","915.29","975.00","704.10","2,383","21,81,135.17","168"
"22-Aug-2024","EQ","911.99","914.73","910.64","909.52","911.44","913.12","912.89","975.00","704.10","1,298","11,84,935.14","136"
"21-Aug-2024","EQ","908.43","913.42","907.47","908.42","912.00","909.52","907.78","975.00","704.10","11,083","1,00,60,952.90","136"
"20-Aug-2024","EQ","908.26","913.41","905.11","908.25","909.00","908.42","910.61","975.00","704.10","10,416","94,84,912.37","178"
"19-Aug-2024","EQ","906.63","914.00","903.21","904.59","914.00","908.25","906.51","975.00","704.10","1,799","16,30,809.45","241"
"16-Aug-2024","EQ","894.21","907.00","894.21","891.95","902.13","904.59","901.71","975.00","704.10","3,443","31,04,574.78","249"
"14-Aug-2024","EQ","894.20","897.06","886.73","890.13","894.00","891.95","891.70","975.00","704.10","3,993","35,60,559.48","151"
"13-Aug-2024","EQ","900.24","906.53","889.50","897.92","891.56","890.13","893.30","975.00","704.10","8,246","73,66,148.12","271"
"12-Aug-2024","EQ","897.96","903.01","890.40","897.96","897.66","897.92","897.90","975.00","704.10","2,682","24,08,180.12","270"
"09-Aug-2024","EQ","899.88","901.41","888.00","890.12","897.97","897.96","899.24","975.00","704.10","14,136","1,27,11,674.30","338"
"08-Aug-2024","EQ","895.72","900.00","885.00","895.11","900.00","890.12","890.70","975.00","704.10","5,163","45,98,662.71","250"
"07-Aug-2024","EQ","896.53","898.33","890.67","884.77","895.88","895.11","893.06","975.00","704.10","3,120","27,86,333.73","223"
"06-Aug-2024","EQ","888.05","903.41","881.00","888.05","884.95","884.77","892.11","975.00","704.10","19,549","1,74,39,928.43","380"
"05-Aug-2024","EQ","913.00","913.00","882.80","912.60","887.98","888.05","891.07","975.00","704.10","26,162","2,33,12,138.79","1,118"
"02-Aug-2024","EQ","918.59","920.29","909.97","922.04","915.00","912.60","912.85","975.00","704.10","7,090","64,72,107.56","540"
"01-Aug-2024","EQ","919.00","924.87","918.41","917.79","922.23","922.04","921.51","975.00","704.10","1,311","12,08,097.65","180"
"31-Jul-2024","EQ","912.89","922.25","912.89","916.94","917.43","917.79","917.76","975.00","704.10","997","9,15,009.28","150"
"30-Jul-2024","EQ","919.60","921.98","909.40","915.58","920.45","916.94","917.63","975.00","704.10","1,351","12,39,719.51","195"
"29-Jul-2024","EQ","923.47","940.00","910.96","912.23","910.96","915.58","917.04","975.00","704.10","10,877","99,74,684.38","311"
