"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","62.90","62.90","62.11","62.05","62.79","62.73","62.58","65.95","49.11","14,78,088","9,24,92,154.73","3,949"
"23-Aug-2024","EQ","62.18","62.20","61.74","62.22","62.00","62.05","61.94","65.95","49.11","10,62,881","6,58,35,756.64","2,922"
"22-Aug-2024","EQ","62.40","62.45","62.06","62.22","62.22","62.22","62.20","65.95","49.11","10,95,825","6,81,62,189.52","2,737"
"21-Aug-2024","EQ","62.74","62.79","62.19","62.54","62.19","62.22","62.33","65.95","49.11","15,32,338","9,55,05,141.18","2,883"
"20-Aug-2024","EQ","64.15","64.15","61.90","62.29","62.50","62.54","62.19","65.95","49.11","10,32,000","6,41,74,935.93","2,783"
"19-Aug-2024","EQ","62.30","62.35","61.77","61.31","62.29","62.29","62.13","65.95","49.11","18,21,187","11,31,55,920.81","3,999"
"16-Aug-2024","EQ","61.67","61.67","61.00","61.47","61.36","61.31","61.23","65.95","49.11","13,23,985","8,10,61,645.91","3,285"
"14-Aug-2024","EQ","61.24","61.55","59.40","61.24","61.50","61.47","61.31","65.95","49.11","8,40,226","5,15,14,309.30","2,581"
"13-Aug-2024","EQ","61.44","61.44","60.98","60.84","61.20","61.24","61.21","65.95","49.11","10,54,334","6,45,34,436.47","2,392"
"12-Aug-2024","EQ","60.68","60.95","60.38","60.41","60.89","60.84","60.65","65.95","49.11","24,55,684","14,89,46,131.86","3,281"
"09-Aug-2024","EQ","60.59","60.59","60.04","59.71","60.40","60.41","60.33","65.95","49.11","47,68,486","28,77,05,037.38","2,563"
"08-Aug-2024","EQ","60.19","60.19","59.51","60.06","59.73","59.71","59.82","65.95","49.11","16,73,957","10,01,29,410.09","3,740"
"07-Aug-2024","EQ","60.38","60.38","58.65","60.45","60.07","60.06","59.93","65.95","49.11","21,83,610","13,08,73,293.82","5,333"
"06-Aug-2024","EQ","60.74","60.74","59.93","60.43","60.30","60.45","60.29","65.95","49.11","19,25,010","11,60,64,590.66","5,221"
"05-Aug-2024","EQ","61.95","61.95","60.34","61.53","60.36","60.43","60.65","65.95","49.11","32,29,849","19,58,77,614.67","7,834"
"02-Aug-2024","EQ","61.80","61.80","61.03","60.87","61.65","61.53","61.37","65.95","49.11","18,64,841","11,44,49,966.87","3,440"
"01-Aug-2024","EQ","60.66","61.50","60.58","60.53","61.00","60.87","60.83","65.95","49.11","17,10,546","10,40,47,770.89","3,838"
"31-Jul-2024","EQ","61.85","61.85","60.10","60.04","60.60","60.53","60.42","65.95","49.11","14,68,101","8,87,07,076.94","3,558"
"30-Jul-2024","EQ","60.55","61.95","59.77","60.65","60.00","60.04","60.00","65.95","49.11","29,91,028","17,94,54,749.42","6,738"
"29-Jul-2024","EQ","63.40","63.40","60.39","61.53","60.65","60.65","60.86","65.95","49.11","35,84,005","21,81,40,177.18","8,259"
