"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","26.67","27.32","24.50","26.70","26.70","26.57","26.16","27.32","15.02","5,89,108","1,54,12,006.62","3,750"
"23-Aug-2024","EQ","25.19","27.30","24.00","22.96","26.49","26.70","25.92","27.30","15.02","50,25,551","13,02,63,875.78","14,725"
"22-Aug-2024","EQ","20.38","23.75","19.70","20.00","23.15","22.96","22.68","23.75","14.95","10,82,969","2,45,62,446.12","4,737"
"21-Aug-2024","EQ","19.89","20.21","19.60","19.77","19.95","20.00","19.96","23.70","14.10","72,351","14,43,806.18","455"
"20-Aug-2024","EQ","21.30","21.69","19.49","21.38","19.89","19.77","20.43","23.70","14.10","2,06,778","42,23,513.46","1,220"
"19-Aug-2024","EQ","19.38","22.83","18.56","19.03","21.22","21.38","22.20","23.70","14.10","11,76,950","2,61,30,191.51","3,050"
"16-Aug-2024","EQ","19.95","19.95","19.00","19.58","19.05","19.03","19.28","23.70","14.10","34,349","6,62,155.57","399"
"14-Aug-2024","EQ","18.76","20.30","18.30","18.26","19.41","19.58","19.30","23.70","14.10","67,956","13,11,736.42","474"
"13-Aug-2024","EQ","19.45","19.49","18.00","18.87","18.00","18.26","18.82","23.70","14.10","53,859","10,13,837.46","383"
"12-Aug-2024","EQ","19.07","19.55","17.93","19.30","19.50","18.87","18.97","23.70","14.10","55,702","10,56,903.49","394"
"09-Aug-2024","EQ","19.98","19.98","19.05","19.56","19.11","19.30","19.39","23.70","14.10","17,878","3,46,632.98","243"
"08-Aug-2024","EQ","20.37","20.37","19.51","19.91","19.67","19.56","19.77","23.70","14.10","21,685","4,28,667.28","190"
"07-Aug-2024","EQ","20.00","20.25","19.65","19.57","19.71","19.91","19.97","23.70","14.10","33,350","6,65,845.16","214"
"06-Aug-2024","EQ","19.25","19.88","19.20","19.12","19.75","19.57","19.61","23.70","14.10","35,876","7,03,700.16","305"
"05-Aug-2024","EQ","19.33","20.69","18.72","20.40","18.99","19.12","19.72","23.70","14.10","1,25,605","24,77,010.99","738"
"02-Aug-2024","EQ","21.29","21.78","20.25","21.33","20.30","20.40","20.95","23.70","14.10","1,14,597","24,01,238.31","787"
"01-Aug-2024","EQ","19.80","22.00","19.80","20.12","21.23","21.33","21.35","23.70","14.10","3,01,536","64,37,735.14","1,307"
"31-Jul-2024","EQ","20.94","21.00","19.86","20.96","20.00","20.12","20.29","23.70","14.10","2,64,826","53,73,200.87","1,188"
"30-Jul-2024","EQ","20.89","23.70","20.60","20.89","20.71","20.96","21.89","23.70","14.10","22,12,098","4,84,31,794.30","5,992"
"29-Jul-2024","EQ","17.95","20.89","17.11","17.41","20.89","20.89","20.23","20.89","14.10","16,96,937","3,43,23,270.42","2,748"
