"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","256.00","265.35","251.45","256.35","254.00","257.56","259.85","271.05","155.15","2,05,257","5,33,35,514.03","13,330"
"23-Aug-2024","EQ","262.35","266.30","251.94","260.32","254.71","256.35","255.37","271.05","155.15","1,24,655","3,18,33,318.38","8,317"
"22-Aug-2024","EQ","253.00","264.00","253.00","252.58","261.00","260.32","258.91","271.05","155.15","2,22,121","5,75,09,371.25","10,109"
"21-Aug-2024","EQ","250.90","257.30","248.11","249.73","252.00","252.58","251.65","271.05","155.15","93,975","2,36,49,252.87","4,802"
"20-Aug-2024","EQ","246.50","252.79","243.30","246.34","251.00","249.73","249.34","271.05","155.15","1,32,490","3,30,35,410.03","5,595"
"19-Aug-2024","EQ","238.20","247.28","238.00","238.40","247.00","246.34","244.03","271.05","155.15","84,402","2,05,96,578.05","3,233"
"16-Aug-2024","EQ","247.95","251.00","236.70","245.34","238.00","238.40","242.28","271.05","155.15","87,742","2,12,57,966.63","5,510"
"14-Aug-2024","EQ","245.00","254.00","239.62","243.45","245.20","245.34","243.98","271.05","155.15","90,939","2,21,87,450.02","5,427"
"13-Aug-2024","EQ","250.00","257.01","241.64","249.77","244.00","243.45","248.77","271.05","155.15","1,76,329","4,38,65,176.89","10,769"
"12-Aug-2024","EQ","253.00","271.05","248.16","245.17","248.55","249.77","257.40","271.05","155.15","4,76,449","12,26,36,531.12","21,881"
"09-Aug-2024","EQ","242.25","249.90","235.85","239.46","245.00","245.17","242.59","269.70","155.15","2,63,076","6,38,20,204.76","13,458"
"08-Aug-2024","EQ","248.00","254.61","236.00","250.98","239.98","239.46","243.08","269.70","155.15","2,06,308","5,01,48,623.98","11,324"
"07-Aug-2024","EQ","242.00","253.18","239.93","237.97","253.00","250.98","247.09","269.70","155.15","2,76,566","6,83,36,691.72","14,343"
"06-Aug-2024","EQ","248.70","255.80","235.76","244.03","240.03","237.97","247.64","269.70","155.15","1,75,359","4,34,26,770.86","9,529"
"05-Aug-2024","EQ","258.06","258.59","242.00","264.95","242.00","244.03","248.71","269.70","155.15","3,58,355","8,91,24,922.21","12,841"
"02-Aug-2024","EQ","252.60","269.70","251.99","256.43","265.00","264.95","264.62","269.70","155.15","4,18,199","11,06,62,395.45","17,664"
"01-Aug-2024","EQ","248.95","259.00","248.02","248.34","258.00","256.43","254.20","260.00","155.15","3,20,942","8,15,82,099.96","12,858"
"31-Jul-2024","EQ","242.30","249.00","241.41","242.29","249.00","248.34","246.12","260.00","155.15","65,900","1,62,19,405.71","3,787"
"30-Jul-2024","EQ","246.85","247.60","240.10","246.31","244.00","242.29","243.87","260.00","155.15","78,595","1,91,66,850.19","3,735"
"29-Jul-2024","EQ","244.00","250.08","239.84","241.83","246.50","246.31","245.99","260.00","155.15","92,401","2,27,30,145.32","4,124"
