"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","335.50","345.90","334.35","335.50","343.00","342.25","339.95","505.65","230.20","62,481","2,12,40,227.80","5,064"
"23-Aug-2024","EQ","349.25","358.00","327.90","349.15","338.10","335.50","343.27","505.65","230.20","1,43,025","4,90,95,577.85","7,107"
"22-Aug-2024","EQ","329.05","354.20","329.05","331.75","350.20","349.15","346.33","505.65","230.20","1,65,342","5,72,63,672.85","11,992"
"21-Aug-2024","EQ","333.50","337.95","328.75","331.40","332.90","331.75","332.64","505.65","230.20","63,053","2,09,74,216.55","4,815"
"20-Aug-2024","EQ","338.50","344.40","329.00","336.60","334.45","331.40","335.12","505.65","230.20","1,02,281","3,42,76,920.05","7,373"
"19-Aug-2024","EQ","329.50","354.00","324.80","329.30","338.00","336.60","339.25","505.65","230.20","1,57,448","5,34,14,286.50","9,783"
"16-Aug-2024","EQ","334.15","339.00","327.15","330.35","328.40","329.30","331.82","505.65","230.20","64,130","2,12,79,724.35","4,269"
"14-Aug-2024","EQ","345.10","349.00","329.00","346.30","330.60","330.35","335.75","505.65","230.20","1,09,683","3,68,26,243.85","8,707"
"13-Aug-2024","EQ","347.90","361.75","344.80","347.25","345.10","346.30","353.67","505.65","230.20","1,10,275","3,90,01,375.30","9,249"
"12-Aug-2024","EQ","354.00","358.40","345.00","357.75","347.00","347.25","351.56","505.65","230.20","1,16,443","4,09,37,141.70","7,450"
"09-Aug-2024","EQ","374.60","378.00","355.25","371.40","357.80","357.75","364.20","505.65","230.20","2,08,093","7,57,86,651.65","13,538"
"08-Aug-2024","EQ","355.00","405.80","353.15","355.00","373.40","371.40","381.01","505.65","230.20","10,73,657","40,90,75,385.90","46,009"
"07-Aug-2024","EQ","351.10","363.30","346.30","346.10","359.00","355.00","353.82","505.65","230.20","1,07,565","3,80,59,049.80","10,249"
"06-Aug-2024","EQ","354.00","362.45","344.10","352.60","346.00","346.10","354.32","505.65","230.20","1,09,243","3,87,07,400.95","10,416"
"05-Aug-2024","EQ","350.00","368.35","333.00","371.25","352.00","352.60","344.37","505.65","230.20","7,20,231","24,80,25,727.90","44,428"
"02-Aug-2024","EQ","372.85","379.25","368.00","378.55","370.50","371.25","372.69","505.65","230.20","62,361","2,32,41,417.20","5,076"
"01-Aug-2024","EQ","387.00","387.30","376.40","386.85","377.50","378.55","382.18","505.65","230.20","64,293","2,45,71,620.95","4,802"
"31-Jul-2024","EQ","382.00","392.50","380.45","382.95","387.95","386.85","385.60","505.65","230.20","94,817","3,65,61,013.60","7,308"
"30-Jul-2024","EQ","389.65","393.25","380.55","390.85","386.00","382.95","385.67","505.65","230.20","1,29,400","4,99,06,265.90","9,966"
"29-Jul-2024","EQ","401.90","404.40","389.00","396.50","389.00","390.85","395.88","505.65","230.20","1,45,488","5,75,96,107.70","8,915"
