"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","588.95","599.40","586.90","586.75","593.00","592.05","590.62","635.05","310.00","5,738","33,88,985.15","664"
"23-Aug-2024","EQ","594.20","599.95","583.25","592.20","587.00","586.75","590.15","635.05","310.00","10,776","63,59,474.55","958"
"22-Aug-2024","EQ","592.75","610.00","582.70","581.10","590.00","592.20","596.93","635.05","310.00","25,500","1,52,21,805.75","1,867"
"21-Aug-2024","EQ","566.65","595.00","566.65","569.05","581.80","581.10","582.66","635.05","310.00","13,087","76,25,294.50","1,192"
"20-Aug-2024","EQ","561.05","574.90","551.00","571.30","574.90","569.05","565.67","635.05","310.00","4,994","28,24,977.70","1,055"
"19-Aug-2024","EQ","547.70","576.55","547.70","544.80","570.15","571.30","561.14","635.05","310.00","5,850","32,82,687.80","1,122"
"16-Aug-2024","EQ","537.75","549.65","537.75","535.10","543.55","544.80","544.79","635.05","307.40","2,379","12,96,060.55","328"
"14-Aug-2024","EQ","550.70","550.70","530.00","547.80","535.90","535.10","539.23","635.05","307.40","3,953","21,31,557.70","576"
"13-Aug-2024","EQ","557.00","564.30","545.00","557.00","549.00","547.80","554.68","635.05","307.40","6,893","38,23,405.50","994"
"12-Aug-2024","EQ","559.45","563.00","552.00","560.65","559.75","557.00","559.16","635.05","307.40","11,673","65,27,117.60","638"
"09-Aug-2024","EQ","611.40","611.40","558.00","553.90","560.05","560.65","569.86","635.05","307.40","9,277","52,86,615.05","1,054"
"08-Aug-2024","EQ","567.50","567.50","551.70","557.40","555.00","553.90","561.20","635.05","307.40","9,750","54,71,744.15","925"
"07-Aug-2024","EQ","555.00","565.90","553.30","542.05","558.95","557.40","558.68","635.05","307.40","7,965","44,49,882.30","787"
"06-Aug-2024","EQ","559.40","571.80","539.05","554.10","543.00","542.05","552.76","635.05","307.40","5,580","30,84,423.90","1,032"
"05-Aug-2024","EQ","575.00","578.00","545.00","580.20","549.00","554.10","559.10","635.05","307.40","11,565","64,65,961.90","1,779"
"02-Aug-2024","EQ","580.00","635.05","573.00","575.85","577.25","580.20","601.90","635.05","305.00","48,280","2,90,59,505.65","5,038"
"01-Aug-2024","EQ","585.40","595.05","571.15","584.95","579.90","575.85","581.91","629.95","305.00","7,814","45,47,081.35","1,409"
"31-Jul-2024","EQ","593.15","598.30","584.25","590.10","585.95","584.95","588.39","629.95","305.00","9,201","54,13,731.95","808"
"30-Jul-2024","EQ","586.70","619.00","585.55","592.05","597.95","590.10","599.11","629.95","305.00","15,933","95,45,615.65","1,657"
"29-Jul-2024","EQ","583.90","605.95","566.05","580.80","593.20","592.05","591.09","629.95","305.00","11,356","67,12,453.55","1,821"
