"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","5,260.10","5,297.00","5,235.05","5,258.70","5,295.05","5,275.80","5,273.27","7,350.00","4,024.50","78,604","41,45,00,336.70","6,060"
"23-Aug-2024","EQ","5,289.00","5,316.10","5,241.15","5,288.25","5,250.00","5,258.70","5,282.70","7,350.00","4,024.50","29,090","15,36,73,657.65","6,960"
"22-Aug-2024","EQ","5,350.00","5,350.00","5,252.00","5,307.95","5,285.00","5,288.25","5,294.40","7,350.00","4,024.50","62,294","32,98,09,557.70","9,142"
"21-Aug-2024","EQ","5,221.50","5,335.00","5,151.00","5,204.00","5,315.00","5,307.95","5,255.15","7,350.00","4,024.50","1,59,455","83,79,60,453.75","10,816"
"20-Aug-2024","EQ","5,146.00","5,370.25","5,110.00","5,113.40","5,216.00","5,204.00","5,283.62","7,350.00","4,024.50","1,26,829","67,01,15,881.75","24,376"
"19-Aug-2024","EQ","5,088.00","5,182.20","5,050.00","5,083.45","5,130.00","5,113.40","5,113.63","7,350.00","4,024.50","38,816","19,84,90,665.80","9,650"
"16-Aug-2024","EQ","5,143.15","5,172.00","5,053.30","5,099.70","5,079.90","5,083.45","5,096.19","7,350.00","4,024.50","1,35,076","68,83,72,803.55","17,238"
"14-Aug-2024","EQ","5,225.00","5,225.00","4,930.00","5,215.25","5,125.00","5,099.70","5,053.55","7,350.00","4,024.50","1,85,255","93,61,96,131.20","20,186"
"13-Aug-2024","EQ","5,328.00","5,328.00","5,199.00","5,298.70","5,206.00","5,215.25","5,250.71","7,350.00","4,024.50","47,173","24,76,91,860.25","9,133"
"12-Aug-2024","EQ","5,360.00","5,360.00","5,275.10","5,413.05","5,304.80","5,298.70","5,305.75","7,350.00","4,024.50","41,297","21,91,11,443.35","8,568"
"09-Aug-2024","EQ","5,437.40","5,488.00","5,385.00","5,408.95","5,408.70","5,413.05","5,430.39","7,350.00","4,024.50","15,009","8,15,04,752.75","4,793"
"08-Aug-2024","EQ","5,444.05","5,513.85","5,394.05","5,416.45","5,430.00","5,408.95","5,432.47","7,350.00","4,024.50","34,217","18,58,82,737.95","7,654"
"07-Aug-2024","EQ","5,448.85","5,469.35","5,380.00","5,375.10","5,443.00","5,416.45","5,415.39","7,350.00","4,024.50","52,496","28,42,86,319.50","13,879"
"06-Aug-2024","EQ","5,434.15","5,471.55","5,335.00","5,407.50","5,386.00","5,375.10","5,372.04","7,350.00","4,024.50","57,360","30,81,40,297.15","15,904"
"05-Aug-2024","EQ","5,426.50","5,460.05","5,282.15","5,566.65","5,406.55","5,407.50","5,379.24","7,350.00","4,024.50","49,686","26,72,73,078.95","11,062"
"02-Aug-2024","EQ","5,681.90","5,695.00","5,555.00","5,681.90","5,571.00","5,566.65","5,584.99","7,350.00","4,024.50","22,465","12,54,66,726.60","5,993"
"01-Aug-2024","EQ","5,631.40","5,738.00","5,616.85","5,603.40","5,680.00","5,681.90","5,679.49","7,350.00","4,024.50","57,616","32,72,29,345.90","13,386"
"31-Jul-2024","EQ","5,574.65","5,630.90","5,515.00","5,532.00","5,610.00","5,603.40","5,565.77","7,350.00","4,024.50","75,591","42,07,22,125.50","9,135"
"30-Jul-2024","EQ","5,554.45","5,648.00","5,500.05","5,511.90","5,578.00","5,532.00","5,557.04","7,350.00","4,024.50","77,140","42,86,69,795.25","13,102"
"29-Jul-2024","EQ","5,666.95","5,698.00","5,490.00","5,602.60","5,500.00","5,511.90","5,548.99","7,350.00","4,024.50","84,020","46,62,25,934.75","20,036"
