"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","53.60","53.60","52.54","53.14","53.30","53.23","53.34","55.25","39.24","5,78,344","3,08,51,504.53","2,934"
"23-Aug-2024","EQ","53.29","53.48","52.85","53.18","53.08","53.14","53.10","55.25","39.24","4,33,162","2,29,99,041.71","2,908"
"22-Aug-2024","EQ","53.10","53.69","52.97","53.12","53.20","53.18","53.23","55.25","39.24","4,26,473","2,27,01,442.99","2,335"
"21-Aug-2024","EQ","52.49","53.23","52.41","52.52","53.10","53.12","52.97","55.25","39.24","7,65,390","4,05,45,580.11","2,479"
"20-Aug-2024","EQ","52.51","52.70","52.10","52.52","52.52","52.52","52.55","55.25","39.24","4,65,330","2,44,51,208.30","2,596"
"19-Aug-2024","EQ","52.04","52.54","51.53","51.65","52.52","52.52","52.34","55.25","39.24","9,83,690","5,14,84,805.82","2,731"
"16-Aug-2024","EQ","52.04","52.04","50.01","50.52","51.79","51.65","51.44","55.25","39.24","9,61,209","4,94,42,306.82","2,478"
"14-Aug-2024","EQ","50.69","50.87","50.19","50.88","50.54","50.52","50.54","55.25","39.24","10,47,332","5,29,28,349.17","3,724"
"13-Aug-2024","EQ","51.54","51.84","50.68","51.54","50.80","50.88","51.16","55.25","39.24","6,40,275","3,27,55,619.16","3,973"
"12-Aug-2024","EQ","51.44","51.69","50.79","51.31","51.56","51.54","51.38","55.25","39.24","10,00,550","5,14,11,257.27","2,994"
"09-Aug-2024","EQ","51.11","52.38","50.91","50.86","51.05","51.31","51.41","55.25","39.24","9,54,019","4,90,50,635.16","4,201"
"08-Aug-2024","EQ","51.16","51.50","50.70","51.16","50.75","50.86","51.05","55.25","39.24","8,13,345","4,15,18,725.76","3,250"
"07-Aug-2024","EQ","50.20","51.50","50.03","49.97","51.50","51.16","50.65","55.25","39.24","8,75,464","4,43,42,759.61","3,683"
"06-Aug-2024","EQ","50.79","51.60","49.75","50.48","50.26","49.97","50.48","55.25","39.24","17,22,084","8,69,23,062.35","6,063"
"05-Aug-2024","EQ","52.49","52.49","50.00","52.69","50.80","50.48","50.76","55.25","39.24","35,40,320","17,96,90,522.62","23,795"
"02-Aug-2024","EQ","53.30","53.30","52.19","53.41","52.72","52.69","52.63","55.25","39.24","16,16,871","8,50,93,264.92","6,844"
"01-Aug-2024","EQ","54.09","54.16","53.13","53.94","53.84","53.41","53.53","55.25","39.24","8,86,069","4,74,29,873.08","5,631"
"31-Jul-2024","EQ","54.44","54.54","53.87","54.08","53.96","53.94","54.00","55.25","39.24","4,44,265","2,39,91,219.80","3,157"
"30-Jul-2024","EQ","53.69","54.17","53.42","53.61","54.10","54.08","53.94","55.25","39.24","6,23,981","3,36,55,176.50","2,497"
"29-Jul-2024","EQ","52.92","53.65","52.92","52.92","53.65","53.61","53.45","55.25","39.24","6,00,007","3,20,70,604.96","3,432"
