"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","151.00","151.00","149.00","149.83","150.00","149.57","150.22","183.00","76.20","4,52,258","6,79,38,942.36","6,624"
"23-Aug-2024","EQ","148.60","150.00","145.41","147.44","149.00","149.83","148.85","183.00","76.20","3,67,277","5,46,67,857.11","5,175"
"22-Aug-2024","EQ","149.80","150.05","146.67","148.67","147.73","147.44","148.91","183.00","76.20","2,55,440","3,80,38,175.57","5,352"
"21-Aug-2024","EQ","148.25","151.50","147.80","147.09","148.45","148.67","149.49","183.00","76.20","3,28,638","4,91,27,624.01","5,687"
"20-Aug-2024","EQ","148.25","150.50","146.25","147.62","147.01","147.09","148.94","183.00","76.20","6,94,016","10,33,67,470.80","7,569"
"19-Aug-2024","EQ","145.94","149.33","145.90","145.94","148.00","147.62","147.67","183.00","76.20","1,45,597","2,15,00,328.58","3,975"
"16-Aug-2024","EQ","143.05","150.18","141.63","143.50","146.00","145.94","147.86","183.00","71.00","6,02,204","8,90,39,012.05","8,427"
"14-Aug-2024","EQ","145.30","146.05","140.20","146.48","144.00","143.50","142.73","183.00","71.00","1,57,979","2,25,47,827.56","4,397"
"13-Aug-2024","EQ","145.90","148.46","144.02","145.16","145.61","146.48","146.26","183.00","71.00","1,06,819","1,56,23,455.04","3,659"
"12-Aug-2024","EQ","146.80","149.58","144.22","146.96","146.50","145.16","147.45","183.00","71.00","1,60,791","2,37,07,929.49","3,600"
"09-Aug-2024","EQ","145.25","148.80","142.72","144.79","147.05","146.96","145.16","183.00","71.00","1,76,618","2,56,37,907.80","3,751"
"08-Aug-2024","EQ","144.70","146.51","142.70","143.45","145.25","144.79","144.54","183.00","71.00","1,77,381","2,56,38,834.57","4,479"
"07-Aug-2024","EQ","146.50","146.50","140.32","141.29","143.90","143.45","142.97","183.00","71.00","1,60,623","2,29,64,326.07","4,204"
"06-Aug-2024","EQ","146.00","148.98","139.91","144.75","143.00","141.29","144.08","183.00","71.00","2,55,746","3,68,46,605.62","6,534"
"05-Aug-2024","EQ","145.10","147.25","140.85","149.14","145.50","144.75","144.17","183.00","71.00","3,25,971","4,69,93,767.30","6,577"
"02-Aug-2024","EQ","148.00","150.99","146.49","150.70","148.59","149.14","148.45","183.00","71.00","3,80,510","5,64,85,928.12","7,635"
"01-Aug-2024","EQ","152.00","153.58","149.45","151.93","150.45","150.70","151.19","183.00","71.00","5,29,690","8,00,81,968.34","8,167"
"31-Jul-2024","EQ","160.00","160.30","151.00","160.30","151.89","151.93","153.86","183.00","71.00","8,93,855","13,75,28,649.69","17,455"
"30-Jul-2024","EQ","161.00","162.99","158.98","159.99","159.85","160.30","161.18","183.00","71.00","8,80,186","14,18,66,337.16","16,398"
"29-Jul-2024","EQ","160.00","162.24","158.00","158.28","160.02","159.99","160.18","183.00","71.00","3,53,502","5,66,25,482.09","8,251"
