"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","10,685.00","10,739.95","10,500.00","10,622.80","10,500.00","10,522.50","10,536.74","13,298.00","4,378.05","36,537","38,49,81,035.40","7,854"
"23-Aug-2024","EQ","10,493.50","10,696.00","10,401.00","10,395.50","10,696.00","10,622.80","10,581.51","13,298.00","4,285.00","57,001","60,31,56,870.20","15,553"
"22-Aug-2024","EQ","10,330.00","10,499.95","10,254.05","10,254.55","10,475.00","10,395.50","10,345.57","13,298.00","4,285.00","31,174","32,25,12,817.70","8,750"
"21-Aug-2024","EQ","10,499.95","10,499.95","10,200.00","10,465.10","10,204.00","10,254.55","10,280.96","13,298.00","4,285.00","27,442","28,21,30,183.40","9,338"
"20-Aug-2024","EQ","10,387.25","10,515.65","10,251.00","10,387.25","10,450.35","10,465.10","10,387.83","13,298.00","4,285.00","25,902","26,90,65,587.85","8,827"
"19-Aug-2024","EQ","10,580.00","10,592.75","10,300.00","10,497.45","10,300.00","10,387.25","10,409.30","13,298.00","4,285.00","31,244","32,52,28,200.35","9,246"
"16-Aug-2024","EQ","10,243.90","10,510.00","10,150.00","10,162.55","10,490.00","10,497.45","10,415.25","13,298.00","4,052.55","47,832","49,81,82,319.30","13,480"
"14-Aug-2024","EQ","10,101.00","10,195.00","9,967.55","10,063.90","10,150.00","10,162.55","10,103.12","13,298.00","4,052.55","82,543","83,39,41,776.65","8,537"
"13-Aug-2024","EQ","10,330.00","10,343.95","10,000.00","10,185.00","10,099.95","10,063.90","10,105.25","13,298.00","4,052.55","29,943","30,25,81,608.95","9,614"
"12-Aug-2024","EQ","10,250.05","10,289.70","10,118.15","10,333.60","10,190.00","10,185.00","10,202.08","13,298.00","4,052.55","40,147","40,95,82,925.20","11,083"
"09-Aug-2024","EQ","10,327.00","10,444.00","10,278.05","10,278.95","10,301.00","10,333.60","10,335.62","13,298.00","3,852.05","29,541","30,53,24,531.05","7,466"
"08-Aug-2024","EQ","10,218.75","10,360.00","10,080.05","10,218.75","10,278.00","10,278.95","10,255.36","13,298.00","3,852.05","1,01,780","1,04,37,90,582.85","14,442"
"07-Aug-2024","EQ","10,600.00","10,608.05","10,138.45","10,185.00","10,222.00","10,218.75","10,249.21","13,298.00","3,852.05","97,568","99,99,95,024.50","19,704"
"06-Aug-2024","EQ","10,400.00","10,850.00","10,110.15","10,324.85","10,160.00","10,185.00","10,471.66","13,298.00","3,852.05","1,13,696","1,19,05,86,340.20","24,509"
"05-Aug-2024","EQ","10,350.00","10,435.00","10,100.35","10,636.35","10,336.00","10,324.85","10,321.28","13,298.00","3,852.05","82,274","84,91,72,594.05","20,014"
"02-Aug-2024","EQ","10,601.25","10,919.95","10,601.25","10,719.95","10,605.05","10,636.35","10,673.44","13,298.00","3,758.05","55,081","58,79,03,864.40","13,933"
"01-Aug-2024","EQ","10,849.00","10,850.00","10,659.90","10,783.40","10,700.00","10,719.95","10,722.70","13,298.00","3,758.05","28,417","30,47,06,965.70","7,545"
"31-Jul-2024","EQ","10,876.00","10,897.00","10,649.60","10,865.80","10,780.00","10,783.40","10,785.64","13,298.00","3,758.05","1,20,606","1,30,08,12,478.50","15,791"
"30-Jul-2024","EQ","10,929.00","10,999.95","10,754.85","10,885.05","10,816.00","10,865.80","10,910.59","13,298.00","3,758.05","56,154","61,26,73,118.20","12,748"
"29-Jul-2024","EQ","11,188.35","11,298.30","10,690.00","10,966.80","10,897.00","10,885.05","10,886.12","13,298.00","3,758.05","1,60,843","1,75,09,56,502.20","21,364"
