"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","92.49","92.55","89.51","91.88","90.65","90.85","90.83","107.50","63.60","20,76,712","18,86,21,604.31","15,199"
"23-Aug-2024","EQ","91.70","93.50","91.20","91.27","91.86","91.88","92.19","107.50","63.20","19,99,066","18,42,85,018.98","13,889"
"22-Aug-2024","EQ","91.20","95.20","91.01","90.71","91.36","91.27","92.82","107.50","63.20","46,31,221","42,98,83,247.79","27,789"
"21-Aug-2024","EQ","90.75","92.50","90.20","90.64","90.75","90.71","91.26","107.50","63.20","16,95,322","15,47,21,842.21","13,076"
"20-Aug-2024","EQ","89.85","92.00","88.61","89.48","90.62","90.64","90.48","107.50","63.20","24,43,604","22,10,92,663.74","18,222"
"19-Aug-2024","EQ","88.45","91.60","88.06","87.68","89.11","89.48","90.19","107.50","63.20","27,41,575","24,72,52,035.78","18,087"
"16-Aug-2024","EQ","85.99","89.77","85.62","84.92","87.90","87.68","88.33","107.50","62.00","30,61,595","27,04,27,123.16","22,536"
"14-Aug-2024","EQ","85.68","86.31","83.55","84.00","84.80","84.92","85.05","107.50","62.00","12,31,717","10,47,63,340.77","10,925"
"13-Aug-2024","EQ","86.81","87.92","83.10","86.81","84.20","84.00","85.84","107.50","62.00","12,04,218","10,33,74,832.84","12,330"
"12-Aug-2024","EQ","87.85","89.40","86.36","87.85","86.70","86.81","87.66","107.50","62.00","23,25,048","20,38,17,056.36","19,513"
"09-Aug-2024","EQ","82.79","91.28","82.00","78.62","88.00","87.85","88.53","107.50","62.00","1,24,20,947","1,09,95,74,456.33","65,865"
"08-Aug-2024","EQ","78.98","79.80","78.15","78.37","78.50","78.62","79.02","107.50","62.00","6,09,078","4,81,28,856.40","6,703"
"07-Aug-2024","EQ","77.97","78.77","76.80","76.23","78.27","78.37","77.95","107.50","62.00","8,26,673","6,44,35,651.75","7,811"
"06-Aug-2024","EQ","78.44","80.24","75.75","77.75","76.49","76.23","78.40","107.50","62.00","10,25,762","8,04,15,031.82","9,506"
"05-Aug-2024","EQ","81.00","81.49","77.38","82.98","77.79","77.75","79.15","107.50","62.00","16,20,816","12,82,88,127.33","15,234"
"02-Aug-2024","EQ","83.50","84.45","82.72","84.65","83.09","82.98","83.44","107.50","62.00","7,11,452","5,93,65,752.22","6,602"
"01-Aug-2024","EQ","85.44","86.60","84.31","84.89","84.63","84.65","85.36","107.50","62.00","15,42,783","13,16,84,349.06","10,962"
"31-Jul-2024","EQ","86.80","87.50","84.71","86.19","85.20","84.89","85.92","107.50","62.00","13,23,391","11,37,03,306.04","9,010"
"30-Jul-2024","EQ","84.60","87.44","84.60","84.64","85.90","86.19","86.11","107.50","62.00","18,07,015","15,56,11,080.30","13,383"
"29-Jul-2024","EQ","85.25","86.29","84.26","84.00","84.51","84.64","85.10","107.50","62.00","9,01,543","7,67,16,845.86","7,320"
