"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","227.99","236.47","226.00","225.32","231.55","232.64","233.81","299.00","190.55","5,00,414","11,70,01,275.06","14,367"
"23-Aug-2024","EQ","231.30","231.30","225.00","230.71","225.97","225.32","226.57","299.00","190.55","1,92,898","4,37,05,840.72","8,931"
"22-Aug-2024","EQ","224.00","232.99","222.49","222.55","230.70","230.71","229.07","299.00","190.55","3,64,961","8,36,01,665.89","10,730"
"21-Aug-2024","EQ","224.00","224.90","221.55","224.39","222.97","222.55","223.05","299.00","190.55","1,10,933","2,47,43,798.84","4,468"
"20-Aug-2024","EQ","221.00","225.00","221.00","220.03","224.77","224.39","222.96","299.00","190.55","1,52,241","3,39,43,864.61","6,147"
"19-Aug-2024","EQ","223.05","223.80","219.01","222.83","221.00","220.03","221.00","299.00","190.55","1,11,063","2,45,45,064.10","5,383"
"16-Aug-2024","EQ","213.70","224.88","212.50","211.98","220.63","222.83","219.31","299.00","190.55","2,85,681","6,26,53,534.76","9,213"
"14-Aug-2024","EQ","214.80","216.41","211.02","213.63","212.25","211.98","212.03","299.00","190.55","1,20,812","2,56,15,578.48","4,237"
"13-Aug-2024","EQ","216.50","220.00","213.00","216.05","213.90","213.63","215.56","299.00","190.55","1,37,020","2,95,36,055.52","5,085"
"12-Aug-2024","EQ","219.40","219.45","215.11","218.12","216.73","216.05","216.60","299.00","190.55","1,39,069","3,01,22,985.15","6,049"
"09-Aug-2024","EQ","217.10","219.60","215.77","213.86","219.30","218.12","218.38","299.00","190.55","1,65,230","3,60,83,424.51","6,405"
"08-Aug-2024","EQ","222.00","222.51","212.00","220.34","214.99","213.86","216.68","299.00","190.55","3,00,621","6,51,37,721.90","11,194"
"07-Aug-2024","EQ","220.00","223.09","217.70","217.68","221.55","220.34","220.25","299.00","190.55","1,42,900","3,14,73,274.68","6,976"
"06-Aug-2024","EQ","218.00","225.73","216.05","217.49","218.70","217.68","221.69","299.00","190.55","2,00,229","4,43,88,294.57","8,409"
"05-Aug-2024","EQ","206.00","228.74","206.00","231.75","217.99","217.49","220.90","299.00","190.55","5,29,589","11,69,86,467.94","19,481"
"02-Aug-2024","EQ","233.65","235.56","228.92","234.83","232.45","231.75","232.22","299.00","190.55","3,00,931","6,98,83,588.66","9,047"
"01-Aug-2024","EQ","238.95","239.90","234.10","236.58","234.60","234.83","236.62","299.00","190.55","2,00,818","4,75,18,241.91","7,925"
"31-Jul-2024","EQ","237.00","241.00","234.00","234.91","237.00","236.58","238.12","299.00","190.55","2,53,847","6,04,46,729.26","8,473"
"30-Jul-2024","EQ","238.02","239.75","234.01","236.30","235.00","234.91","236.45","299.00","190.55","1,57,707","3,72,90,051.81","6,204"
"29-Jul-2024","EQ","239.01","241.09","234.42","235.92","237.32","236.30","237.33","299.00","190.55","2,92,658","6,94,55,872.36","8,845"
