"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","261.40","272.00","258.45","261.35","258.60","259.55","260.32","412.30","147.30","1,942","5,05,533.75","35"
"23-Aug-2024","BE","257.15","270.00","257.15","257.15","258.25","261.35","262.15","412.30","147.30","2,373","6,22,072.95","116"
"22-Aug-2024","BE","269.00","269.65","257.00","256.85","257.15","257.15","264.24","412.30","147.30","1,452","3,83,675.15","34"
"21-Aug-2024","BE","260.50","270.00","256.05","261.15","270.00","256.85","257.18","412.30","147.30","314","80,753.05","15"
"20-Aug-2024","BE","260.85","262.00","260.85","260.05","260.85","261.15","260.86","412.30","147.30","328","85,562.25","4"
"19-Aug-2024","BE","271.95","271.95","260.00","260.00","260.05","260.05","262.08","412.30","147.30","4,980","13,05,154.10","21"
"16-Aug-2024","BE","264.45","270.00","260.00","264.45","260.00","260.00","261.40","412.30","147.30","1,132","2,95,900.00","25"
"14-Aug-2024","BE","243.00","265.00","243.00","255.00","265.00","264.45","251.49","412.30","147.30","2,173","5,46,496.75","64"
"13-Aug-2024","BE","259.00","259.00","251.00","259.00","255.00","255.00","255.60","412.30","147.30","691","1,76,618.75","9"
"12-Aug-2024","BE","263.15","263.15","254.60","268.00","259.00","259.00","257.30","412.30","147.30","6,647","17,10,251.15","70"
"09-Aug-2024","BE","283.50","283.50","262.10","270.55","268.00","268.00","271.66","412.30","147.30","1,725","4,68,621.95","39"
"08-Aug-2024","BE","270.00","276.00","267.50","270.00","275.00","270.55","270.69","412.30","147.30","799","2,16,282.90","27"
"07-Aug-2024","BE","265.00","272.00","250.00","260.15","270.00","270.00","264.08","412.30","147.30","958","2,52,987.25","29"
"06-Aug-2024","BE","249.30","260.20","249.30","249.30","260.15","260.15","251.39","412.30","147.30","275","69,132.60","10"
"05-Aug-2024","BE","258.00","259.90","249.30","262.40","249.30","249.30","251.87","412.30","147.30","526","1,32,485.75","53"
"02-Aug-2024","BE","263.00","263.00","258.00","263.00","262.40","262.40","261.12","412.30","147.30","267","69,720.30","23"
"01-Aug-2024","BE","269.95","271.90","257.00","269.80","257.00","263.00","262.32","412.30","147.30","1,677","4,39,915.80","55"
"31-Jul-2024","BE","273.95","273.95","262.20","275.00","269.95","269.80","267.88","412.30","147.30","887","2,37,607.30","48"
"30-Jul-2024","BE","275.00","275.00","275.00","275.00","275.00","275.00","275.00","412.30","147.30","18","4,950.00","1"
"29-Jul-2024","BE","265.00","276.95","265.00","275.00","275.00","275.00","267.49","412.30","147.30","307","82,119.50","11"
