"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","13.75","14.76","13.56","13.37","14.36","14.30","14.38","18.40","7.80","3,24,13,122","46,62,59,803.87","43,383"
"23-Aug-2024","EQ","13.50","13.53","13.30","13.45","13.41","13.37","13.38","18.40","7.80","19,59,377","2,62,15,199.59","5,140"
"22-Aug-2024","EQ","13.55","13.80","13.25","13.44","13.56","13.45","13.46","18.40","7.80","47,67,523","6,41,63,101.20","8,511"
"21-Aug-2024","EQ","13.19","13.51","13.11","13.16","13.50","13.44","13.34","18.40","7.80","36,42,668","4,85,81,017.34","7,238"
"20-Aug-2024","EQ","13.18","13.30","13.05","13.14","13.15","13.16","13.16","18.40","7.80","14,92,036","1,96,29,130.11","4,935"
"19-Aug-2024","EQ","13.00","13.47","12.91","12.96","13.15","13.14","13.09","18.40","7.80","34,52,150","4,52,04,032.79","8,303"
"16-Aug-2024","EQ","12.98","13.00","12.86","12.87","12.94","12.96","12.94","18.40","7.80","13,96,483","1,80,71,443.21","4,547"
"14-Aug-2024","EQ","12.91","12.99","12.65","12.90","12.87","12.87","12.81","18.40","7.80","23,67,258","3,03,28,160.54","7,025"
"13-Aug-2024","EQ","13.05","13.23","12.80","12.99","12.87","12.90","13.03","18.40","7.80","25,71,405","3,35,14,170.19","6,329"
"12-Aug-2024","EQ","13.04","13.15","12.92","13.04","13.00","12.99","13.03","18.40","7.80","28,52,723","3,71,60,263.14","7,064"
"09-Aug-2024","EQ","13.15","13.27","13.02","13.04","13.03","13.04","13.14","18.40","7.80","21,36,958","2,80,73,932.81","5,337"
"08-Aug-2024","EQ","13.26","13.52","13.00","13.28","13.08","13.04","13.28","18.40","7.80","32,09,558","4,26,24,642.39","7,800"
"07-Aug-2024","EQ","13.09","13.37","12.97","12.99","13.26","13.28","13.17","18.40","7.80","31,49,036","4,14,72,045.13","7,594"
"06-Aug-2024","EQ","13.19","13.50","12.91","13.09","13.00","12.99","13.18","18.40","7.80","36,67,934","4,83,45,916.68","9,512"
"05-Aug-2024","EQ","13.50","13.65","13.00","13.89","13.10","13.09","13.23","18.40","7.80","58,54,001","7,74,42,386.48","13,810"
"02-Aug-2024","EQ","13.98","13.99","13.81","14.06","13.94","13.89","13.92","18.40","7.80","37,55,655","5,22,62,866.98","6,963"
"01-Aug-2024","EQ","14.75","14.84","13.98","14.65","14.12","14.06","14.22","18.40","7.80","1,23,52,371","17,56,53,958.11","16,329"
"31-Jul-2024","EQ","14.36","15.80","14.12","14.27","14.73","14.65","15.01","18.40","7.80","3,27,81,695","49,21,27,181.92","40,740"
"30-Jul-2024","EQ","14.44","14.54","14.20","14.35","14.36","14.27","14.31","18.40","7.80","35,47,589","5,07,77,232.96","7,853"
"29-Jul-2024","EQ","14.38","14.45","14.14","14.20","14.44","14.35","14.30","18.40","7.80","47,57,806","6,80,24,485.56","9,469"
