"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","751.45","759.90","739.00","750.40","754.00","753.25","750.37","787.00","350.65","1,13,996","8,55,39,606.15","7,918"
"23-Aug-2024","EQ","747.45","764.60","733.60","746.65","750.80","750.40","747.88","787.00","350.65","1,31,170","9,80,99,994.25","9,156"
"22-Aug-2024","EQ","738.70","787.00","738.70","733.30","746.00","746.65","763.45","787.00","350.65","6,27,040","47,87,13,589.10","27,525"
"21-Aug-2024","EQ","724.80","735.45","721.15","723.60","734.40","733.30","729.22","776.80","350.65","71,717","5,22,97,565.00","4,722"
"20-Aug-2024","EQ","752.00","754.25","720.15","751.85","723.80","723.60","734.69","776.80","350.65","1,28,536","9,44,34,216.75","10,212"
"19-Aug-2024","EQ","750.00","758.80","733.35","742.00","751.00","751.85","745.53","776.80","350.65","1,96,857","14,67,62,350.85","14,150"
"16-Aug-2024","EQ","688.95","753.85","688.95","687.45","745.00","742.00","738.12","776.80","350.65","10,85,987","80,15,85,442.00","51,659"
"14-Aug-2024","EQ","689.90","699.90","674.70","684.15","683.65","687.45","686.40","776.80","350.65","1,18,237","8,11,57,353.15","12,652"
"13-Aug-2024","EQ","710.00","713.90","681.05","709.50","689.90","684.15","694.71","776.80","350.65","4,09,315","28,43,54,582.05","23,221"
"12-Aug-2024","EQ","659.25","758.55","628.10","657.95","709.70","709.50","723.73","776.80","350.65","17,15,082","1,24,12,62,053.00","50,562"
"09-Aug-2024","EQ","645.90","666.00","642.40","641.40","654.70","657.95","656.67","776.80","350.65","78,513","5,15,57,388.95","7,112"
"08-Aug-2024","EQ","645.05","652.95","637.05","650.05","641.00","641.40","645.00","776.80","350.65","35,227","2,27,21,252.25","3,435"
"07-Aug-2024","EQ","635.45","654.80","626.05","627.90","650.00","650.05","641.07","776.80","350.65","75,621","4,84,78,060.55","8,306"
"06-Aug-2024","EQ","648.25","660.30","623.45","645.00","629.00","627.90","641.49","776.80","350.65","87,742","5,62,85,235.90","9,669"
"05-Aug-2024","EQ","649.55","679.45","640.65","686.20","645.90","645.00","656.02","776.80","350.65","1,29,938","8,52,42,258.20","12,329"
"02-Aug-2024","EQ","686.00","695.00","676.70","681.70","686.50","686.20","687.16","776.80","350.65","54,674","3,75,69,804.10","6,373"
"01-Aug-2024","EQ","710.80","711.95","676.00","700.30","682.80","681.70","687.27","776.80","350.65","68,484","4,70,67,168.50","7,785"
"31-Jul-2024","EQ","706.05","710.00","695.25","706.05","703.00","700.30","702.26","776.80","350.65","38,596","2,71,04,350.10","4,481"
"30-Jul-2024","EQ","701.00","715.00","701.00","709.45","706.00","706.05","708.47","776.80","350.65","27,221","1,92,85,221.15","3,116"
"29-Jul-2024","EQ","707.90","724.00","701.00","704.35","709.00","709.45","711.39","776.80","350.65","69,930","4,97,47,805.95","5,490"
