"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","483.90","486.65","481.50","483.90","483.65","484.10","484.09","699.00","447.00","1,91,942","9,29,17,051.45","8,705"
"23-Aug-2024","EQ","487.75","488.00","483.00","483.30","483.85","483.90","484.56","699.00","447.00","1,64,916","7,99,11,301.90","7,434"
"22-Aug-2024","EQ","488.65","490.30","481.15","484.70","482.90","483.30","485.70","699.00","447.00","3,17,300","15,41,13,083.65","11,865"
"21-Aug-2024","EQ","484.95","486.20","482.90","484.65","484.80","484.70","484.70","699.00","447.00","1,88,701","9,14,62,583.60","6,911"
"20-Aug-2024","EQ","487.65","487.65","483.20","484.20","484.55","484.65","484.96","699.00","447.00","1,45,862","7,07,37,213.50","6,502"
"19-Aug-2024","EQ","489.70","491.30","480.80","479.05","485.00","484.20","485.61","699.00","447.00","2,63,410","12,79,14,303.80","11,879"
"16-Aug-2024","EQ","470.10","482.00","470.10","470.10","480.00","479.05","479.74","699.00","447.00","1,51,252","7,25,61,705.40","11,428"
"14-Aug-2024","EQ","482.20","484.70","465.30","480.85","472.00","470.10","472.94","699.00","447.00","2,83,451","13,40,55,482.35","17,412"
"13-Aug-2024","EQ","488.40","489.30","480.00","483.30","482.50","480.85","484.33","699.00","447.00","1,80,328","8,73,37,677.65","13,197"
"12-Aug-2024","EQ","482.00","488.90","481.40","487.55","484.40","483.30","484.55","699.00","447.00","1,98,850","9,63,53,244.60","14,021"
"09-Aug-2024","EQ","482.00","490.70","482.00","480.20","488.35","487.55","487.50","699.00","447.00","2,86,292","13,95,67,146.55","15,937"
"08-Aug-2024","EQ","490.00","491.00","477.10","484.10","481.70","480.20","486.38","699.00","447.00","3,86,157","18,78,18,301.35","21,258"
"07-Aug-2024","EQ","480.00","495.00","479.15","479.60","486.95","484.10","487.71","699.00","447.00","3,43,447","16,75,04,208.15","19,094"
"06-Aug-2024","EQ","481.10","490.80","478.10","479.10","480.00","479.60","483.33","699.00","447.00","1,91,923","9,27,61,478.05","13,282"
"05-Aug-2024","EQ","487.95","491.70","477.60","491.80","481.45","479.10","482.51","699.00","447.00","3,62,138","17,47,35,348.90","29,037"
"02-Aug-2024","EQ","492.45","496.10","489.50","494.10","493.90","491.80","492.40","699.00","447.00","1,51,665","7,46,79,486.10","12,046"
"01-Aug-2024","EQ","498.30","498.30","493.05","493.95","495.95","494.10","494.53","699.00","447.00","1,77,165","8,76,13,191.75","10,898"
"31-Jul-2024","EQ","497.95","498.90","493.10","494.60","494.05","493.95","495.90","699.00","447.00","2,31,988","11,50,43,951.20","10,564"
"30-Jul-2024","EQ","498.80","498.80","493.90","497.85","495.00","494.60","495.15","699.00","447.00","2,14,566","10,62,43,040.60","8,993"
"29-Jul-2024","EQ","500.95","500.95","495.80","495.80","498.45","497.85","498.09","699.00","447.00","1,99,427","9,93,33,547.90","9,708"
