"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","322.40","327.90","312.80","320.85","318.00","316.35","320.72","327.90","112.80","1,92,947","6,18,81,398.65","10,375"
"23-Aug-2024","EQ","318.00","322.00","314.10","318.20","321.00","320.85","319.04","324.00","112.80","1,70,203","5,43,02,373.35","8,749"
"22-Aug-2024","EQ","324.00","324.00","313.10","316.00","318.55","318.20","318.34","324.00","112.80","2,41,150","7,67,67,042.75","10,474"
"21-Aug-2024","EQ","302.70","322.50","300.40","299.70","319.00","316.00","314.63","322.50","112.80","5,25,885","16,54,58,715.50","22,289"
"20-Aug-2024","EQ","308.35","314.00","296.05","303.80","298.00","299.70","304.35","314.00","112.80","2,40,197","7,31,04,860.75","12,260"
"19-Aug-2024","EQ","286.00","305.00","283.55","282.85","303.10","303.80","298.74","308.40","112.80","5,01,100","14,96,99,680.00","23,044"
"16-Aug-2024","EQ","284.85","284.85","278.05","281.95","281.40","282.85","281.72","308.40","112.80","46,702","1,31,56,679.50","4,347"
"14-Aug-2024","EQ","278.75","283.00","270.55","276.05","283.00","281.95","276.88","308.40","112.80","1,30,365","3,60,96,067.80","9,546"
"13-Aug-2024","EQ","281.80","286.95","274.00","280.40","276.00","276.05","280.40","308.40","112.80","85,819","2,40,63,957.95","4,297"
"12-Aug-2024","EQ","282.90","286.25","278.00","282.90","280.50","280.40","281.40","308.40","112.80","90,499","2,54,66,659.40","5,844"
"09-Aug-2024","EQ","288.00","293.00","281.00","284.80","282.45","282.90","285.05","308.40","112.80","1,28,908","3,67,45,082.20","6,232"
"08-Aug-2024","EQ","284.00","286.95","281.55","284.30","285.60","284.80","284.84","308.40","112.80","89,787","2,55,74,707.55","7,108"
"07-Aug-2024","EQ","274.85","285.90","273.65","272.15","283.70","284.30","281.22","308.40","112.80","1,37,492","3,86,65,020.95","6,804"
"06-Aug-2024","EQ","275.00","283.00","270.55","278.50","270.55","272.15","275.79","308.40","112.80","2,08,670","5,75,48,730.75","9,879"
"05-Aug-2024","EQ","278.50","283.35","269.50","289.15","278.00","278.50","276.33","308.40","112.80","2,17,678","6,01,51,625.80","13,722"
"02-Aug-2024","EQ","289.00","295.00","283.55","289.25","287.90","289.15","289.45","308.40","112.80","3,19,558","9,24,94,698.55","15,731"
"01-Aug-2024","EQ","275.80","308.40","270.10","273.15","291.00","289.25","289.19","308.40","112.80","8,72,576","25,23,37,730.70","33,847"
"31-Jul-2024","EQ","274.00","274.95","270.00","271.25","274.00","273.15","272.72","300.00","112.80","1,23,094","3,35,70,095.70","8,675"
"30-Jul-2024","EQ","273.90","277.00","269.05","272.35","271.00","271.25","272.63","300.00","112.80","1,52,647","4,16,16,845.10","10,044"
"29-Jul-2024","EQ","269.70","277.25","268.95","267.05","272.00","272.35","273.80","300.00","112.80","1,60,743","4,40,12,091.95","7,499"
